section,array,year,scope,metric,value,unit,notes
correlation,Calyxo,2023,past_only,valid_count_vs_hour_ramp_pearson,-0.1335428202306049,r,"Feature interval is (t-5min,t]; target begins at t."
correlation,Calyxo,2023,past_only,valid_count_vs_hour_ramp_spearman,-0.0877194052384332,rho,"Feature interval is (t-5min,t]; target begins at t."
correlation,Calyxo,2023,past_only,valid_count_vs_abs_hour_ramp_pearson,-0.12220767914592487,r,"Feature interval is (t-5min,t]; target begins at t."
correlation,Calyxo,2023,past_only,valid_count_vs_abs_hour_ramp_spearman,0.05232983386865466,rho,"Feature interval is (t-5min,t]; target begins at t."
incremental,Calyxo,2023,past_only,std_partial_corr_abs_hour_ramp_given_mean,0.11607175457024187,r,
incremental,Calyxo,2023,past_only,range_partial_corr_abs_hour_ramp_given_mean,0.14195041029081001,r,
incremental,Calyxo,2023,past_only,max_abs_first_difference_partial_corr_abs_hour_ramp_given_mean,0.10792039590068987,r,
incremental,Calyxo,2023,past_only,slope_partial_corr_abs_hour_ramp_given_mean,0.09570284142624119,r,
incremental,Calyxo,2023,past_only,coefficient_of_variation_partial_corr_abs_hour_ramp_given_mean,-0.0714727952521912,r,
ramp_group,Calyxo,2023,stable,mean_mean,0.006406035665294927,,
ramp_group,Calyxo,2023,stable,std_mean,0.004211520916411523,,
ramp_group,Calyxo,2023,stable,range_mean,0.012345679012345678,,
ramp_group,Calyxo,2023,stable,max_abs_first_difference_mean,0.005486968449931413,,
ramp_group,Calyxo,2023,stable,slope_mean,3.521544996285657e-05,,
ramp_group,Calyxo,2023,stable,coefficient_of_variation_mean,1.3039303782593623,,
ramp_group,Calyxo,2023,moderate,mean_mean,329.3547718320327,,
ramp_group,Calyxo,2023,moderate,std_mean,47.46817878706405,,
ramp_group,Calyxo,2023,moderate,range_mean,166.1628205128205,,
ramp_group,Calyxo,2023,moderate,max_abs_first_difference_mean,27.74102564102564,,
ramp_group,Calyxo,2023,moderate,slope_mean,-0.09335990966568267,,
ramp_group,Calyxo,2023,moderate,coefficient_of_variation_mean,0.18037352789420327,,
ramp_group,Calyxo,2023,ramp,mean_mean,404.99501605006714,,
ramp_group,Calyxo,2023,ramp,std_mean,61.49598981270635,,
ramp_group,Calyxo,2023,ramp,range_mean,216.79946524064172,,
ramp_group,Calyxo,2023,ramp,max_abs_first_difference_mean,45.815508021390386,,
ramp_group,Calyxo,2023,ramp,slope_mean,0.058317666542624685,,
ramp_group,Calyxo,2023,ramp,coefficient_of_variation_mean,0.1370265160505644,,
source_coverage,Hanwha,2021,calendar_year,expected_5min_intervals,105120,intervals,
source_coverage,Hanwha,2021,calendar_year,pv_rows_present,100541,intervals,
source_coverage,Hanwha,2021,calendar_year,pv_values_valid,99076,intervals,
source_coverage,Hanwha,2021,calendar_year,weather_bins_present,0,intervals,
source_coverage,Hanwha,2021,calendar_year,weather_complete_bins,0,intervals,
source_coverage,Hanwha,2022,calendar_year,expected_5min_intervals,105120,intervals,
source_coverage,Hanwha,2022,calendar_year,pv_rows_present,102901,intervals,
source_coverage,Hanwha,2022,calendar_year,pv_values_valid,100501,intervals,
source_coverage,Hanwha,2022,calendar_year,weather_bins_present,0,intervals,
source_coverage,Hanwha,2022,calendar_year,weather_complete_bins,0,intervals,
source_coverage,Hanwha,2023,calendar_year,expected_5min_intervals,105120,intervals,
source_coverage,Hanwha,2023,calendar_year,pv_rows_present,101833,intervals,
source_coverage,Hanwha,2023,calendar_year,pv_values_valid,95908,intervals,
source_coverage,Hanwha,2023,calendar_year,weather_bins_present,560,intervals,
source_coverage,Hanwha,2023,calendar_year,weather_complete_bins,544,intervals,
alignment,Hanwha,ALL,common,common_start,2023-01-01 09:05:00,,
alignment,Hanwha,ALL,common,common_end,2023-01-03 07:40:00,,
coverage,Hanwha,2021,full_timeline,expected_intervals,0,intervals,
coverage,Hanwha,2021,full_timeline,pv_rows_present,0,intervals,
coverage,Hanwha,2021,full_timeline,weather_rows_present,0,intervals,
coverage,Hanwha,2021,full_timeline,complete_intervals,0,intervals,
coverage,Hanwha,2021,full_timeline,partial_intervals,0,intervals,
coverage,Hanwha,2021,full_timeline,no_weather_intervals,0,intervals,
coverage,Hanwha,2022,full_timeline,expected_intervals,0,intervals,
coverage,Hanwha,2022,full_timeline,pv_rows_present,0,intervals,
coverage,Hanwha,2022,full_timeline,weather_rows_present,0,intervals,
coverage,Hanwha,2022,full_timeline,complete_intervals,0,intervals,
coverage,Hanwha,2022,full_timeline,partial_intervals,0,intervals,
coverage,Hanwha,2022,full_timeline,no_weather_intervals,0,intervals,
coverage,Hanwha,2023,full_timeline,expected_intervals,560,intervals,
coverage,Hanwha,2023,full_timeline,pv_rows_present,560,intervals,
coverage,Hanwha,2023,full_timeline,pv_values_valid,560,intervals,
coverage,Hanwha,2023,full_timeline,malformed_source_records,0,intervals,
coverage,Hanwha,2023,full_timeline,weather_rows_present,560,intervals,
coverage,Hanwha,2023,full_timeline,weather_values_valid,560,intervals,
coverage,Hanwha,2023,full_timeline,complete_intervals,544,intervals,
coverage,Hanwha,2023,full_timeline,partial_intervals,16,intervals,
coverage,Hanwha,2023,full_timeline,no_weather_intervals,0,intervals,
coverage,Hanwha,2023,full_timeline,pv_valid_weather_incomplete,16,intervals,
coverage,Hanwha,2023,full_timeline,weather_valid_pv_missing,0,intervals,
coverage,Hanwha,2023,full_timeline,longest_complete_segment,925,minutes,
coverage,Hanwha,2023,full_timeline,longest_weather_gap,0,minutes,
coverage,Hanwha,2023,daylight,classified_intervals,290,intervals,Daylight threshold: past-interval mean irradiance >20 W/m2; missing-weather intervals unclassified.
coverage,Hanwha,2023,daylight,pv_value_valid_ratio,1.0,ratio,
coverage,Hanwha,2023,daylight,weather_complete_ratio,0.9793103448275862,ratio,
coverage,Hanwha,2023,night,classified_intervals,270,intervals,Daylight threshold: past-interval mean irradiance >20 W/m2; missing-weather intervals unclassified.
coverage,Hanwha,2023,night,pv_value_valid_ratio,1.0,ratio,
coverage,Hanwha,2023,night,weather_complete_ratio,0.9629629629629629,ratio,
descriptive,Hanwha,2023,past_only,usable_feature_rows,560,intervals,
correlation,Hanwha,2023,past_only,mean_vs_next_ramp_pearson,0.04337441406640809,r,"Feature interval is (t-5min,t]; target begins at t."
