section,model,seed,scope,horizon,rmse_kw,mae_kw,diff_mae_kw,artifact_source,n,positive_count,prevalence,auroc,auprc,brier,f1,precision,recall,miss_rate,onset_time_mae_steps,onset_time_mae_minutes,onset_time_n,up_count,down_count,up_recall,down_recall,direction_accuracy,identification_rate,probability_bin,mean_predicted_probability,observed_event_rate,actual_epochs,best_epoch,best_validation_first_event_nll,stop_reason,numerically_finite,training_seconds,mean_epoch_seconds,backbone_parameters,power_head_parameters,event_head_parameters,total_inference_parameters,trainable_parameters,trainable_fraction,inference_ms_per_sample,threshold_kw,power_max_abs_difference_kw,power_mean_abs_difference_kw,max_abs_difference_kw,mean_abs_difference_kw,rmse_difference_kw,mae_difference_kw
first_onset,STEP_MULTITASK,42,sunrise_sunset_transition,12,,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_joint_trajectory_onset_screen\results\STEP_MULTITASK\42\test_predictions.npz,7134,2742,0.3843566021867115,0.9053181203408093,0.8039814232287168,0.2737284713373615,0.606358686105744,0.5848864791596069,0.6294675419401896,0.37053245805981033,2.7387022016222478,13.693511008111239,1726,1660,1082,0.6186746987951808,0.24861367837338263,0.7508690614136733,,,,,,,,,,,,,,,,,,,,,,,,,
onset_lead,STEP_MULTITASK,42,full_timeline,1,,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_joint_trajectory_onset_screen\results\STEP_MULTITASK\42\test_predictions.npz,930,930,0.05344520429860353,,,,,,,,,,,499,431,,,,0.9935483870967742,,,,,,,,,,,,,,,,,,,,,,,,
onset_lead,STEP_MULTITASK,42,full_timeline,2,,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_joint_trajectory_onset_screen\results\STEP_MULTITASK\42\test_predictions.npz,930,930,0.05344520429860353,,,,,,,,,,,499,431,,,,0.4924731182795699,,,,,,,,,,,,,,,,,,,,,,,,
onset_lead,STEP_MULTITASK,42,full_timeline,3,,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_joint_trajectory_onset_screen\results\STEP_MULTITASK\42\test_predictions.npz,771,771,0.044307798402390665,,,,,,,,,,,416,355,,,,0.4033722438391699,,,,,,,,,,,,,,,,,,,,,,,,
onset_lead,STEP_MULTITASK,42,full_timeline,4,,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_joint_trajectory_onset_screen\results\STEP_MULTITASK\42\test_predictions.npz,633,633,0.03637721970001724,,,,,,,,,,,348,285,,,,0.3744075829383886,,,,,,,,,,,,,,,,,,,,,,,,
onset_lead,STEP_MULTITASK,42,full_timeline,5,,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_joint_trajectory_onset_screen\results\STEP_MULTITASK\42\test_predictions.npz,511,511,0.02936612838342624,,,,,,,,,,,280,231,,,,0.37573385518590996,,,,,,,,,,,,,,,,,,,,,,,,
onset_lead,STEP_MULTITASK,42,full_timeline,6,,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_joint_trajectory_onset_screen\results\STEP_MULTITASK\42\test_predictions.npz,426,426,0.0244813516464571,,,,,,,,,,,238,188,,,,0.38497652582159625,,,,,,,,,,,,,,,,,,,,,,,,
onset_lead,STEP_MULTITASK,42,full_timeline,7,,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_joint_trajectory_onset_screen\results\STEP_MULTITASK\42\test_predictions.npz,345,345,0.019826446755933567,,,,,,,,,,,198,147,,,,0.4144927536231884,,,,,,,,,,,,,,,,,,,,,,,,
onset_lead,STEP_MULTITASK,42,full_timeline,8,,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_joint_trajectory_onset_screen\results\STEP_MULTITASK\42\test_predictions.npz,283,283,0.016263433136026666,,,,,,,,,,,167,116,,,,0.4452296819787986,,,,,,,,,,,,,,,,,,,,,,,,
onset_lead,STEP_MULTITASK,42,full_timeline,9,,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_joint_trajectory_onset_screen\results\STEP_MULTITASK\42\test_predictions.npz,242,242,0.013907246709959197,,,,,,,,,,,144,98,,,,0.4834710743801653,,,,,,,,,,,,,,,,,,,,,,,,
onset_lead,STEP_MULTITASK,42,full_timeline,10,,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_joint_trajectory_onset_screen\results\STEP_MULTITASK\42\test_predictions.npz,210,210,0.012068271938394345,,,,,,,,,,,125,85,,,,0.47619047619047616,,,,,,,,,,,,,,,,,,,,,,,,
onset_lead,STEP_MULTITASK,42,full_timeline,11,,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_joint_trajectory_onset_screen\results\STEP_MULTITASK\42\test_predictions.npz,182,182,0.010459169013275099,,,,,,,,,,,111,71,,,,0.4835164835164835,,,,,,,,,,,,,,,,,,,,,,,,
