site,model,h,support,analysis,scope,selected_alpha,points,origins,SSE,SAE,signed_error,RMSE,MAE,bias
YULARA_COMBINED,Ridge+day,144,common_H144,daily_matched,power-active,1000.0,1963842,26192,2825720316.3970165,36045844.325629205,-15500517.530048458,37.93248677804027,18.354757829616233,-7.892955507646978
YULARA_COMBINED,Ridge+day,144,common_H144,daily_matched,low-power,1000.0,1820478,25653,2065232431.823616,15727900.704552285,-12369224.552363863,33.68152530285983,8.639434645489967,-6.794492738920143
NIST_GROUND,Ridge,12,horizon_specific,primary,full,0.1,302628,25219,116755556.30598794,3393358.9028634285,391565.6371558964,19.641932981074575,11.212970719376358,1.2938843634954347
NIST_GROUND,Ridge,12,horizon_specific,primary,power-active,0.1,109258,10161,105834057.13645032,2251537.9117885665,-329454.0365395164,31.12333299429314,20.60753365235101,-3.0153767828398506
NIST_GROUND,Ridge,12,horizon_specific,primary,low-power,0.1,193370,17232,10921499.169537589,1141820.9910748613,721019.6736954127,7.51530446884478,5.904850758002075,3.728704937143366
NIST_GROUND,Ridge,12,horizon_specific,daily_matched,full,0.1,300173,25219,115612599.87304734,3365129.115529376,394512.726719658,19.62532108991033,11.210632253831545,1.314284518326625
NIST_GROUND,Ridge,12,horizon_specific,daily_matched,power-active,0.1,108291,10158,104764717.75643185,2231794.035311475,-320618.1196946545,31.103648945741128,20.60922916319431,-2.960708828015758
NIST_GROUND,Ridge,12,horizon_specific,daily_matched,low-power,0.1,191882,17227,10847882.116615437,1133335.080217902,715130.8464143124,7.518918204016481,5.906416861497702,3.726930334342525
NIST_GROUND,Ridge,12,common_H144,primary,full,0.1,262620,21885,99861591.90764993,2940252.498455526,356721.07798209356,19.50003289410709,11.19584379885586,1.358316495248243
NIST_GROUND,Ridge,12,common_H144,primary,power-active,0.1,93701,8716,90384671.17213626,1946647.0115131845,-248589.19007497482,31.058128199649087,20.77509323820647,-2.6530046645710805
NIST_GROUND,Ridge,12,common_H144,primary,low-power,0.1,168919,15042,9476920.735513642,993605.4869423414,605310.2680570683,7.490216540570488,5.882141659270665,3.5834350668490127
NIST_GROUND,Ridge,12,common_H144,daily_matched,full,0.1,260249,21885,98762686.79051083,2913254.998448581,359237.2102299753,19.480581358905223,11.194106407511963,1.3803596180195707
NIST_GROUND,Ridge,12,common_H144,daily_matched,power-active,0.1,92794,8713,89358889.79327035,1928049.704592337,-240269.94831685518,31.031940525405005,20.777741067227804,-2.5892832329337585
NIST_GROUND,Ridge,12,common_H144,daily_matched,low-power,0.1,167455,15038,9403796.997240465,985205.2938562448,599507.1585468305,7.493808018834968,5.883403265690752,3.5801090355428653
NIST_GROUND,Ridge,48,horizon_specific,primary,full,0.1,1163520,24240,1595629343.563519,29916969.069807034,4940305.80345182,37.03216311850312,25.712466541019523,4.245999899831391
NIST_GROUND,Ridge,48,horizon_specific,primary,power-active,0.1,413664,12577,1185697549.9070377,16136936.842933705,-5268727.808089348,53.53811764137152,39.00976841816959,-12.736732730161068
NIST_GROUND,Ridge,48,horizon_specific,primary,low-power,0.1,749856,19604,409931793.6564812,13780032.226873318,10209033.61154117,23.38120372366062,18.37690466819405,13.614658829883565
NIST_GROUND,Ridge,48,horizon_specific,daily_matched,full,0.1,1154170,24240,1579061343.735457,29670916.554364372,4955503.152402563,36.98832033373946,25.707579086585486,4.293564338357922
NIST_GROUND,Ridge,48,horizon_specific,daily_matched,power-active,0.1,410266,12574,1172462665.8052175,15995585.902557334,-5173075.355830684,53.458497421545076,38.98832928528646,-12.609076442675445
NIST_GROUND,Ridge,48,horizon_specific,daily_matched,low-power,0.1,743904,19599,406598677.93024004,13675330.65180703,10128578.508233245,23.378924805520004,18.38319279343441,13.615437621296895
NIST_GROUND,Ridge,48,common_H144,primary,full,0.1,1050480,21885,1416236190.3617032,26831212.755632512,4667005.014030054,36.717571554884636,25.541859679034832,4.4427357151302775
