site,model,seed,neural_source,h,hours,support,analysis,scope,points,origins,SSE,SAE,signed_error,RMSE,MAE,bias,weighted_MSE_contribution
Hanwha,TCN,43,TCN,144,12.0,horizon_specific,primary,power-active,287368,4225,318273.96594796446,234494.87091760198,-162447.8197901384,1.0524012498720803,0.816008988187975,-0.5652954392630299,0.48888207800014205
Hanwha,TCN,43,TCN,144,12.0,horizon_specific,primary,low-power,363656,4521,48203.3711916076,77044.35591320696,37235.219351974716,0.3640770700865696,0.21186053829225138,0.1023913240864298,0.0740423873645328
Hanwha,TCN,43,TCN,144,12.0,horizon_specific,daily_matched,full,649735,4521,365848.10665601934,310975.1904245505,-125486.42961057456,0.7503817704735944,0.47861849896427083,-0.1931347851209717,0.5630728014590861
Hanwha,TCN,43,TCN,144,12.0,horizon_specific,daily_matched,power-active,287368,4225,318273.96594796446,234494.87091760198,-162447.8197901384,1.0524012498720803,0.816008988187975,-0.5652954392630299,0.4898519641822658
Hanwha,TCN,43,TCN,144,12.0,horizon_specific,daily_matched,low-power,362367,4521,47574.140708054874,76480.3195069485,36961.39017956383,0.362335725070792,0.2110576280592562,0.10199987907166996,0.07322083727682036
Hanwha,TCN,43,TCN,12,1.0,common_H144,primary,full,54252,4521,1412.9203433828243,5476.044070131014,1358.0096829186887,0.16138046501928432,0.10093718333206175,0.025031513730713866,0.026043654489840452
Hanwha,TCN,43,TCN,12,1.0,common_H144,primary,power-active,14558,1323,991.4964888856472,2475.8747109501564,99.77325481633306,0.26097249209922535,0.1700697012604861,0.006853500124765288,0.018275759214142283
Hanwha,TCN,43,TCN,12,1.0,common_H144,primary,low-power,39694,3413,421.4238544971772,3000.169359180858,1258.2364281023556,0.10303792989553744,0.07558243964278878,0.03169840348925167,0.007767895275698172
Hanwha,TCN,43,TCN,12,1.0,common_H144,daily_matched,full,54151,4521,1411.4324936773617,5466.490458613189,1352.1968257409399,0.16144582372033672,0.1009490214144372,0.024970856045889084,0.026064753996738042
Hanwha,TCN,43,TCN,12,1.0,common_H144,daily_matched,power-active,14558,1323,991.4964888856472,2475.8747109501564,99.77325481633306,0.26097249209922535,0.1700697012604861,0.006853500124765288,0.01830984633498268
Hanwha,TCN,43,TCN,12,1.0,common_H144,daily_matched,low-power,39593,3413,419.93600479171465,2990.6157476630324,1252.4235709246068,0.10298698665312161,0.0755339516496106,0.031632449446230566,0.007754907661755362
Hanwha,TCN,43,TCN,48,4.0,common_H144,primary,full,217008,4521,63531.64699467107,65006.193005066874,-17659.1375723647,0.5410746471005053,0.29955666613704046,-0.08137551413940822,0.2927617737349364
Hanwha,TCN,43,TCN,48,4.0,common_H144,primary,power-active,67179,2113,53488.151414032225,39139.99291302346,-30586.020810694325,0.8923023297710229,0.5826224402420914,-0.4552913977685635,0.24648009019958814
Hanwha,TCN,43,TCN,48,4.0,common_H144,primary,low-power,149829,3737,10043.495580638852,25866.200092043415,12926.883238329621,0.2589074253219285,0.17263814142818423,0.08627757802781585,0.04628168353534824
Hanwha,TCN,43,TCN,48,4.0,common_H144,daily_matched,full,216583,4521,63487.42169157107,64899.63580653745,-17710.58733639388,0.5414167188214943,0.2996524926080877,-0.08177274918342567,0.29313206341943304
Hanwha,TCN,43,TCN,48,4.0,common_H144,daily_matched,power-active,67179,2113,53488.151414032225,39139.99291302346,-30586.020810694325,0.8923023297710229,0.5826224402420914,-0.4552913977685635,0.24696375714636987
Hanwha,TCN,43,TCN,48,4.0,common_H144,daily_matched,low-power,149404,3737,9999.270277538842,25759.642893513992,12875.43347430044,0.2587039389397401,0.17241601893867628,0.08617863962344006,0.04616830627306318
Hanwha,TCN,43,TCN,96,8.0,common_H144,primary,full,434016,4521,243607.86212930328,192375.02766442022,-63356.54258142831,0.7491913944047778,0.44324409161049416,-0.1459774353512965,0.5612877454501752
Hanwha,TCN,43,TCN,96,8.0,common_H144,primary,power-active,163334,3169,208700.256133123,136157.48614223435,-95317.93596903372,1.1303766871670404,0.833613859589763,-0.5835768178642151,0.48085843870530814
Hanwha,TCN,43,TCN,96,8.0,common_H144,primary,low-power,270682,4191,34907.60599618028,56217.54152218586,31961.3933876054,0.35911235283622567,0.20768851095449958,0.11807727661095085,0.0804293067448672
Hanwha,TCN,43,TCN,96,8.0,common_H144,daily_matched,full,433159,4521,243457.82910802812,192109.9338009178,-63436.25357261207,0.7497011919916949,0.4435090435634901,-0.14645027246949058,0.5620518772737682
Hanwha,TCN,43,TCN,96,8.0,common_H144,daily_matched,power-active,163334,3169,208700.256133123,136157.48614223435,-95317.93596903372,1.1303766871670404,0.833613859589763,-0.5835768178642151,0.4818098114852121
Hanwha,TCN,43,TCN,96,8.0,common_H144,daily_matched,low-power,269825,4191,34757.57297490512,55952.44765868342,31881.68239642164,0.358908404917173,0.20736569131356775,0.1181568883403007,0.08024206578855597
Hanwha,TCN,43,TCN,144,12.0,common_H144,primary,full,651024,4521,366477.33713957213,311539.22683080897,-125212.60043816367,0.7502829235459614,0.4785372379986129,-0.19233177338802207,0.5629244653646749
Hanwha,TCN,43,TCN,144,12.0,common_H144,primary,power-active,287368,4225,318273.96594796446,234494.87091760198,-162447.8197901384,1.0524012498720803,0.816008988187975,-0.5652954392630299,0.48888207800014205
Hanwha,TCN,43,TCN,144,12.0,common_H144,primary,low-power,363656,4521,48203.3711916076,77044.35591320696,37235.219351974716,0.3640770700865696,0.21186053829225138,0.1023913240864298,0.0740423873645328
Hanwha,TCN,43,TCN,144,12.0,common_H144,daily_matched,full,649735,4521,365848.10665601934,310975.1904245505,-125486.42961057456,0.7503817704735944,0.47861849896427083,-0.1931347851209717,0.5630728014590861
Hanwha,TCN,43,TCN,144,12.0,common_H144,daily_matched,power-active,287368,4225,318273.96594796446,234494.87091760198,-162447.8197901384,1.0524012498720803,0.816008988187975,-0.5652954392630299,0.4898519641822658
Hanwha,TCN,43,TCN,144,12.0,common_H144,daily_matched,low-power,362367,4521,47574.140708054874,76480.3195069485,36961.39017956383,0.362335725070792,0.2110576280592562,0.10199987907166996,0.07322083727682036
Hanwha,TCN,44,TCN,12,1.0,horizon_specific,primary,full,79500,6625,2564.2941579623403,10061.432573720744,2908.8363767896517,0.17959752901195286,0.12655890029837413,0.036589136814964174,0.03225527242719925
Hanwha,TCN,44,TCN,12,1.0,horizon_specific,primary,power-active,36421,3225,2062.0008866043972,6614.498741790216,2164.957793191512,0.2379405663064094,0.18161222211883846,0.05944256866070432,0.025937118070495563
Hanwha,TCN,44,TCN,12,1.0,horizon_specific,primary,low-power,43079,3810,502.29327135794347,3446.9338319305266,743.8785835981398,0.10798063411511229,0.08001424898281127,0.017267777422831074,0.006318154356703691
Hanwha,TCN,44,TCN,12,1.0,horizon_specific,daily_matched,full,79392,6625,2562.418734507828,10049.454583671748,2917.439312237533,0.1796539122747809,0.12658019175322133,0.03674727065998505,0.03227552819563467
Hanwha,TCN,44,TCN,12,1.0,horizon_specific,daily_matched,power-active,36421,3225,2062.0008866043972,6614.498741790216,2164.957793191512,0.2379405663064094,0.18161222211883846,0.05944256866070432,0.02597240133268336
Hanwha,TCN,44,TCN,12,1.0,horizon_specific,daily_matched,low-power,42971,3810,500.4178479034307,3434.955841881531,752.4815190460213,0.10791421730740965,0.07993660473066791,0.017511380210979994,0.006303126862951314
Hanwha,TCN,44,TCN,48,4.0,horizon_specific,primary,full,290352,6049,103665.743277596,99361.22055752265,-53737.15288056484,0.5975238187671139,0.34220952691051776,-0.18507588334354452,0.35703471399403486
Hanwha,TCN,44,TCN,48,4.0,horizon_specific,primary,power-active,132649,3522,93683.09356596295,71533.08600483616,-54462.13333226522,0.8403856374938011,0.5392659274086964,-0.41057326728633625,0.3226535156154011
Hanwha,TCN,44,TCN,48,4.0,horizon_specific,primary,low-power,157703,4098,9982.649711633054,27828.134552686486,724.9804517003768,0.25159554021729397,0.17645913237342653,0.004597125303262314,0.03438119837863371
Hanwha,TCN,44,TCN,48,4.0,horizon_specific,daily_matched,full,289920,6049,103618.48478335796,99260.74205325275,-53726.42836086346,0.5978325133937039,0.3423728685611643,-0.1853146673594904,0.35740371407063315
Hanwha,TCN,44,TCN,48,4.0,horizon_specific,daily_matched,power-active,132649,3522,93683.09356596295,71533.08600483616,-54462.13333226522,0.8403856374938011,0.5392659274086964,-0.41057326728633625,0.32313429072145056
Hanwha,TCN,44,TCN,48,4.0,horizon_specific,daily_matched,low-power,157271,4098,9935.391217394994,27727.65604841658,735.7049714017603,0.25134379156024766,0.1763049516339095,0.004677944258011714,0.03426942334918251
Hanwha,TCN,44,TCN,96,8.0,horizon_specific,primary,full,506976,5281,337426.59087965835,250085.48215417285,-133825.44148211667,0.8158230128817724,0.4932886017369123,-0.26396800140858084,0.6655671883474925
Hanwha,TCN,44,TCN,96,8.0,horizon_specific,primary,power-active,228420,3881,303792.5379367238,191716.5561714922,-146902.91332734423,1.1532447532466847,0.8393159800870861,-0.6431263169921383,0.5992246929573072
Hanwha,TCN,44,TCN,96,8.0,horizon_specific,primary,low-power,278556,4482,33634.05294293454,58368.92598268062,13077.471845227572,0.3474828245055419,0.2095410832388483,0.04694737088853793,0.06634249539018522
Hanwha,TCN,44,TCN,96,8.0,horizon_specific,daily_matched,full,506112,5281,337154.27817605436,249773.9100346497,-133742.85522894494,0.816189531359144,0.49351509158970686,-0.2642554518149045,0.6661653511002591
Hanwha,TCN,44,TCN,96,8.0,horizon_specific,daily_matched,power-active,228420,3881,303792.5379367238,191716.5561714922,-146902.91332734423,1.1532447532466847,0.8393159800870861,-0.6431263169921383,0.6002476486167564
Hanwha,TCN,44,TCN,96,8.0,horizon_specific,daily_matched,low-power,277692,4482,33361.740239330495,58057.35386315749,13160.0580983993,0.3466112576030404,0.20907103504298824,0.04739084344669382,0.06591770248350265
Hanwha,TCN,44,TCN,144,12.0,horizon_specific,primary,full,651024,4521,369731.86853671074,309080.182227995,-122820.90183387217,0.7536070337026756,0.47476004299072694,-0.1886580246409843,0.5679235612461456
Hanwha,TCN,44,TCN,144,12.0,horizon_specific,primary,power-active,287368,4225,317404.45264981216,227544.99175493687,-146158.02520644933,1.050962705057882,0.7918243915639072,-0.5086092578382051,0.48754646933110324
Hanwha,TCN,44,TCN,144,12.0,horizon_specific,primary,low-power,363656,4521,52327.41588689854,81535.19047305817,23337.123372577167,0.3793318118577753,0.22420966647892013,0.06417362389889666,0.08037709191504236
Hanwha,TCN,44,TCN,144,12.0,horizon_specific,daily_matched,full,649735,4521,368871.0171789166,308442.1894847823,-122954.75631301975,0.7534755004861163,0.47471998504741514,-0.1892383145636602,0.5677253298328035
Hanwha,TCN,44,TCN,144,12.0,horizon_specific,daily_matched,power-active,287368,4225,317404.45264981216,227544.99175493687,-146158.02520644933,1.050962705057882,0.7918243915639072,-0.5086092578382051,0.4885137058182369
Hanwha,TCN,44,TCN,144,12.0,horizon_specific,daily_matched,low-power,362367,4521,51466.56452910442,80897.19772984544,23203.268893429577,0.37686713789738285,0.2232465917973917,0.06403251094451089,0.07921162401456658
Hanwha,TCN,44,TCN,12,1.0,common_H144,primary,full,54252,4521,1516.7756942131477,6032.715979979263,1660.6590151215719,0.16720636430221048,0.11119803841294815,0.03061009760232935,0.02795796826316353
Hanwha,TCN,44,TCN,12,1.0,common_H144,primary,power-active,14558,1323,1052.0395434425732,2842.125293000514,918.2889812300855,0.2688222269698869,0.19522772997668045,0.06307796271672521,0.01939171907842242
Hanwha,TCN,44,TCN,12,1.0,common_H144,primary,low-power,39694,3413,464.7361507705747,3190.5906869787486,742.3700338914864,0.10820337211823954,0.08037967166268828,0.018702323623003135,0.00856624918474111
Hanwha,TCN,44,TCN,12,1.0,common_H144,daily_matched,full,54151,4521,1514.9020323628602,6020.819024642469,1669.2186038853183,0.1672588219354165,0.11118574033060274,0.030825259069736814,0.02797551351522336
Hanwha,TCN,44,TCN,12,1.0,common_H144,daily_matched,power-active,14558,1323,1052.0395434425732,2842.125293000514,918.2889812300855,0.2688222269698869,0.19522772997668045,0.06307796271672521,0.01942788763721027
Hanwha,TCN,44,TCN,12,1.0,common_H144,daily_matched,low-power,39593,3413,462.86248892028675,3178.6937316419553,750.9296226552328,0.10812267659822287,0.08028423538610248,0.018966221873948245,0.008547625878013089
Hanwha,TCN,44,TCN,48,4.0,common_H144,primary,full,217008,4521,67006.61661958625,66833.29896134052,-27974.94329563962,0.5556751463741019,0.30797619885598926,-0.12891203686333969,0.30877486829787953
Hanwha,TCN,44,TCN,48,4.0,common_H144,primary,power-active,67179,2113,57354.686786261125,40237.57424488716,-29545.11435133271,0.9239908888236464,0.5989606014511553,-0.43979687627581104,0.2642975686899152
Hanwha,TCN,44,TCN,48,4.0,common_H144,primary,low-power,149829,3737,9651.929833325114,26595.724716453366,1570.171055693093,0.25381023871256253,0.17750718963921114,0.010479753957465464,0.04447729960796429
Hanwha,TCN,44,TCN,48,4.0,common_H144,daily_matched,full,216583,4521,66959.35988695241,66732.90149178282,-27964.26212262237,0.5560239057801947,0.30811698744491867,-0.12911568369919324,0.3091625837990628
Hanwha,TCN,44,TCN,48,4.0,common_H144,daily_matched,power-active,67179,2113,57354.686786261125,40237.57424488716,-29545.11435133271,0.9239908888236464,0.5989606014511553,-0.43979687627581104,0.26481619880720614
