site,model,seed,neural_source,lead,lead_hours,scope,points,origins,SSE,SAE,signed_error,RMSE,MAE,bias
Hanwha,TCN,42,TCN,35,2.9166666666666665,power-active,1521,1521,1876.1003676082828,1255.6018801490036,-1065.7503159428206,1.1106147250334235,0.8255107693287335,-0.7006905430261806
Hanwha,TCN,42,TCN,36,3.0,full,4512,4512,2254.9902417168337,2006.6657486746772,-1045.3790161731667,0.7069485172586917,0.4447397492630047,-0.2316886117405068
Hanwha,TCN,42,TCN,36,3.0,power-active,1534,1534,1974.8585357595825,1289.863814144861,-1074.362956888508,1.1346327527204616,0.840849944031852,-0.7003669862376193
Hanwha,TCN,42,TCN,37,3.0833333333333335,full,4512,4512,2392.174426549913,2067.298433084703,-1059.4385448802277,0.7281349478895996,0.4581778442120352,-0.23480464203905757
Hanwha,TCN,42,TCN,37,3.0833333333333335,power-active,1547,1547,2097.389546307133,1344.8840996504296,-1113.348839770304,1.1643790764534965,0.8693497735296895,-0.7196825079316769
Hanwha,TCN,42,TCN,38,3.1666666666666665,full,4512,4512,2507.696981779733,2112.1609197044927,-1042.8665705697967,0.7455091585864578,0.4681207712111021,-0.2311317753922422
Hanwha,TCN,42,TCN,38,3.1666666666666665,power-active,1560,1560,2196.5818073169294,1380.0738995566498,-1140.626501899911,1.1866192570073164,0.8846627561260576,-0.7311708345512251
Hanwha,TCN,42,TCN,39,3.25,full,4512,4512,2647.1493129677206,2183.8082126595036,-1071.0104502650138,0.765957501322037,0.4840000471319822,-0.23736933738143037
Hanwha,TCN,42,TCN,39,3.25,power-active,1573,1573,2310.5050943036913,1429.31464299839,-1182.800178940408,1.2119622812104043,0.9086552085177304,-0.7519390838781995
Hanwha,TCN,42,TCN,40,3.3333333333333335,full,4512,4512,2788.2766566744667,2244.792494789195,-1096.8451232838052,0.7861101177130081,0.4975160671075344,-0.24309510711077242
Hanwha,TCN,42,TCN,40,3.3333333333333335,power-active,1586,1586,2438.4612782841505,1480.138253621757,-1220.567370414734,1.2399561880262377,0.9332523667224193,-0.76958850593615
Hanwha,TCN,42,TCN,41,3.4166666666666665,full,4512,4512,2939.6321674022993,2295.862990296191,-1131.5852679143354,0.8071643088608023,0.5088348826011062,-0.2507946072505176
Hanwha,TCN,42,TCN,41,3.4166666666666665,power-active,1599,1599,2579.1778777895097,1530.1489029948134,-1264.4866781134624,1.2700371234939756,0.9569411525921284,-0.790798422835186
Hanwha,TCN,42,TCN,42,3.5,full,4512,4512,3068.4576319529942,2344.65809864358,-1138.5856257311025,0.8246611210240175,0.5196494012951197,-0.2523461049935954
Hanwha,TCN,42,TCN,42,3.5,power-active,1612,1612,2692.542308730288,1570.3478422700427,-1281.303288848605,1.2924053566556002,0.9741611924752126,-0.7948531568539733
Hanwha,TCN,42,TCN,43,3.5833333333333335,full,4512,4512,3194.5538407172185,2410.3226576323214,-1142.5321574175905,0.8414349762803387,0.5342027166738301,-0.25322077956950145
