site,model,seed,neural_source,origin_month,points,origins,SSE,SAE,signed_error,RMSE,MAE,bias
Hanwha,Inverted,42,Inverted,2018-08,649735,4521,401385.74954798236,314478.79202134593,-176623.57865821652,0.7859824407641663,0.48401085368857444,-0.2718394093872371
Hanwha,Inverted,43,Inverted,2018-08,649735,4521,419155.81903901335,339245.1546892158,-197485.95652889257,0.8031924525960606,0.5221284903679436,-0.3039484659574943
Hanwha,Inverted,44,Inverted,2018-08,649735,4521,444535.9387905885,348429.0064620824,-185467.04765206706,0.8271519687282118,0.53626325573054,-0.285450295354363
Qcells,Inverted,42,Inverted,2018-08,431150,2996,308939.48048275313,225052.47672387192,-125087.27369119957,0.8464913230352182,0.5219818548622798,-0.2901247215382108
Qcells,Inverted,43,Inverted,2018-08,431150,2996,325268.0110622831,243640.58938140256,-146366.1551932661,0.8685733136652152,0.5650947219793635,-0.33947849981042816
Qcells,Inverted,44,Inverted,2018-08,431150,2996,286926.54498309596,221020.4336901094,-87329.44357376016,0.8157764600124328,0.5126300213153413,-0.2025500256842402
Sanyo,Inverted,42,Inverted,2018-08,598317,4160,364627.8138665328,303551.59175895015,-74737.8833659698,0.7806551435120443,0.5073424150725286,-0.12491352137072789
Sanyo,Inverted,43,Inverted,2018-08,598317,4160,348842.35252925253,306043.9396766033,-47661.32156862227,0.7635701318466523,0.5115080127701591,-0.07965897938487837
Sanyo,Inverted,44,Inverted,2018-08,598317,4160,365694.82967895246,301585.4401419313,-116775.8120092343,0.781796530504988,0.5040562780966131,-0.19517381590232988
Hanwha,Joint-patch,42,Joint-patch,2018-08,649735,4521,410585.07191225793,307423.1524298151,-133687.5014720282,0.7949383455145803,0.4731515963120581,-0.20575696471950597
Hanwha,Joint-patch,43,Joint-patch,2018-08,649735,4521,328992.1594930013,291447.01852859143,-157428.43646750995,0.711581490842,0.4485629041510638,-0.24229637693445782
Hanwha,Joint-patch,44,Joint-patch,2018-08,649735,4521,347686.4012945214,290052.7676637416,-140310.6109483104,0.7315191865398963,0.44641702796331056,-0.21595051974775933
Qcells,Joint-patch,42,Joint-patch,2018-08,431150,2996,326620.95411338174,245164.17021447327,-110022.58993010261,0.8703778421521496,0.5686284824642776,-0.2551840193206601
Qcells,Joint-patch,43,Joint-patch,2018-08,431150,2996,315312.302455336,229938.21478737684,-121752.31108258587,0.8551774936503803,0.5333137302270134,-0.28238968127701697
Qcells,Joint-patch,44,Joint-patch,2018-08,431150,2996,293477.20652913617,217976.43092982366,-126693.64523013384,0.8250361783880522,0.5055698270435433,-0.2938505049985709
Sanyo,Joint-patch,42,Joint-patch,2018-08,598317,4160,428242.0220072693,294315.4617740976,-137557.821487854,0.8460167647824128,0.49190556473257085,-0.22990792754986739
Sanyo,Joint-patch,43,Joint-patch,2018-08,598317,4160,365769.9900647411,285855.25650108856,-98938.09584367747,0.7818768667651362,0.4777655598973263,-0.1653606630660293
Sanyo,Joint-patch,44,Joint-patch,2018-08,598317,4160,336356.5556286018,267220.27862115955,-109917.70670766445,0.7497807342518378,0.4466198998543574,-0.18371148857155062
