site,h,model,scope,RMSE_mean,RMSE_seed_SD,MAE_mean,bias_mean,points,weighted_MSE,Daily_weighted_MSE,MSE_contribution_difference_vs_Daily,full_points,target_fraction
NIST_GROUND,96,Inverted,low-power,28.59812259670403,1.8859113570374306,15.316468263973753,10.336068471484753,1425306,532.6839722746222,46.49803658116532,486.1859356934569,2194678,0.6494374117752126
NIST_GROUND,96,Inverted,power-active,55.61193100841578,0.7838590343273405,43.21323238204411,1.8831215301110802,769372,1084.323912498556,1703.3629243310936,-619.0390118325377,2194678,0.3505625882247874
NIST_GROUND,96,Joint-patch,full,41.762579797747975,0.7264208609926622,26.320419253684218,9.57839039550102,2194678,1744.464862874791,1749.860960912259,-5.396098037468164,2194678,1.0
NIST_GROUND,96,Joint-patch,low-power,31.674437440802183,1.935954103913442,16.873272377587053,13.028740117432733,1425306,653.1837560301962,46.49803658116532,606.6857194490308,2194678,0.6494374117752126
NIST_GROUND,96,Joint-patch,power-active,55.792207452053766,0.5077590943470051,43.82180366250407,3.1864185525335067,769372,1091.2811068445944,1703.3629243310936,-612.0818174864992,2194678,0.3505625882247874
NIST_GROUND,96,Last-value,full,69.58692279997278,,38.54010403403141,0.7255639600889058,2194678,4842.339824769371,1749.860960912259,3092.478863857112,2194678,1.0
NIST_GROUND,96,Last-value,low-power,54.11787704487362,,21.74048722098974,21.66102376654557,1425306,1902.0363230643557,46.49803658116532,1855.5382864831904,2194678,0.6494374117752126
NIST_GROUND,96,Last-value,power-active,91.58266925093992,,69.66236302100934,-38.05858268795849,769372,2940.303501705015,1703.3629243310936,1236.9405773739215,2194678,0.3505625882247874
NIST_GROUND,96,Recurrent,full,39.84959771872622,1.2589703706804307,22.535781511975383,7.153297543321499,2194678,1589.0471092738107,1749.860960912259,-160.81385163844834,2194678,1.0
NIST_GROUND,96,Recurrent,low-power,27.92089377531013,3.0737367868203576,11.865153009768868,11.076510275639109,1425306,510.37654876198417,46.49803658116532,463.87851218081886,2194678,0.6494374117752126
NIST_GROUND,96,Recurrent,power-active,55.46923662652401,0.4479441471874244,42.30373619185189,-0.1146802965903837,769372,1078.6705605118268,1703.3629243310936,-624.6923638192668,2194678,0.3505625882247874
NIST_GROUND,96,TCN,full,41.1545303315037,1.8190919906911807,27.899228193834166,10.841457130775934,2194678,1695.901430587056,1749.860960912259,-53.959530325203104,2194678,1.0
NIST_GROUND,96,TCN,low-power,31.550362740569977,3.164902270682737,19.75304618400137,14.907635550479258,1425306,650.8032609035504,46.49803658116532,604.305224322385,2194678,0.6494374117752126
NIST_GROUND,96,TCN,power-active,54.598703682168384,0.5258657015306105,42.99050016071982,3.3086271100919675,769372,1045.0981696835058,1703.3629243310936,-658.2647546475878,2194678,0.3505625882247874
NIST_GROUND,144,Daily,full,41.89943091246381,,18.20653131017721,0.3898566509923044,3128676,1755.5623107883284,1755.5623107883284,0.0,3128676,1.0
NIST_GROUND,144,Daily,low-power,8.601538502143192,,1.1503974873159195,1.1132886019094823,2030498,48.01691463264069,48.01691463264069,0.0,3128676,0.6489959331039712
NIST_GROUND,144,Daily,power-active,69.74772636150155,,49.7428083208733,-0.9477472069190964,1098178,1707.545396155688,1707.545396155688,0.0,3128676,0.35100406689602887
NIST_GROUND,144,Inverted,full,44.60928927564805,0.6903262606733398,28.550085448822454,12.744838197413538,3128676,1990.3063899092315,1755.5623107883284,234.74407912090305,3128676,1.0
NIST_GROUND,144,Inverted,low-power,32.91299922923856,0.9193680794519622,17.840428916977103,12.728627621564241,2030498,703.4006196966266,48.01691463264069,655.3837050639859,3128676,0.6489959331039712
NIST_GROUND,144,Inverted,power-active,60.54447842124741,1.040570402526868,48.35191736368409,12.774811063233882,1098178,1286.9057702126047,1707.545396155688,-420.6396259430833,3128676,0.35100406689602887
NIST_GROUND,144,Joint-patch,full,46.494522058615566,0.9243501654468478,29.30024927517933,14.93429060350472,3128676,2162.3101969446643,1755.5623107883284,406.7478861563359,3128676,1.0
NIST_GROUND,144,Joint-patch,low-power,34.74203258838478,1.5143391386915277,18.141182908998488,14.788176003486823,2030498,784.336015779741,48.01691463264069,736.3191011471004,3128676,0.6489959331039712
NIST_GROUND,144,Joint-patch,power-active,62.652985063825604,0.7845481205683383,49.93302641913729,15.204452091994876,1098178,1377.974181164923,1707.545396155688,-329.57121499076493,3128676,0.35100406689602887
NIST_GROUND,144,Last-value,full,78.65828435038533,,47.18503632443883,2.02472036062539,3128676,6187.125696946073,1755.5623107883284,4431.563386157744,3128676,1.0
NIST_GROUND,144,Last-value,low-power,66.39220858672512,,31.98729099875991,31.89355730505521,2030498,2860.725632729922,48.01691463264069,2812.7087180972812,3128676,0.6489959331039712
NIST_GROUND,144,Last-value,power-active,97.34892632096005,,75.28520905445203,-53.20185827962316,1098178,3326.400064216152,1707.545396155688,1618.8546680604638,3128676,0.35100406689602887
NIST_GROUND,144,Recurrent,full,44.3881377008422,1.2445581186022119,25.48443385677147,12.068278636317075,3128676,1971.339385155981,1755.5623107883284,215.77707436765263,3128676,1.0
NIST_GROUND,144,Recurrent,low-power,31.510967041482193,1.9012194960374893,13.296900763320673,12.645441517773955,2030498,645.9786218201868,48.01691463264069,597.9617071875462,3128676,0.6489959331039712
NIST_GROUND,144,Recurrent,power-active,61.445159594832376,0.7796182529977188,48.01881496000396,11.00112187623589,1098178,1325.3607633357942,1707.545396155688,-382.18463281989375,3128676,0.35100406689602887
NIST_GROUND,144,TCN,full,45.279170388513705,2.5089595977075203,30.952998638011707,15.46646477974817,3128676,2054.399856580676,1755.5623107883284,298.83754579234756,3128676,1.0
NIST_GROUND,144,TCN,low-power,34.6867907493885,3.3847395284908095,21.481588329490478,16.79657854325873,2030498,785.8114755094226,48.01691463264069,737.7945608767819,3128676,0.6489959331039712
NIST_GROUND,144,TCN,power-active,60.099518450869596,1.8239728290903066,48.46535063252603,13.007124548400732,1098178,1268.5883810712533,1707.545396155688,-438.9570150844347,3128676,0.35100406689602887
Qcells,12,Daily,full,0.2805451981772975,,0.0698181364319994,-0.005368575681465,77530,0.0787056082203391,0.0787056082203391,0.0,77530,1.0
Qcells,12,Daily,low-power,0.0008042324083558,,7.436907819380829e-05,-6.124244247053678e-05,41026,3.422571516390916e-07,3.422571516390916e-07,0.0,77530,0.5291629046820585
Qcells,12,Daily,power-active,0.4088524076050108,,0.1482015409755352,-0.0113333645666005,36504,0.0787052659631874,0.0787052659631874,0.0,77530,0.47083709531794143
Qcells,12,Inverted,full,0.32736881432513115,0.024003890808097752,0.20365909457559972,-0.055770472800151905,77530,0.1075544651085935,0.0787056082203391,0.028848856888254393,77530,1.0
Qcells,12,Inverted,low-power,0.12800053477965181,0.03992730244865844,0.0995897707158912,-0.04220611023298496,41026,0.0092322680989558,3.422571516390916e-07,0.009231925841804161,77530,0.5291629046820585
