site,h,analysis,scope,block_hours,blocks,replicates,valid_replicates,skill,ci_low,ci_high
Sanyo,12,daily_matched,low-power,72,8,2000,2000,-75.89097584792803,-150.41162243496285,-55.097447732422076
Sanyo,48,primary,full,24,24,2000,2000,0.5542746553224411,0.5226739242474413,0.5823283568743095
Sanyo,48,primary,full,48,12,2000,2000,0.5542746553224412,0.5177068630944789,0.5892410070503805
Sanyo,48,primary,full,72,8,2000,2000,0.5542746553224412,0.511850234111303,0.5829598003275832
Sanyo,48,primary,power-active,24,24,2000,2000,0.5684097709213816,0.5412481605458688,0.5939614665964
Sanyo,48,primary,power-active,48,12,2000,2000,0.5684097709213817,0.5362238848468269,0.6029697529944275
Sanyo,48,primary,power-active,72,8,2000,2000,0.5684097709213817,0.5347323417806005,0.5981536796919453
Sanyo,48,primary,low-power,24,24,2000,2000,0.4463828341623695,0.145237293444779,0.5784685882742907
Sanyo,48,primary,low-power,48,12,2000,2000,0.4463828341623694,0.11224982569291488,0.5837851538461056
Sanyo,48,primary,low-power,72,8,2000,2000,0.4463828341623695,0.010550671669583572,0.6048458286628903
Sanyo,48,daily_matched,full,24,24,2000,2000,-3.0226540814902862,-12.908902921486925,-1.715219946965735
Sanyo,48,daily_matched,full,48,12,2000,2000,-3.0226540814902862,-13.281231577439414,-1.459209834590286
Sanyo,48,daily_matched,full,72,8,2000,2000,-3.022654081490286,-12.30067401998914,-1.556758424832874
Sanyo,48,daily_matched,power-active,24,24,2000,2000,-2.7045090384258987,-11.850114347929866,-1.4870585213875764
Sanyo,48,daily_matched,power-active,48,12,2000,2000,-2.7045090384258987,-12.136673314575035,-1.2503046611178783
Sanyo,48,daily_matched,power-active,72,8,2000,2000,-2.7045090384258987,-11.35978938788657,-1.3270483400709878
Sanyo,48,daily_matched,low-power,24,24,2000,2000,-134.65103820543555,-258.5983418103942,-91.97583135832046
Sanyo,48,daily_matched,low-power,48,12,2000,2000,-134.65103820543555,-282.2816769295856,-88.58684039585609
Sanyo,48,daily_matched,low-power,72,8,2000,2000,-134.65103820543555,-311.3905413773499,-90.09974647088326
Sanyo,96,primary,full,24,24,2000,2000,0.6415442015376741,0.6021971114288432,0.6776117015708343
Sanyo,96,primary,full,48,12,2000,2000,0.6415442015376741,0.595984257964323,0.6849357044298081
Sanyo,96,primary,full,72,8,2000,2000,0.6415442015376741,0.5898260235443846,0.6715416870551444
Sanyo,96,primary,power-active,24,24,2000,2000,0.6404809709856378,0.6021277501999917,0.6768020994958174
Sanyo,96,primary,power-active,48,12,2000,2000,0.6404809709856377,0.5971537960342831,0.6877019184270833
Sanyo,96,primary,power-active,72,8,2000,2000,0.6404809709856378,0.5993316849640519,0.6770549531716641
Sanyo,96,primary,low-power,24,24,2000,2000,0.6482347816800763,0.4071830783401861,0.7346163109106352
Sanyo,96,primary,low-power,48,12,2000,2000,0.6482347816800762,0.38349941384865793,0.7384570792792979
Sanyo,96,primary,low-power,72,8,2000,2000,0.6482347816800762,0.2776192105743211,0.7502391541045967
Sanyo,96,daily_matched,full,24,24,2000,2000,-5.398011142986673,-16.67003966808522,-3.455913893888506
Sanyo,96,daily_matched,full,48,12,2000,2000,-5.398011142986675,-16.983374280299486,-2.9938677205261124
Sanyo,96,daily_matched,full,72,8,2000,2000,-5.398011142986673,-15.823119286697588,-3.2050573147801193
Sanyo,96,daily_matched,power-active,24,24,2000,2000,-4.877601524507621,-15.332908238665436,-3.0533375499347106
Sanyo,96,daily_matched,power-active,48,12,2000,2000,-4.8776015245076225,-15.515895332796122,-2.6212990886086254
Sanyo,96,daily_matched,power-active,72,8,2000,2000,-4.877601524507622,-14.574995283248848,-2.8110253619504415
Sanyo,96,daily_matched,low-power,24,24,2000,2000,-165.05948363549126,-302.73277629121833,-111.87791472776324
Sanyo,96,daily_matched,low-power,48,12,2000,2000,-165.05948363549115,-334.03173867282476,-108.64021964781153
Sanyo,96,daily_matched,low-power,72,8,2000,2000,-165.05948363549166,-399.459775244388,-108.38383497533289
Sanyo,144,primary,full,24,24,2000,2000,0.7158380562587684,0.6828612943520869,0.7468034783564592
Sanyo,144,primary,full,48,12,2000,2000,0.7158380562587684,0.6763285621669388,0.755107355637644
Sanyo,144,primary,full,72,8,2000,2000,0.7158380562587685,0.6726956274287876,0.7430206586097082
Sanyo,144,primary,power-active,24,24,2000,2000,0.7118249771459625,0.6768740833050184,0.7465568179298203
Sanyo,144,primary,power-active,48,12,2000,2000,0.7118249771459627,0.6706195403788239,0.7584245967756986
Sanyo,144,primary,power-active,72,8,2000,2000,0.7118249771459627,0.6738792557222915,0.7494921556866643
Sanyo,144,primary,low-power,24,24,2000,2000,0.7310263860417837,0.5669520813630059,0.7873829714282873
Sanyo,144,primary,low-power,48,12,2000,2000,0.7310263860417837,0.5599991434529701,0.7867567555914561
Sanyo,144,primary,low-power,72,8,2000,2000,0.7310263860417837,0.4863299183437493,0.7880135449485137
Sanyo,144,daily_matched,full,24,24,2000,2000,-5.562807959666383,-15.725091406275435,-3.5016851659310957
Sanyo,144,daily_matched,full,48,12,2000,2000,-5.562807959666384,-16.064464188981884,-3.025936085635478
