site,model,split,group,component_RMS_kW,component_mean_kW,component_absmax_kW,worst_origin_component_RMS_kW
YULARA_COMBINED,Ridge+day,train,temperature_missing,0.2016275009825962,-3.961237861761272e-18,17.21325804460993,0.004126673890562132
YULARA_COMBINED,Ridge+day,train,ghi_missing,0.20162750098267776,-2.951357063011857e-18,17.213258044665775,0.004126673890570173
YULARA_COMBINED,Ridge+day,train,isolation_forest_flag,0.29682698840501653,2.9321415721265613e-19,10.232126701795941,0.032421116304228774
YULARA_COMBINED,Ridge+day,train,day_power,26.17777895895807,1.489975198333315e-13,73.88503675010467,29.42113704899268
YULARA_COMBINED,Ridge+day,train,day_missing,1.4229008291930214,2.1438225001330785e-16,61.590219985959635,0.049823959727259295
YULARA_COMBINED,Ridge+day,validation,historical_ac_active_power,7.838914073488487,-0.13413600605966933,54.98554664161506,3.908185245755493
YULARA_COMBINED,Ridge+day,validation,ambient_temperature,1.4437327607303734,-0.004798130598376328,10.227553408799022,1.7456068975125993
YULARA_COMBINED,Ridge+day,validation,global_horizontal_irradiance,3.7337714386236875,0.2647197877626405,14.496499547334603,2.006570135311116
YULARA_COMBINED,Ridge+day,validation,power_missing,0.12040798669652995,0.0009385924055884093,11.883429117683844,0.0009289099464581235
YULARA_COMBINED,Ridge+day,validation,temperature_missing,30.738513062008852,-11.532238997059217,149.78926616285884,71.52454353969551
YULARA_COMBINED,Ridge+day,validation,ghi_missing,30.73851306206753,-11.532238997086882,149.78926616307993,71.5245435398349
YULARA_COMBINED,Ridge+day,validation,isolation_forest_flag,0.10508795898113522,0.02109492665018406,7.047980306689323,0.032421116304228774
YULARA_COMBINED,Ridge+day,validation,day_power,27.59198723021113,1.0882206892531148,69.76682667525466,33.61966996362911
YULARA_COMBINED,Ridge+day,validation,day_missing,0.8876957518303137,-0.040786231618207436,40.70442565438836,0.049823959727259295
YULARA_COMBINED,Ridge+day,test,historical_ac_active_power,8.004599467274664,-0.24350002401321774,58.97359436700656,4.9669813507022615
YULARA_COMBINED,Ridge+day,test,ambient_temperature,1.1363240056788995,0.027059708983144,10.11610050604577,0.9312446030722608
YULARA_COMBINED,Ridge+day,test,global_horizontal_irradiance,4.346585240875484,0.8503355892411342,21.960122060940645,3.140119909534114
YULARA_COMBINED,Ridge+day,test,power_missing,0.0009289099464581227,-0.0005004290277108943,0.0025078431098947405,0.0009289099464581236
YULARA_COMBINED,Ridge+day,test,temperature_missing,16.692286921788,-3.412581982740223,149.78926616285884,71.52454353969551
YULARA_COMBINED,Ridge+day,test,ghi_missing,16.69228692181982,-3.412581982748414,149.78926616307993,71.5245435398349
YULARA_COMBINED,Ridge+day,test,isolation_forest_flag,0.5554225985228985,-0.055907428067766225,10.102036647706464,0.032421116304228774
YULARA_COMBINED,Ridge+day,test,day_power,28.043237624320245,2.2299249021956262,74.57658619423935,27.614442029084152
YULARA_COMBINED,Ridge+day,test,day_missing,0.04982395972725927,-0.04178330560684098,0.07123291866208957,0.049823959727259295
