site,scope,block_hours,block,start,count,Ridge A_SSE,Ridge B_SSE,Daily_SSE,Inverted42_SSE,Inverted43_SSE,Inverted44_SSE
YULARA_COMBINED,power-active,72,5,2017-10-16 00:00:00,63072.0,33095043.013794113,558637.9389197576,1087785.8164266997,17646287.570906,19391583.416476153,17516730.180354383
YULARA_COMBINED,power-active,72,6,2017-10-19 00:00:00,63072.0,46324036.92943511,5967753.489714417,8086985.22036135,21832962.91376336,22556723.84877213,19808740.893365968
YULARA_COMBINED,power-active,72,7,2017-10-22 00:00:00,63493.0,41146540.98985869,7742033.500996623,11451464.439316936,24819396.051432684,25058171.439003494,23394342.821887773
YULARA_COMBINED,power-active,72,8,2017-10-25 00:00:00,64224.0,42528709.10251973,15316107.459846068,19936089.194014087,23085147.267695732,25092692.594671875,24463469.684353415
YULARA_COMBINED,power-active,72,9,2017-10-28 00:00:00,64368.0,41402584.26194278,5537059.09416236,12307056.04536708,21882641.924595036,23111592.86265485,18954318.564767327
YULARA_COMBINED,power-active,72,10,2017-10-31 00:00:00,64800.0,1625866374.09138,74763826.88469246,67276.13838759958,33853076.161715046,34011579.33480155,31166101.510564115
YULARA_COMBINED,power-active,72,11,2017-11-03 00:00:00,64800.0,16932453193.290134,1322755638.937239,7615564.002014974,31920348.617030505,28218439.56148712,36992647.07755746
YULARA_COMBINED,power-active,72,12,2017-11-06 00:00:00,62132.0,9269240001.66776,816350892.4347742,45285724.455428556,37330475.185894094,34031189.91888769,40358984.74499975
YULARA_COMBINED,power-active,72,13,2017-11-09 00:00:00,64156.0,35366671.06912208,45012126.11947721,66105481.66188889,38438326.9538557,36817987.75165416,37502396.18163185
YULARA_COMBINED,power-active,72,14,2017-11-12 00:00:00,63497.0,40913782.87098729,25739695.51744809,39380053.00446844,38854898.9454923,33552540.349399474,30273392.277398393
YULARA_COMBINED,power-active,72,15,2017-11-15 00:00:00,63867.0,46162500.13697456,10942513.585123722,17178479.79443452,33147343.78565054,31108130.541232783,26838479.250156812
YULARA_COMBINED,power-active,72,16,2017-11-18 00:00:00,65733.0,47007060.30699456,34753378.95542567,49405940.635399096,30463577.348907914,30259676.162965465,31139343.45444959
YULARA_COMBINED,power-active,72,17,2017-11-21 00:00:00,66240.0,37704644.65837027,9198701.500028871,12118988.30772394,18491575.02679292,21312456.24246534,18777944.231149513
YULARA_COMBINED,power-active,72,18,2017-11-24 00:00:00,60768.0,47385740.899889916,27028999.105649915,42051816.30542387,27282816.894382633,28210259.74367926,28271375.08824544
YULARA_COMBINED,power-active,72,19,2017-11-27 00:00:00,66027.0,77876822.31111056,41351094.050944805,65075431.00538379,36304516.0812564,36143371.41169526,36859340.848238125
YULARA_COMBINED,power-active,72,20,2017-11-30 00:00:00,66523.0,54350025.57280697,23654655.99637652,32000724.644115396,44818485.47373218,38468717.17558157,35959152.80488936
YULARA_COMBINED,power-active,72,21,2017-12-03 00:00:00,67086.0,43865626.996539846,6570981.132819986,8729071.596736329,29872132.272208158,28750957.24409447,26197061.15153793
YULARA_COMBINED,power-active,72,22,2017-12-06 00:00:00,66908.0,46698239.413592726,55689689.60042242,80991242.40753135,33010296.911713358,31618038.57013158,31038848.239600237
YULARA_COMBINED,power-active,72,23,2017-12-09 00:00:00,67687.0,35826452.63352724,11237244.832774779,14825529.51094824,19775770.40075545,21213048.370428007,19390034.709158942
YULARA_COMBINED,power-active,72,24,2017-12-12 00:00:00,67316.0,44727530.12529098,50616189.59879819,72554233.87106065,39610717.28288998,39508820.49047678,38255274.9223755
YULARA_COMBINED,power-active,72,25,2017-12-15 00:00:00,67680.0,42188504.2317469,14545204.028565742,17599718.47323595,22024432.721011322,24057785.91319197,23844746.898857784
YULARA_COMBINED,power-active,72,26,2017-12-18 00:00:00,67968.0,40032545.866372965,13791531.735585256,27276208.95658307,20070390.70962133,21422892.739312124,21566962.11876247
YULARA_COMBINED,power-active,72,27,2017-12-21 00:00:00,67680.0,32004133.832134474,565593.9351173701,169901.01133109763,13193050.238887012,15951198.990273284,14363428.210935494
YULARA_COMBINED,power-active,72,28,2017-12-24 00:00:00,67191.0,32372137.38021168,6320055.727253441,6707665.144789568,12405216.833578484,15777461.122436926,14871754.953945167
YULARA_COMBINED,power-active,72,29,2017-12-27 00:00:00,61986.0,47638607.429304555,44482127.51083135,66564420.01018817,42784128.25008804,42429034.87979685,46101601.56290986
YULARA_COMBINED,power-active,72,30,2017-12-30 00:00:00,37536.0,29274363.62885499,20923527.990555163,36362769.301960714,27442428.369273618,22907177.321485598,23362838.48226283
YULARA_COMBINED,low-power,24,0,2017-10-01 00:00:00,17952.0,4780405.378147584,206739.77463209824,447.2623032729219,177565.99299045553,154954.87001916536,266447.6127539459
