split,timestamp,hour,power
train,2018-06-27 18:10:00,18,-0.0005
train,2018-06-28 18:05:00,18,-0.003833333
train,2018-06-28 18:10:00,18,-0.0005
train,2018-06-29 18:00:00,18,-0.004533333
train,2018-06-30 18:05:00,18,-0.004233333
train,2018-06-30 18:10:00,18,-0.000433333
train,2018-07-01 07:25:00,7,-0.000133333
train,2018-07-01 18:05:00,18,-0.0055
train,2018-07-01 18:10:00,18,-0.0025
train,2018-07-02 07:25:00,7,-0.0002
train,2018-07-02 18:05:00,18,-0.002033333
train,2018-07-02 18:10:00,18,-0.0015
train,2018-07-03 07:25:00,7,-0.000133333
train,2018-07-03 18:10:00,18,-0.002133333
train,2018-07-04 07:25:00,7,-6.67e-05
train,2018-07-04 18:05:00,18,-0.003766667
train,2018-07-04 18:10:00,18,-0.004566667
train,2018-07-05 18:00:00,18,-6.67e-05
train,2018-07-05 18:05:00,18,-0.005566667
train,2018-07-05 18:10:00,18,-0.008833333
train,2018-07-06 18:05:00,18,-0.000133333
train,2018-07-06 18:10:00,18,-0.000933333
train,2018-07-07 07:25:00,7,-6.67e-05
train,2018-07-07 18:05:00,18,-6.67e-05
train,2018-07-07 18:10:00,18,-0.002933333
train,2018-07-08 07:25:00,7,-0.000133333
train,2018-07-08 18:10:00,18,-0.003266667
train,2018-07-09 07:25:00,7,-0.000133333
train,2018-07-12 18:10:00,18,-0.003533333
train,2018-07-12 18:15:00,18,-0.000533333
train,2018-07-13 18:10:00,18,-0.000133333
train,2018-07-13 18:15:00,18,-0.000533333
train,2018-07-14 18:10:00,18,-0.0008
train,2018-07-14 18:15:00,18,-0.000733333
train,2018-07-15 18:10:00,18,-0.001833333
train,2018-07-15 18:15:00,18,-0.0019
validation,2018-07-16 18:05:00,18,-6.67e-05
validation,2018-07-16 18:10:00,18,-0.006166667
validation,2018-07-16 18:15:00,18,-0.0069
validation,2018-07-17 18:10:00,18,-0.0029
validation,2018-07-17 18:15:00,18,-0.0045
validation,2018-07-18 18:10:00,18,-0.001166667
validation,2018-07-18 18:15:00,18,-0.0033
validation,2018-07-19 18:10:00,18,-0.000466667
validation,2018-07-19 18:15:00,18,-0.001533333
validation,2018-07-20 18:10:00,18,-0.000133333
validation,2018-07-20 18:15:00,18,-0.003
validation,2018-07-21 18:15:00,18,-0.0036
validation,2018-07-22 18:10:00,18,-0.000966667
validation,2018-07-22 18:15:00,18,-0.0113
validation,2018-07-22 18:20:00,18,-0.003466667
validation,2018-07-23 18:10:00,18,-0.000333333
validation,2018-07-23 18:15:00,18,-0.006066667
validation,2018-07-24 18:05:00,18,-0.0007
validation,2018-07-24 18:10:00,18,-0.0025
validation,2018-07-25 18:10:00,18,-6.67e-05
validation,2018-07-25 18:15:00,18,-0.0048
validation,2018-07-26 18:15:00,18,-0.000333333
validation,2018-07-27 18:15:00,18,-0.0064
validation,2018-07-27 18:20:00,18,-0.002533333
validation,2018-07-28 18:15:00,18,-0.0008
validation,2018-07-28 18:20:00,18,-0.0008
validation,2018-07-29 07:20:00,7,-0.000133333
validation,2018-07-29 18:15:00,18,-0.0008
validation,2018-07-29 18:20:00,18,-0.001666666
validation,2018-07-30 18:15:00,18,-0.000733333
validation,2018-07-30 18:20:00,18,-0.003333333
validation,2018-07-31 18:10:00,18,-0.000533333
validation,2018-07-31 18:15:00,18,-0.006533334
validation,2018-07-31 18:20:00,18,-0.003133333
validation,2018-08-01 18:15:00,18,-0.003533334
validation,2018-08-02 18:10:00,18,-0.001066667
validation,2018-08-03 18:20:00,18,-0.002866667
validation,2018-08-04 18:20:00,18,-0.0032
validation,2018-08-05 18:20:00,18,-0.005066667
validation,2018-08-06 18:20:00,18,-0.0042
validation,2018-08-06 18:25:00,18,-0.0008
validation,2018-08-07 18:15:00,18,-6.67e-05
validation,2018-08-07 18:20:00,18,-0.0034
validation,2018-08-07 18:25:00,18,-0.003533334
test,2018-08-08 18:20:00,18,-0.001933333
test,2018-08-08 18:25:00,18,-0.0022
test,2018-08-09 18:20:00,18,-0.0022
test,2018-08-09 18:25:00,18,-0.002733334
test,2018-08-10 18:20:00,18,-0.001666667
test,2018-08-10 18:25:00,18,-0.004666667
test,2018-08-11 18:20:00,18,-0.0002
test,2018-08-11 18:25:00,18,-0.002
test,2018-08-12 18:20:00,18,-0.000466667
test,2018-08-12 18:25:00,18,-0.001866667
test,2018-08-13 18:20:00,18,-0.000533333
test,2018-08-13 18:25:00,18,-0.003466667
test,2018-08-14 18:20:00,18,-0.0034
test,2018-08-14 18:25:00,18,-0.008400001
test,2018-08-15 18:20:00,18,-3.64e-11
test,2018-08-15 18:25:00,18,-0.0032
test,2018-08-16 18:20:00,18,-0.002066667
test,2018-08-16 18:25:00,18,-0.0094
test,2018-08-17 18:20:00,18,-0.001466667
test,2018-08-17 18:25:00,18,-0.010933333
test,2018-08-17 18:30:00,18,-0.001866667
test,2018-08-18 18:20:00,18,-0.000266667
test,2018-08-18 18:25:00,18,-0.005066667
test,2018-08-19 18:20:00,18,-6.67e-05
test,2018-08-19 18:25:00,18,-0.004533333
test,2018-08-19 18:30:00,18,-0.001
test,2018-08-20 18:20:00,18,-0.0002
test,2018-08-20 18:25:00,18,-0.002066666
test,2018-08-20 18:30:00,18,-0.003133334
test,2018-08-21 07:05:00,7,-0.000133333
test,2018-08-21 18:25:00,18,-0.0004
test,2018-08-21 18:30:00,18,-0.001
test,2018-08-22 18:25:00,18,-0.002
test,2018-08-22 18:30:00,18,-0.000933333
test,2018-08-23 18:25:00,18,-0.000133333
test,2018-08-23 18:30:00,18,-0.003266667
test,2018-08-24 18:25:00,18,-0.003066666
test,2018-08-24 18:30:00,18,-0.0042
test,2018-08-25 18:25:00,18,-0.002333333
test,2018-08-25 18:30:00,18,-0.005333333
test,2018-08-26 18:25:00,18,-0.002
test,2018-08-26 18:30:00,18,-0.005400001
test,2018-08-27 07:00:00,7,-0.000133333
test,2018-08-27 18:25:00,18,-0.002533333
test,2018-08-27 18:30:00,18,-0.006333333
test,2018-08-28 18:25:00,18,-0.002733333
test,2018-08-28 18:30:00,18,-0.006666667
test,2018-08-29 18:25:00,18,-0.000133333
test,2018-08-29 18:30:00,18,-0.003466667
test,2018-08-30 18:25:00,18,-0.001333333
test,2018-08-30 18:30:00,18,-0.001066667
test,2018-08-31 18:25:00,18,-0.003466666
test,2018-08-31 18:30:00,18,-0.008733334
test,2018-08-31 18:35:00,18,-0.0004
