split,support,h,bin_left,bin_right,target_pairs
test,all_grid_origins,144,1.0,2.0,53932
test,all_grid_origins,144,2.0,3.0,62492
test,all_grid_origins,144,3.0,4.0,78286
test,all_grid_origins,144,4.0,5.0,162242
test,all_grid_origins,144,5.0,6.0,39024
test,all_grid_origins,144,6.0,inf,0
test,H12_support,12,-inf,-0.01,0
test,H12_support,12,-0.01,0.0,0
test,H12_support,12,0.0,0.060368347169999996,41052
test,H12_support,12,0.060368347169999996,0.1,357
test,H12_support,12,0.1,0.5,1224
test,H12_support,12,0.5,1.0,1878
test,H12_support,12,1.0,2.0,4473
test,H12_support,12,2.0,3.0,5232
test,H12_support,12,3.0,4.0,6552
test,H12_support,12,4.0,5.0,13536
test,H12_support,12,5.0,6.0,3252
test,H12_support,12,6.0,inf,0
test,H12_support,144,-inf,-0.01,131
test,H12_support,144,-0.01,0.0,6933
test,H12_support,144,0.0,0.060368347169999996,477164
test,H12_support,144,0.060368347169999996,0.1,5497
test,H12_support,144,0.1,0.5,20269
test,H12_support,144,0.5,1.0,26032
test,H12_support,144,1.0,2.0,52837
test,H12_support,144,2.0,3.0,61294
test,H12_support,144,3.0,4.0,76369
test,H12_support,144,4.0,5.0,157686
test,H12_support,144,5.0,6.0,38777
test,H12_support,144,6.0,inf,0
test,common_H144,12,-inf,-0.01,0
test,common_H144,12,-0.01,0.0,0
test,common_H144,12,0.0,0.060368347169999996,35910
test,common_H144,12,0.060368347169999996,0.1,27
test,common_H144,12,0.1,0.5,15
test,common_H144,12,0.5,1.0,0
test,common_H144,12,1.0,2.0,0
test,common_H144,12,2.0,3.0,0
test,common_H144,12,3.0,4.0,0
test,common_H144,12,4.0,5.0,0
test,common_H144,12,5.0,6.0,0
test,common_H144,12,6.0,inf,0
test,common_H144,144,-inf,-0.01,0
test,common_H144,144,-0.01,0.0,0
test,common_H144,144,0.0,0.060368347169999996,243474
test,common_H144,144,0.060368347169999996,0.1,3612
test,common_H144,144,0.1,0.5,8338
test,common_H144,144,0.5,1.0,10289
test,common_H144,144,1.0,2.0,22478
test,common_H144,144,2.0,3.0,26235
test,common_H144,144,3.0,4.0,32500
test,common_H144,144,4.0,5.0,67036
test,common_H144,144,5.0,6.0,17462
test,common_H144,144,6.0,inf,0
test,H12_removed_by_H144,12,-inf,-0.01,0
test,H12_removed_by_H144,12,-0.01,0.0,0
test,H12_removed_by_H144,12,0.0,0.060368347169999996,5142
test,H12_removed_by_H144,12,0.060368347169999996,0.1,330
test,H12_removed_by_H144,12,0.1,0.5,1209
test,H12_removed_by_H144,12,0.5,1.0,1878
test,H12_removed_by_H144,12,1.0,2.0,4473
test,H12_removed_by_H144,12,2.0,3.0,5232
test,H12_removed_by_H144,12,3.0,4.0,6552
test,H12_removed_by_H144,12,4.0,5.0,13536
test,H12_removed_by_H144,12,5.0,6.0,3252
test,H12_removed_by_H144,12,6.0,inf,0
test,H12_removed_by_H144,144,-inf,-0.01,131
test,H12_removed_by_H144,144,-0.01,0.0,6933
test,H12_removed_by_H144,144,0.0,0.060368347169999996,233690
test,H12_removed_by_H144,144,0.060368347169999996,0.1,1885
test,H12_removed_by_H144,144,0.1,0.5,11931
test,H12_removed_by_H144,144,0.5,1.0,15743
test,H12_removed_by_H144,144,1.0,2.0,30359
test,H12_removed_by_H144,144,2.0,3.0,35059
test,H12_removed_by_H144,144,3.0,4.0,43869
test,H12_removed_by_H144,144,4.0,5.0,90650
test,H12_removed_by_H144,144,5.0,6.0,21315
test,H12_removed_by_H144,144,6.0,inf,0
test,historical_training_fullH144,12,-inf,-0.01,0
test,historical_training_fullH144,12,-0.01,0.0,0
test,historical_training_fullH144,12,0.0,0.060368347169999996,36186
test,historical_training_fullH144,12,0.060368347169999996,0.1,27
test,historical_training_fullH144,12,0.1,0.5,15
test,historical_training_fullH144,12,0.5,1.0,0
test,historical_training_fullH144,12,1.0,2.0,0
test,historical_training_fullH144,12,2.0,3.0,0
test,historical_training_fullH144,12,3.0,4.0,0
test,historical_training_fullH144,12,4.0,5.0,0
test,historical_training_fullH144,12,5.0,6.0,0
test,historical_training_fullH144,12,6.0,inf,0
test,historical_training_fullH144,144,-inf,-0.01,0
test,historical_training_fullH144,144,-0.01,0.0,0
test,historical_training_fullH144,144,0.0,0.060368347169999996,246786
test,historical_training_fullH144,144,0.060368347169999996,0.1,3612
test,historical_training_fullH144,144,0.1,0.5,8338
test,historical_training_fullH144,144,0.5,1.0,10289
test,historical_training_fullH144,144,1.0,2.0,22478
test,historical_training_fullH144,144,2.0,3.0,26235
test,historical_training_fullH144,144,3.0,4.0,32500
test,historical_training_fullH144,144,4.0,5.0,67036
test,historical_training_fullH144,144,5.0,6.0,17462
test,historical_training_fullH144,144,6.0,inf,0
