site,scope,block_hours,blocks,nonempty_blocks,points,reference,rmse_B,rmse_reference,effect_kW,ci_low_kW,ci_high_kW,skill,skill_ci_low,skill_ci_high,replicates,valid_replicates
Hanwha,full,72,8,8,649735,Daily,0.24802421699770977,0.20306943616006648,0.04495478083764329,-0.004508857719226372,0.13898329581546764,-0.22137640054413876,-2.384602050326158,0.01289606582456644,2000,2000
Hanwha,full,72,8,8,649735,Inverted42,0.24802421699770977,0.7859824407641666,-0.5379582237664569,-0.594233454945508,-0.4944906887149061,0.6844405114743152,0.6267735556177717,0.7516164224864504,2000,2000
Hanwha,full,72,8,8,649735,Inverted43,0.24802421699770977,0.8031924525960605,-0.5551682355983507,-0.5971449701899658,-0.5209006141335577,0.6912020074441045,0.6256051166901884,0.7604048828794523,2000,2000
Hanwha,full,72,8,8,649735,Inverted44,0.24802421699770977,0.8271519687282116,-0.5791277517305018,-0.6388803614944388,-0.5308073704984552,0.7001467367851888,0.6385660510928116,0.7655329889788508,2000,2000
Hanwha,full,72,8,8,649735,Inverted mean,0.24802421699770977,0.8054422873628129,-0.557418070365103,-0.6061748067758331,-0.5163421264658028,0.691929751901203,0.6308229013927783,0.7590551536303988,2000,2000
Hanwha,power-active,24,24,24,287368,Ridge A,0.3496953335070539,1.1308417677632703,-0.7811464342562164,-0.8447696444336429,-0.7295953106495986,0.6907654603183538,0.6380736867171639,0.7585896872266301,2000,2000
Hanwha,power-active,24,24,24,287368,Daily,0.3496953335070539,0.30534135914803257,0.04435397435902133,-0.020133099375868237,0.1840187818878756,-0.1452602899351021,-2.1120710056301077,0.04450444552632093,2000,2000
Hanwha,power-active,24,24,24,287368,Inverted42,0.3496953335070539,1.1243452734653467,-0.7746499399582929,-0.8873112725601486,-0.6820434181325425,0.6889786956374555,0.63225971045311,0.7616364994869151,2000,2000
Hanwha,power-active,24,24,24,287368,Inverted43,0.3496953335070539,1.1379532321346921,-0.7882578986276383,-0.8888526228390821,-0.7124349432785315,0.6926979741943712,0.6312127125289116,0.7657755545585898,2000,2000
Hanwha,power-active,24,24,24,287368,Inverted44,0.3496953335070539,1.1605992446235276,-0.8109039111164738,-0.922844650993836,-0.7236184274938454,0.6986941572407388,0.6385768705405951,0.7704675768884635,2000,2000
Hanwha,power-active,24,24,24,287368,Inverted mean,0.3496953335070539,1.1409659167411887,-0.7912705832341349,-0.9005157122171902,-0.71055563399779,0.6934569423575218,0.63388740585034,0.76588411010864,2000,2000
Hanwha,power-active,48,12,12,287368,Ridge A,0.3496953335070539,1.1308417677632703,-0.7811464342562164,-0.8456353133356693,-0.7380547524523571,0.6907654603183538,0.6242652739158634,0.7675404938765585,2000,2000
Hanwha,power-active,48,12,12,287368,Daily,0.3496953335070539,0.3053413591480326,0.044353974359021275,-0.03533803101277777,0.20116884334454954,-0.14526028993510187,-2.3225278420550923,0.07092149020087418,2000,2000
Hanwha,power-active,48,12,12,287368,Inverted42,0.3496953335070539,1.1243452734653467,-0.7746499399582929,-0.9161721405902882,-0.658242505625182,0.6889786956374555,0.6124384171733409,0.7673702183044684,2000,2000
Hanwha,power-active,48,12,12,287368,Inverted43,0.3496953335070539,1.1379532321346921,-0.7882578986276383,-0.9162452298561972,-0.6939672947495986,0.6926979741943712,0.6116555789018764,0.7723353616862829,2000,2000
Hanwha,power-active,48,12,12,287368,Inverted44,0.3496953335070539,1.1605992446235276,-0.8109039111164738,-0.9511718277465093,-0.7058404442194861,0.6986941572407388,0.6188131060257994,0.7757364579143072,2000,2000
Hanwha,power-active,48,12,12,287368,Inverted mean,0.3496953335070539,1.1409659167411887,-0.7912705832341349,-0.9252386717166673,-0.6883116224165259,0.6934569423575218,0.6140422268011847,0.7714900108977011,2000,2000
Hanwha,power-active,72,8,8,287368,Ridge A,0.34969533350705395,1.1308417677632703,-0.7811464342562163,-0.8361203056712052,-0.7398853146145318,0.6907654603183537,0.6225956174216712,0.7697488226292907,2000,2000
Hanwha,power-active,72,8,8,287368,Daily,0.34969533350705395,0.3053413591480326,0.04435397435902133,-0.02714156825119777,0.1839879825307107,-0.1452602899351021,-2.073280925906347,0.053972455035847536,2000,2000
Hanwha,power-active,72,8,8,287368,Inverted42,0.34969533350705395,1.124345273465347,-0.774649939958293,-0.834902165696532,-0.7242294852159153,0.6889786956374555,0.6246261988898323,0.7653991482157372,2000,2000
Hanwha,power-active,72,8,8,287368,Inverted43,0.34969533350705395,1.1379532321346921,-0.7882578986276382,-0.8508120656207828,-0.745451671173044,0.6926979741943711,0.6184404422460782,0.7721050275002854,2000,2000
Hanwha,power-active,72,8,8,287368,Inverted44,0.34969533350705395,1.1605992446235278,-0.8109039111164739,-0.8875967625010852,-0.7520539390225968,0.6986941572407388,0.624691868150688,0.77593423123808,2000,2000
Hanwha,power-active,72,8,8,287368,Inverted mean,0.34969533350705395,1.140965916741189,-0.791270583234135,-0.8502606266936072,-0.7452283980509579,0.6934569423575218,0.6235743952377303,0.7706251639373422,2000,2000
Hanwha,low-power,24,24,24,362367,Ridge A,0.11542494145749413,0.5131949256651154,-0.3977699842076212,-0.46428077198676165,-0.3366182898316196,0.7750855753144869,0.7507263749120857,0.7929872869270103,2000,2000
Hanwha,low-power,24,24,24,362367,Daily,0.11542494145749413,0.001635616699981377,0.11378932475751276,0.1024138100940654,0.12677466631845005,-69.56967653779051,-88.49007678532992,-56.903851855897,2000,2000
Hanwha,low-power,24,24,24,362367,Inverted42,0.11542494145749413,0.32429369518671647,-0.20886875372922234,-0.246676391177318,-0.17384965871213728,0.6440728167994858,0.6077387319203708,0.6771362863583283,2000,2000
