section,split,seed,scope,horizon,value,n,rmse_kw,mae_kw,bias_kw,r2,diff_mae_kw,prediction_to_truth_std_ratio,prediction_to_truth_change_amplitude_ratio,change_direction_accuracy,sse_share,mean_window_bias_kw,mean_peak_error_kw,mean_max_abs_error_kw,mean_energy_sum_error_kw_steps,mean_true_tv_kw,mean_pred_tv_kw,aggregate_tv_ratio,mean_peak_rate_ratio,dominant_best_lag_steps,mean_best_lag_steps,raw_window_rmse_kw,lag_aligned_window_rmse_kw,lag_alignment_gain_kw,tv_ratio,event_count,event_rate,threshold_kw,prediction_shape,labels_finite,predictions_finite,checkpoint_epoch,checkpoint_validation_rmse_kw,target_center,target_scale,saved_prediction_max_abs_difference_kw,artifact_source,train_spearman,validation_spearman,uses_only_origin_or_past,validation_r2,validation_mae_kw,baseline_mae_kw
scenario,test,42,past_irradiance_volatility_low,12,,7340,0.03491123071645227,0.025290315970778465,-0.010723020881414413,-2.016845394917394,0.020370645448565483,,,,0.0022150177974253893,,,,,,,,,,,,,,43.26728439331055,,,,,,,,,,,,,,,,,,
scenario,test,42,past_irradiance_volatility_high,12,,10061,0.6328816081799643,0.3815092146396637,-0.03913490101695061,0.887072716748225,0.22260470688343048,,,,0.9977849721908569,,,,,,,,,,,,,,0.3254533112049103,,,,,,,,,,,,,,,,,,
scenario,test,42,input_hf_partly_missing,12,,2782,0.49082812034750956,0.24122576415538788,-0.023979805409908295,0.9233492083288348,0.14565762877464294,,,,0.16594602167606354,,,,,,,,,,,,,,0.37767693400382996,,,,,,,,,,,,,,,,,,
scenario,test,42,input_hf_complete,12,,14619,0.48002388370718485,0.22935254871845245,-0.02775370515882969,0.9316161592612082,0.13570880889892578,,,,0.8340540528297424,,,,,,,,,,,,,,0.39220863580703735,,,,,,,,,,,,,,,,,,
scenario,test,42,month_11,12,,8569,0.4534065259926979,0.21430374681949615,-0.03441707044839859,0.9436025318053493,0.12564754486083984,,,,0.436170756816864,,,,,,,,,,,,,,0.4214450418949127,,,,,,,,,,,,,,,,,,
scenario,test,42,month_12,12,,8832,0.5077721212912782,0.24769321084022522,-0.02010001242160797,0.9147926122262129,0.14860424399375916,,,,0.563829243183136,,,,,,,,,,,,,,0.3634413182735443,,,,,,,,,,,,,,,,,,
scenario,test,42,solar_night,12,,6516,0.03061441031781268,0.023333104327321053,-0.009656433016061783,-1074847.3576795242,0.019810233265161514,,,,0.0015121111646294594,,,,,,,,,,,,,,103497.6328125,,,,,,,,,,,,,,,,,,
scenario,test,42,solar_morning,12,,3595,0.49402835761755864,0.29736870527267456,-0.0950954481959343,0.9024820336962894,0.14172078669071198,,,,0.2172468602657318,,,,,,,,,,,,,,0.45905613899230957,,,,,,,,,,,,,,,,,,
scenario,test,42,solar_midday,12,,3630,0.8645483875489284,0.5795214772224426,-0.03843648359179497,0.6803890143300484,0.35936617851257324,,,,0.6717939376831055,,,,,,,,,,,,,,0.21789032220840454,,,,,,,,,,,,,,,,,,
scenario,test,42,solar_evening,12,,3660,0.3475251539992478,0.19105283915996552,0.01963680051267147,0.8934625992196432,0.12187912315130234,,,,0.10944714397192001,,,,,,,,,,,,,,0.5046344995498657,,,,,,,,,,,,,,,,,,
scenario,test,42,power_low,12,,7982,0.04560120703575164,0.02822086587548256,-0.013594575226306915,0.0021004616337029214,0.02104073017835617,,,,0.004109748639166355,,,,,,,,,,,,,,10.901164054870605,,,,,,,,,,,,,,,,,,
scenario,test,42,power_mid,12,,4016,0.473004094905548,0.2700134813785553,-0.044200774282217026,0.7077368725329087,0.1284087896347046,,,,0.22247149050235748,,,,,,,,,,,,,,0.5069892406463623,,,,,,,,,,,,,,,,,,
scenario,test,42,power_high,12,,5403,0.7603515875850883,0.5023805499076843,-0.034503236413002014,0.7160028999064657,0.315659761428833,,,,0.7734187841415405,,,,,,,,,,,,,,0.2651959955692291,,,,,,,,,,,,,,,,,,
direction_error,test,42,rise_predicted_down,all12_steps,,208812,,,,,,,,,,,,,,,,,,,,,,,,8955,0.04288546635250848,0.0363999605178833,,,,,,,,,,,,,,,
direction_error,test,42,fall_predicted_up,all12_steps,,208812,,,,,,,,,,,,,,,,,,,,,,,,8181,0.039178782828573074,0.0363999605178833,,,,,,,,,,,,,,,
direction_error,test,42,true_change_predicted_flat,all12_steps,,208812,,,,,,,,,,,,,,,,,,,,,,,,22653,0.10848514453192346,0.0363999605178833,,,,,,,,,,,,,,,
direction_error,test,42,true_flat_predicted_change,all12_steps,,208812,,,,,,,,,,,,,,,,,,,,,,,,21368,0.10233128364270253,0.0363999605178833,,,,,,,,,,,,,,,
