condition,seed,horizon,scope,rmse_kw,nrmse,mae_kw,r2,trajectory_diff_mae_kw,parameter_count,parameter_difference_vs_mean_only_pct,actual_epochs,best_epoch,best_validation_rmse_kw,training_seconds,mean_epoch_seconds,inference_seconds,inference_ms_per_sample,test_samples,ramp_threshold_kw
MEAN_ONLY,43,3,daylight,0.5736554035833658,0.09105641326720092,0.36020007729530334,0.8990660339337784,0.13355237245559692,74444,1.2895599376712696,18,13,0.4465055465698242,51.4404069000002,2.8460326611111038,0.381890999999996,0.021946497327739553,17401,0.15069979429244995
MEAN_ONLY,43,3,ramp,0.8633180498245667,0.13703461108326456,0.6435917615890503,0.6380985009283873,0.13355237245559692,74444,1.2895599376712696,18,13,0.4465055465698242,51.4404069000002,2.8460326611111038,0.381890999999996,0.021946497327739553,17401,0.15069979429244995
MEAN_ONLY,43,6,regular_full_timeline,0.4475229847189196,0.0710353943998285,0.21256747841835022,0.9399563664589307,0.13295644521713257,74444,1.2895599376712696,18,13,0.4465055465698242,51.4404069000002,2.8460326611111038,0.381890999999996,0.021946497327739553,17401,0.15069979429244995
MEAN_ONLY,43,6,daylight,0.6225169927123819,0.09881222106545745,0.3879808783531189,0.8811455039013064,0.13295644521713257,74444,1.2895599376712696,18,13,0.4465055465698242,51.4404069000002,2.8460326611111038,0.381890999999996,0.021946497327739553,17401,0.15069979429244995
MEAN_ONLY,43,6,ramp,0.9159564098747546,0.14538990632932614,0.6818859577178955,0.5926947231601596,0.13295644521713257,74444,1.2895599376712696,18,13,0.4465055465698242,51.4404069000002,2.8460326611111038,0.381890999999996,0.021946497327739553,17401,0.15069979429244995
MEAN_ONLY,43,12,regular_full_timeline,0.4876216706028064,0.07740026517504864,0.23452074825763702,0.9286726380584689,0.13141803443431854,74444,1.2895599376712696,18,13,0.4465055465698242,51.4404069000002,2.8460326611111038,0.381890999999996,0.021946497327739553,17401,0.15069979429244995
MEAN_ONLY,43,12,daylight,0.678385792522851,0.10768028452743668,0.4270092844963074,0.8587856570318875,0.13141803443431854,74444,1.2895599376712696,18,13,0.4465055465698242,51.4404069000002,2.8460326611111038,0.381890999999996,0.021946497327739553,17401,0.15069979429244995
MEAN_ONLY,43,12,ramp,0.9724853549335075,0.15436275475135042,0.7279741168022156,0.5400592719375836,0.13141803443431854,74444,1.2895599376712696,18,13,0.4465055465698242,51.4404069000002,2.8460326611111038,0.381890999999996,0.021946497327739553,17401,0.15069979429244995
MEAN_ONLY,44,3,regular_full_timeline,0.40727747683510424,0.06464721854525464,0.18773534893989563,0.9502713358698962,0.13048310577869415,74444,1.2895599376712696,22,17,0.44905948638916016,61.77579229999992,2.796280449999999,0.36803509999981543,0.02115022699843776,17401,0.15069979429244995
MEAN_ONLY,44,3,daylight,0.5663833876632572,0.08990212502591385,0.3409993350505829,0.9016088144619707,0.13048310577869415,74444,1.2895599376712696,22,17,0.44905948638916016,61.77579229999992,2.796280449999999,0.36803509999981543,0.02115022699843776,17401,0.15069979429244995
MEAN_ONLY,44,3,ramp,0.8694307336007164,0.13800487834932007,0.649350643157959,0.6329555157934843,0.13048310577869415,74444,1.2895599376712696,22,17,0.44905948638916016,61.77579229999992,2.796280449999999,0.36803509999981543,0.02115022699843776,17401,0.15069979429244995
MEAN_ONLY,44,6,regular_full_timeline,0.4464519211929738,0.07086538431634505,0.20687218010425568,0.940243428048403,0.1329408586025238,74444,1.2895599376712696,22,17,0.44905948638916016,61.77579229999992,2.796280449999999,0.36803509999981543,0.02115022699843776,17401,0.15069979429244995
MEAN_ONLY,44,6,daylight,0.6207279111547864,0.09852823986583911,0.37437283992767334,0.8818276870298148,0.1329408586025238,74444,1.2895599376712696,22,17,0.44905948638916016,61.77579229999992,2.796280449999999,0.36803509999981543,0.02115022699843776,17401,0.15069979429244995
MEAN_ONLY,44,6,ramp,0.9245539711072929,0.14675459858845918,0.6885971426963806,0.5850125336395657,0.1329408586025238,74444,1.2895599376712696,22,17,0.44905948638916016,61.77579229999992,2.796280449999999,0.36803509999981543,0.02115022699843776,17401,0.15069979429244995
MEAN_ONLY,44,12,regular_full_timeline,0.49055273046156467,0.07786551277167693,0.2345530092716217,0.9278125714650507,0.13210412859916687,74444,1.2895599376712696,22,17,0.44905948638916016,61.77579229999992,2.796280449999999,0.36803509999981543,0.02115022699843776,17401,0.15069979429244995
MEAN_ONLY,44,12,daylight,0.6818392008012467,0.10822844457162646,0.4201297461986542,0.8573442580333882,0.13210412859916687,74444,1.2895599376712696,22,17,0.44905948638916016,61.77579229999992,2.796280449999999,0.36803509999981543,0.02115022699843776,17401,0.15069979429244995
MEAN_ONLY,44,12,ramp,0.9792927227989762,0.15544328933317084,0.7342929244041443,0.5335976018806068,0.13210412859916687,74444,1.2895599376712696,22,17,0.44905948638916016,61.77579229999992,2.796280449999999,0.36803509999981543,0.02115022699843776,17401,0.15069979429244995
HF_DYNAMICS,42,3,regular_full_timeline,0.40508758695729025,0.06429961697734767,0.20395494997501373,0.9508046731694133,0.1367175132036209,75404,1.2895599376712696,12,7,0.4553034007549286,35.795547199999874,2.972611625000013,0.46736220000002504,0.026858352968221658,17401,0.15069979429244995
HF_DYNAMICS,42,3,daylight,0.561699960577408,0.08915872390117588,0.3505460321903229,0.9032292849671948,0.1367175132036209,75404,1.2895599376712696,12,7,0.4553034007549286,35.795547199999874,2.972611625000013,0.46736220000002504,0.026858352968221658,17401,0.15069979429244995
