evaluated_targets,rmse,mae,r2,nrmse,horizon,scope,prefix_source,model,seed,dataset,parameters,actual_epochs,best_epoch,best_validation_loss,training_seconds
290271,1.0946396589279177,0.8738777041435242,0.4834011793136596,0.1877963325952142,144,predefined_daylight,same_H144_prediction,JointEarlyFusionModernTCN,44,Hanwha,1496832,15,14,0.0181204305173685,31.2252959000034
36228,0.1371504366397857,0.1011605858802795,-1196.112548828125,0.0227189318689749,12,regular_full_timeline,same_H144_prediction,JointEarlyFusionModernTCN,44,Qcells,1496832,15,14,0.0181204305173685,31.2252959000034
36,0.2251241505146026,0.1889342665672302,-31.35207748413086,0.037291753223033,12,predefined_daylight,same_H144_prediction,JointEarlyFusionModernTCN,44,Qcells,1496832,15,14,0.0181204305173685,31.2252959000034
144912,0.5592840313911438,0.3781620562076568,0.1353530883789062,0.0926452450016851,48,regular_full_timeline,same_H144_prediction,JointEarlyFusionModernTCN,44,Qcells,1496832,15,14,0.0181204305173685,31.2252959000034
14871,1.0589714050292969,0.8576295375823975,0.075874388217926,0.1754183201417102,48,predefined_daylight,same_H144_prediction,JointEarlyFusionModernTCN,44,Qcells,1496832,15,14,0.0181204305173685,31.2252959000034
289824,0.8563742637634277,0.5934646129608154,0.6912658214569092,0.1418581597657194,96,regular_full_timeline,same_H144_prediction,JointEarlyFusionModernTCN,44,Qcells,1496832,15,14,0.0181204305173685,31.2252959000034
77007,1.333453893661499,1.134031891822815,0.3153748512268066,0.2208862684125561,96,predefined_daylight,same_H144_prediction,JointEarlyFusionModernTCN,44,Qcells,1496832,15,14,0.0181204305173685,31.2252959000034
434736,0.868729829788208,0.6312581896781921,0.7984890937805176,0.143904855857959,144,regular_full_timeline,same_H144_prediction,JointEarlyFusionModernTCN,44,Qcells,1496832,15,14,0.0181204305173685,31.2252959000034
187271,1.150067925453186,0.9652127027511596,0.4477186203002929,0.1905084335362939,144,predefined_daylight,same_H144_prediction,JointEarlyFusionModernTCN,44,Qcells,1496832,15,14,0.0181204305173685,31.2252959000034
50124,0.1668172776699066,0.1105422005057334,0.9884950518608092,0.0275372959315616,12,regular_full_timeline,same_H144_prediction,SharedPrivateModernTCN,42,Sanyo,55257000,15,15,0.0185232300024766,148.67797460000293
9219,0.2912680804729461,0.2312943339347839,0.967782735824585,0.0480809628321153,12,predefined_daylight,same_H144_prediction,SharedPrivateModernTCN,42,Sanyo,55257000,15,15,0.0185232300024766,148.67797460000293
200496,0.5930522084236145,0.3653939664363861,0.860963761806488,0.0978978580296863,48,regular_full_timeline,same_H144_prediction,SharedPrivateModernTCN,42,Sanyo,55257000,15,15,0.0185232300024766,148.67797460000293
49254,0.9821096062660216,0.6827508807182312,0.6759716272354126,0.1621213536315594,48,predefined_daylight,same_H144_prediction,SharedPrivateModernTCN,42,Sanyo,55257000,15,15,0.0185232300024766,148.67797460000293
400992,0.9390323162078856,0.6298010945320129,0.7486284971237183,0.1550103870648475,96,regular_full_timeline,same_H144_prediction,SharedPrivateModernTCN,42,Sanyo,55257000,15,15,0.0185232300024766,148.67797460000293
136926,1.4253100156784058,1.1416999101638794,0.2768508791923523,0.2352824853887154,96,predefined_daylight,same_H144_prediction,SharedPrivateModernTCN,42,Sanyo,55257000,15,15,0.0185232300024766,148.67797460000293
601488,0.9281769394874572,0.6488162279129028,0.7971169352531433,0.1532184400592709,144,regular_full_timeline,same_H144_prediction,SharedPrivateModernTCN,42,Sanyo,55257000,15,15,0.0185232300024766,148.67797460000293
263547,1.2581957578659058,1.0133789777755735,0.4026024937629699,0.2076961655779332,144,predefined_daylight,same_H144_prediction,SharedPrivateModernTCN,42,Sanyo,55257000,15,15,0.0185232300024766,148.67797460000293
54420,0.2037520855665207,0.1265885382890701,0.9843264818191528,0.034955698997325,12,regular_full_timeline,same_H144_prediction,SharedPrivateModernTCN,42,Hanwha,55257000,15,15,0.0185232300024766,148.67797460000293
14617,0.34487384557724,0.2583789229393005,0.9477216005325316,0.0591665420480428,12,predefined_daylight,same_H144_prediction,SharedPrivateModernTCN,42,Hanwha,55257000,15,15,0.0185232300024766,148.67797460000293
217680,0.5867198705673218,0.3655080795288086,0.8742505311965942,0.1006576356471453,48,regular_full_timeline,same_H144_prediction,SharedPrivateModernTCN,42,Hanwha,55257000,15,15,0.0185232300024766,148.67797460000293
68044,0.8947651386260986,0.6221982836723328,0.6780111789703369,0.1535058685271833,48,predefined_daylight,same_H144_prediction,SharedPrivateModernTCN,42,Hanwha,55257000,15,15,0.0185232300024766,148.67797460000293
435360,0.8859840631484985,0.5888997316360474,0.7567744255065918,0.151999387597605,96,regular_full_timeline,same_H144_prediction,SharedPrivateModernTCN,42,Hanwha,55257000,15,15,0.0185232300024766,148.67797460000293
165255,1.2875137329101562,1.0015242099761963,0.3097754120826721,0.2208858003950901,96,predefined_daylight,same_H144_prediction,SharedPrivateModernTCN,42,Hanwha,55257000,15,15,0.0185232300024766,148.67797460000293
653040,0.8758493065834045,0.6064521074295044,0.7882642149925232,0.1502606691991377,144,regular_full_timeline,same_H144_prediction,SharedPrivateModernTCN,42,Hanwha,55257000,15,15,0.0185232300024766,148.67797460000293
290271,1.1747604608535769,0.9337309002876282,0.4050100445747375,0.2015418539122133,144,predefined_daylight,same_H144_prediction,SharedPrivateModernTCN,42,Hanwha,55257000,15,15,0.0185232300024766,148.67797460000293
36228,0.1378874331712722,0.0946369841694831,-1209.012939453125,0.0228410151404303,12,regular_full_timeline,same_H144_prediction,SharedPrivateModernTCN,42,Qcells,55257000,15,15,0.0185232300024766,148.67797460000293
36,0.2101067304611206,0.1653117537498474,-27.179798126220703,0.0348041217476851,12,predefined_daylight,same_H144_prediction,SharedPrivateModernTCN,42,Qcells,55257000,15,15,0.0185232300024766,148.67797460000293
144912,0.543035626411438,0.358252465724945,0.1848629713058471,0.0899537012140195,48,regular_full_timeline,same_H144_prediction,SharedPrivateModernTCN,42,Qcells,55257000,15,15,0.0185232300024766,148.67797460000293
14871,1.140702486038208,0.9187650680541992,-0.0722776651382446,0.1889570510893628,48,predefined_daylight,same_H144_prediction,SharedPrivateModernTCN,42,Qcells,55257000,15,15,0.0185232300024766,148.67797460000293
289824,0.8844220042228699,0.6052175760269165,0.6707115173339844,0.1465042602097913,96,regular_full_timeline,same_H144_prediction,SharedPrivateModernTCN,42,Qcells,55257000,15,15,0.0185232300024766,148.67797460000293
77007,1.4611655473709106,1.238232135772705,0.1779548525810241,0.2420416685015745,96,predefined_daylight,same_H144_prediction,SharedPrivateModernTCN,42,Qcells,55257000,15,15,0.0185232300024766,148.67797460000293
434736,0.9034797549247742,0.6480202674865723,0.7820454835891724,0.1496611713387703,144,regular_full_timeline,same_H144_prediction,SharedPrivateModernTCN,42,Qcells,55257000,15,15,0.0185232300024766,148.67797460000293
187271,1.239482283592224,1.030049204826355,0.3585038781166076,0.2053198972139797,144,predefined_daylight,same_H144_prediction,SharedPrivateModernTCN,42,Qcells,55257000,15,15,0.0185232300024766,148.67797460000293
50124,0.1645557284355163,0.1120637580752372,0.9888049364089966,0.0271639715888971,12,regular_full_timeline,same_H144_prediction,SharedPrivateModernTCN,43,Sanyo,55257000,15,15,0.0190799219238285,139.10943470000348
9219,0.2858116328716278,0.2125287503004074,0.9689785242080688,0.0471802419090111,12,predefined_daylight,same_H144_prediction,SharedPrivateModernTCN,43,Sanyo,55257000,15,15,0.0190799219238285,139.10943470000348
200496,0.6093389987945557,0.3692053854465484,0.8532222509384155,0.1005863934888692,48,regular_full_timeline,same_H144_prediction,SharedPrivateModernTCN,43,Sanyo,55257000,15,15,0.0190799219238285,139.10943470000348
49254,1.0462133884429932,0.7332491278648376,0.6322914361953735,0.1727032600431522,48,predefined_daylight,same_H144_prediction,SharedPrivateModernTCN,43,Sanyo,55257000,15,15,0.0190799219238285,139.10943470000348
400992,0.9257064461708068,0.6057959198951721,0.7557123899459839,0.1528106243551196,96,regular_full_timeline,same_H144_prediction,SharedPrivateModernTCN,43,Sanyo,55257000,15,15,0.0190799219238285,139.10943470000348
136926,1.4172031879425049,1.1150240898132324,0.2850536704063415,0.2339442540163546,96,predefined_daylight,same_H144_prediction,SharedPrivateModernTCN,43,Sanyo,55257000,15,15,0.0190799219238285,139.10943470000348
601488,0.9181059002876282,0.6269423961639404,0.8014957904815674,0.1515559672587446,144,regular_full_timeline,same_H144_prediction,SharedPrivateModernTCN,43,Sanyo,55257000,15,15,0.0190799219238285,139.10943470000348
263547,1.2549291849136353,0.9958834648132324,0.4057004451751709,0.2071569373437529,144,predefined_daylight,same_H144_prediction,SharedPrivateModernTCN,43,Sanyo,55257000,15,15,0.0190799219238285,139.10943470000348
54420,0.2005418092012405,0.135552704334259,0.9848164916038512,0.0344049441227874,12,regular_full_timeline,same_H144_prediction,SharedPrivateModernTCN,43,Hanwha,55257000,15,15,0.0190799219238285,139.10943470000348
14617,0.3155984580516815,0.2345958799123764,0.9562204480171204,0.0541440578289089,12,predefined_daylight,same_H144_prediction,SharedPrivateModernTCN,43,Hanwha,55257000,15,15,0.0190799219238285,139.10943470000348
217680,0.5955864191055298,0.3725238144397735,0.8704211711883545,0.102178780331309,48,regular_full_timeline,same_H144_prediction,SharedPrivateModernTCN,43,Hanwha,55257000,15,15,0.0190799219238285,139.10943470000348
68044,0.919187307357788,0.6338717937469482,0.6601942777633667,0.1576957347397091,48,predefined_daylight,same_H144_prediction,SharedPrivateModernTCN,43,Hanwha,55257000,15,15,0.0190799219238285,139.10943470000348
435360,0.8856632709503174,0.583649218082428,0.7569504976272583,0.1519443525019438,96,regular_full_timeline,same_H144_prediction,SharedPrivateModernTCN,43,Hanwha,55257000,15,15,0.0190799219238285,139.10943470000348
165255,1.2865779399871826,0.9825084805488586,0.3107783794403076,0.2207252558016527,96,predefined_daylight,same_H144_prediction,SharedPrivateModernTCN,43,Hanwha,55257000,15,15,0.0190799219238285,139.10943470000348
653040,0.8757071495056152,0.6032553315162659,0.7883329391479492,0.1502362807370136,144,regular_full_timeline,same_H144_prediction,SharedPrivateModernTCN,43,Hanwha,55257000,15,15,0.0190799219238285,139.10943470000348
290271,1.1732043027877808,0.918452262878418,0.4065852165222168,0.2012748795016743,144,predefined_daylight,same_H144_prediction,SharedPrivateModernTCN,43,Hanwha,55257000,15,15,0.0190799219238285,139.10943470000348
36228,0.123618334531784,0.0882283821702003,-971.5376586914062,0.0204773429001905,12,regular_full_timeline,same_H144_prediction,SharedPrivateModernTCN,43,Qcells,55257000,15,15,0.0190799219238285,139.10943470000348
36,0.1753312647342682,0.1508369892835617,-18.623510360717773,0.029043575475162,12,predefined_daylight,same_H144_prediction,SharedPrivateModernTCN,43,Qcells,55257000,15,15,0.0190799219238285,139.10943470000348
144912,0.5153380632400513,0.3203518688678741,0.2658946514129638,0.0853656075407922,48,regular_full_timeline,same_H144_prediction,SharedPrivateModernTCN,43,Qcells,55257000,15,15,0.0190799219238285,139.10943470000348
14871,1.211932897567749,0.9716272354125975,-0.2103742361068725,0.2007563490441259,48,predefined_daylight,same_H144_prediction,SharedPrivateModernTCN,43,Qcells,55257000,15,15,0.0190799219238285,139.10943470000348
289824,0.864596962928772,0.5708850622177124,0.685308575630188,0.1432202476065855,96,regular_full_timeline,same_H144_prediction,SharedPrivateModernTCN,43,Qcells,55257000,15,15,0.0190799219238285,139.10943470000348
77007,1.4530919790267944,1.218818426132202,0.1870139837265014,0.2407042841399685,96,predefined_daylight,same_H144_prediction,SharedPrivateModernTCN,43,Qcells,55257000,15,15,0.0190799219238285,139.10943470000348
434736,0.8573223352432251,0.5967323184013367,0.8037465214729309,0.1420152075439413,144,regular_full_timeline,same_H144_prediction,SharedPrivateModernTCN,43,Qcells,55257000,15,15,0.0190799219238285,139.10943470000348
187271,1.180045485496521,0.9558874368667604,0.418552041053772,0.1954742080603034,144,predefined_daylight,same_H144_prediction,SharedPrivateModernTCN,43,Qcells,55257000,15,15,0.0190799219238285,139.10943470000348
50124,0.1692136228084564,0.1190722435712814,0.9881621599197388,0.027932871654629,12,regular_full_timeline,same_H144_prediction,SharedPrivateModernTCN,44,Sanyo,55257000,15,15,0.0199687369526005,133.34404910000012
9219,0.2844072580337524,0.2141855210065841,0.9692826271057128,0.0469484152897928,12,predefined_daylight,same_H144_prediction,SharedPrivateModernTCN,44,Sanyo,55257000,15,15,0.0199687369526005,133.34404910000012
200496,0.6208261847496033,0.3781741559505462,0.8476360440254211,0.102482636153199,48,regular_full_timeline,same_H144_prediction,SharedPrivateModernTCN,44,Sanyo,55257000,15,15,0.0199687369526005,133.34404910000012
49254,1.0786492824554443,0.7673430442810059,0.609137773513794,0.1780576023792804,48,predefined_daylight,same_H144_prediction,SharedPrivateModernTCN,44,Sanyo,55257000,15,15,0.0199687369526005,133.34404910000012
400992,0.957892894744873,0.6421386003494263,0.7384294271469116,0.1581237895844665,96,regular_full_timeline,same_H144_prediction,SharedPrivateModernTCN,44,Sanyo,55257000,15,15,0.0199687369526005,133.34404910000012
136926,1.4487605094909668,1.1595759391784668,0.2528592944145202,0.2391535663515373,96,predefined_daylight,same_H144_prediction,SharedPrivateModernTCN,44,Sanyo,55257000,15,15,0.0199687369526005,133.34404910000012
601488,0.9375120401382446,0.6534959673881531,0.7930154800415039,0.1547594280957758,144,regular_full_timeline,same_H144_prediction,SharedPrivateModernTCN,44,Sanyo,55257000,15,15,0.0199687369526005,133.34404910000012
263547,1.2570844888687134,1.0026249885559082,0.4036572575569153,0.2075127232890846,144,predefined_daylight,same_H144_prediction,SharedPrivateModernTCN,44,Sanyo,55257000,15,15,0.0199687369526005,133.34404910000012
54420,0.2129205614328384,0.1535820811986923,0.9828842282295228,0.0365286423208554,12,regular_full_timeline,same_H144_prediction,SharedPrivateModernTCN,44,Hanwha,55257000,15,15,0.0199687369526005,133.34404910000012
14617,0.3210829198360443,0.2507112324237823,0.954685628414154,0.0550849718556953,12,predefined_daylight,same_H144_prediction,SharedPrivateModernTCN,44,Hanwha,55257000,15,15,0.0199687369526005,133.34404910000012
217680,0.5858042240142822,0.3710278272628784,0.8746427297592163,0.1005005473640635,48,regular_full_timeline,same_H144_prediction,SharedPrivateModernTCN,44,Hanwha,55257000,15,15,0.0199687369526005,133.34404910000012
68044,0.903596818447113,0.6289342045783997,0.6716234683990479,0.1550210311357317,48,predefined_daylight,same_H144_prediction,SharedPrivateModernTCN,44,Hanwha,55257000,15,15,0.0199687369526005,133.34404910000012
435360,0.9083478450775146,0.5982658863067627,0.7443405985832214,0.1558361170591902,96,regular_full_timeline,same_H144_prediction,SharedPrivateModernTCN,44,Hanwha,55257000,15,15,0.0199687369526005,133.34404910000012
165255,1.3332674503326416,1.0305564403533936,0.2598474621772766,0.2287353061794464,96,predefined_daylight,same_H144_prediction,SharedPrivateModernTCN,44,Hanwha,55257000,15,15,0.0199687369526005,133.34404910000012
653040,0.9043595194816588,0.6235742568969727,0.7742552757263184,0.1551518800922683,144,regular_full_timeline,same_H144_prediction,SharedPrivateModernTCN,44,Hanwha,55257000,15,15,0.0199687369526005,133.34404910000012
290271,1.224926233291626,0.9759953022003174,0.3531093001365661,0.2101482916644308,144,predefined_daylight,same_H144_prediction,SharedPrivateModernTCN,44,Hanwha,55257000,15,15,0.0199687369526005,133.34404910000012
36228,0.1676766574382782,0.1257918179035186,-1788.31103515625,0.0277755918952183,12,regular_full_timeline,same_H144_prediction,SharedPrivateModernTCN,44,Qcells,55257000,15,15,0.0199687369526005,133.34404910000012
36,0.2303361296653747,0.1935448348522186,-32.8674201965332,0.0381551161267903,12,predefined_daylight,same_H144_prediction,SharedPrivateModernTCN,44,Qcells,55257000,15,15,0.0199687369526005,133.34404910000012
144912,0.523948609828949,0.3458376228809356,0.2411580085754394,0.0867919422000218,48,regular_full_timeline,same_H144_prediction,SharedPrivateModernTCN,44,Qcells,55257000,15,15,0.0199687369526005,133.34404910000012
