model,seed,split,horizon_steps,horizon_hours,scope,rmse_kw,mae_kw,train_range_nrmse,r2,valid_target_count,window_count,parameter_count,trainable_parameter_count,inference_seconds,inference_ms_per_sample,actual_epochs,best_epoch,best_validation_mse,training_seconds,mean_epoch_seconds,stop_reason,peak_gpu_memory_mb,numerically_finite
HISTORY_ONLY,44,validation,48,4.0,high_change_daylight,8.575810432434082,2.5118916034698486,1.4181453883093227,-31.563739419586703,384504,59424,683856,683856,4.1250001000007614,0.06941639909802036,12,7,0.44995019327681274,129.30722790000073,10.750480583333834,early_stopping,100.23193359375,True
HISTORY_ONLY,44,validation,96,8.0,regular_full_timeline,4.272117614746094,1.2355321645736694,0.7064619654783589,-4.151026861148417,5704704,59424,683856,683856,4.1250001000007614,0.06941639909802036,12,7,0.44995019327681274,129.30722790000073,10.750480583333834,early_stopping,100.23193359375,True
HISTORY_ONLY,44,validation,96,8.0,daylight,5.04959774017334,1.9108394384384155,0.8350305553584242,-6.592422105368334,2819151,59424,683856,683856,4.1250001000007614,0.06941639909802036,12,7,0.44995019327681274,129.30722790000073,10.750480583333834,early_stopping,100.23193359375,True
HISTORY_ONLY,44,validation,96,8.0,high_change_daylight,6.580692768096924,2.2262191772460938,1.0882212444507526,-18.17320406439672,800759,59424,683856,683856,4.1250001000007614,0.06941639909802036,12,7,0.44995019327681274,129.30722790000073,10.750480583333834,early_stopping,100.23193359375,True
HISTORY_ONLY,44,validation,144,12.0,regular_full_timeline,4.063412189483643,1.3119617700576782,0.67194923473612,-3.305721971266234,8557056,59424,683856,683856,4.1250001000007614,0.06941639909802036,12,7,0.44995019327681274,129.30722790000073,10.750480583333834,early_stopping,100.23193359375,True
HISTORY_ONLY,44,validation,144,12.0,daylight,4.345043659210205,1.94400954246521,0.7185214360624197,-4.589231162886426,4411647,59424,683856,683856,4.1250001000007614,0.06941639909802036,12,7,0.44995019327681274,129.30722790000073,10.750480583333834,early_stopping,100.23193359375,True
HISTORY_ONLY,44,validation,144,12.0,high_change_daylight,5.499922275543213,2.0494840145111084,0.909498813269305,-12.38142726020193,1216715,59424,683856,683856,4.1250001000007614,0.06941639909802036,12,7,0.44995019327681274,129.30722790000073,10.750480583333834,early_stopping,100.23193359375,True
RAW_NWP,42,validation,12,1.0,regular_full_timeline,20.43070411682129,3.0544607639312744,3.3785388624732886,-131.2517822061745,713088,59424,683937,683937,4.170593300001201,0.07018365138666534,6,1,6.558660764323124,67.1782850999989,11.17328495000038,early_stopping,102.51904296875,True
RAW_NWP,42,validation,12,1.0,daylight,25.928865432739258,4.869872093200684,4.287746473320244,-196.8172329302447,303546,59424,683937,683937,4.170593300001201,0.07018365138666534,6,1,6.558660764323124,67.1782850999989,11.17328495000038,early_stopping,102.51904296875,True
RAW_NWP,42,validation,12,1.0,high_change_daylight,33.37996292114258,7.908428192138672,5.519902853673345,-489.28539975596505,93058,59424,683937,683937,4.170593300001201,0.07018365138666534,6,1,6.558660764323124,67.1782850999989,11.17328495000038,early_stopping,102.51904296875,True
RAW_NWP,42,validation,48,4.0,regular_full_timeline,19.232986450195312,2.817185401916504,3.1804773732642584,-116.90176461464677,2852352,59424,683937,683937,4.170593300001201,0.07018365138666534,6,1,6.558660764323124,67.1782850999989,11.17328495000038,early_stopping,102.51904296875,True
