section,model,seed,split,scope,horizon_steps,feature,metric,value,unit,count,source_path,notes
training_log,HISTORY_ONLY,42,epoch,,5,,validation_mse,2.1767980711956314,scaled_MSE,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\results\HISTORY_ONLY\seed_42\epochs.jsonl,
training_log,HISTORY_ONLY,42,epoch,,5,,seconds,10.346466599999985,seconds,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\results\HISTORY_ONLY\seed_42\epochs.jsonl,
training_log,HISTORY_ONLY,42,epoch,,6,,train_mse,0.007301096032069136,scaled_MSE,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\results\HISTORY_ONLY\seed_42\epochs.jsonl,
training_log,HISTORY_ONLY,42,epoch,,6,,validation_mse,2.4486262752832406,scaled_MSE,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\results\HISTORY_ONLY\seed_42\epochs.jsonl,
training_log,HISTORY_ONLY,42,epoch,,6,,seconds,10.708972999998878,seconds,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\results\HISTORY_ONLY\seed_42\epochs.jsonl,
training_log,HISTORY_ONLY,42,epoch,,7,,train_mse,0.007154482356362188,scaled_MSE,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\results\HISTORY_ONLY\seed_42\epochs.jsonl,
training_log,HISTORY_ONLY,42,epoch,,7,,validation_mse,2.4647265904325226,scaled_MSE,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\results\HISTORY_ONLY\seed_42\epochs.jsonl,
training_log,HISTORY_ONLY,42,epoch,,7,,seconds,10.589609099999507,seconds,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\results\HISTORY_ONLY\seed_42\epochs.jsonl,
training_log,HISTORY_ONLY,42,epoch,,8,,train_mse,0.006992670147715567,scaled_MSE,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\results\HISTORY_ONLY\seed_42\epochs.jsonl,
training_log,HISTORY_ONLY,42,epoch,,8,,validation_mse,2.599457925284489,scaled_MSE,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\results\HISTORY_ONLY\seed_42\epochs.jsonl,
training_log,HISTORY_ONLY,42,epoch,,8,,seconds,10.291216599998734,seconds,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\results\HISTORY_ONLY\seed_42\epochs.jsonl,
training_log,HISTORY_ONLY,42,epoch,,9,,train_mse,0.006889041907225664,scaled_MSE,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\results\HISTORY_ONLY\seed_42\epochs.jsonl,
training_log,HISTORY_ONLY,42,epoch,,9,,validation_mse,3.430986942812329,scaled_MSE,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\results\HISTORY_ONLY\seed_42\epochs.jsonl,
training_log,HISTORY_ONLY,42,epoch,,9,,seconds,10.664840800000093,seconds,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\results\HISTORY_ONLY\seed_42\epochs.jsonl,
training_log,HISTORY_ONLY,42,epoch,,10,,train_mse,0.006696049573992451,scaled_MSE,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\results\HISTORY_ONLY\seed_42\epochs.jsonl,
training_log,HISTORY_ONLY,42,epoch,,10,,validation_mse,3.997663425292636,scaled_MSE,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\results\HISTORY_ONLY\seed_42\epochs.jsonl,
training_log,HISTORY_ONLY,42,epoch,,10,,seconds,10.52089049999995,seconds,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\results\HISTORY_ONLY\seed_42\epochs.jsonl,
training_summary,HISTORY_ONLY,42,,,,,initial_validation_mse,5.10367537013259,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\results\HISTORY_ONLY\seed_42\epochs.jsonl,
training_summary,HISTORY_ONLY,42,,,5,,best_validation_mse,2.1767980711956314,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\results\HISTORY_ONLY\seed_42\epochs.jsonl,
training_summary,HISTORY_ONLY,42,,,,,actual_epochs,10,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\results\HISTORY_ONLY\seed_42\epochs.jsonl,
tail_distribution,HISTORY_ONLY,42,validation,,12,,prediction_min,-157.72653198242188,kW,713088,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\results\HISTORY_ONLY\seed_42\validation_H144.npz,
tail_distribution,HISTORY_ONLY,42,validation,,12,,prediction_max,343.429443359375,kW,713088,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\results\HISTORY_ONLY\seed_42\validation_H144.npz,
tail_distribution,HISTORY_ONLY,42,validation,,12,,prediction_mean,2.2242228430581727,kW,713088,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\results\HISTORY_ONLY\seed_42\validation_H144.npz,
tail_distribution,HISTORY_ONLY,42,validation,,12,,prediction_sd,16.02163427820449,kW,713088,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\results\HISTORY_ONLY\seed_42\validation_H144.npz,
tail_distribution,HISTORY_ONLY,42,validation,,12,,prediction_p0,-157.72653198242188,kW,713088,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\results\HISTORY_ONLY\seed_42\validation_H144.npz,
tail_distribution,HISTORY_ONLY,42,validation,,12,,prediction_p0.1,-84.00915076446533,kW,713088,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\results\HISTORY_ONLY\seed_42\validation_H144.npz,
