dataset,model,scope,horizon,seeds,parameter_count,rmse_mean,rmse_sd,mae_mean,mae_sd,r2_mean,r2_sd,nrmse_mean,nrmse_sd
Qcells,GFNODE,predefined_daylight,96,"42,43,44",98738,1.6027819315592449,0.10862048632508696,1.2952346404393513,0.08773767672642695,0.007858971754709879,0.13621344727122991,0.26550038334588466,0.017992953495845537
Qcells,GFNODE,predefined_daylight,144,"42,43,44",98738,1.2237019936243694,0.058955059048809016,0.9232840339342753,0.05087274864229634,0.3737666408220927,0.06103348223799698,0.2027058965484626,0.00976588921389365
Qcells,GFNODE,regular_full_timeline,12,"42,43,44",98738,0.1356913223862648,0.030169519039328963,0.10115689039230347,0.022501817872941372,-1209.3942057291667,497.0697862718466,0.02247722999673188,0.0049975724785656685
Qcells,GFNODE,regular_full_timeline,48,"42,43,44",98738,0.5144048929214478,0.02486790456693406,0.2280741035938263,0.013191434771749248,0.26741119225819904,0.07139647707863918,0.08521102813579778,0.004119361508590733
Qcells,GFNODE,regular_full_timeline,96,"42,43,44",98738,0.8611352841059366,0.043112262881491746,0.4516946077346802,0.010735055427691332,0.6873018542925516,0.031707257527872394,0.14264682146770405,0.007141534413735997
Qcells,GFNODE,regular_full_timeline,144,"42,43,44",98738,0.830724835395813,0.03224825389452797,0.4785432616869609,0.021505923845028332,0.815549631913503,0.01439113589591516,0.13760933905585557,0.005341914331978552
Sanyo,Discrete,predefined_daylight,12,"42,43,44",98802,0.29693111777305603,0.06266375010738254,0.22525291641553244,0.06562058695269447,0.9655236601829529,0.014063373850834044,0.0490157864677892,0.010344193688995296
Sanyo,Discrete,predefined_daylight,48,"42,43,44",98802,1.179729700088501,0.0539004414066669,0.8068926533063253,0.08134273916730123,0.5317991375923157,0.04304910754476957,0.19474341221940503,0.008897593981806987
Sanyo,Discrete,predefined_daylight,96,"42,43,44",98802,1.513832926750183,0.014252580300249024,1.1239599386850994,0.04658214748057393,0.18418671687444052,0.015343860090878517,0.24989536981505447,0.0023527390387758644
Sanyo,Discrete,predefined_daylight,144,"42,43,44",98802,1.2933499415715535,0.02334348627924562,0.9623989860216776,0.018166615756318852,0.3686162829399109,0.02275493379117832,0.2134992285067652,0.003853416736711919
Sanyo,Discrete,regular_full_timeline,12,"42,43,44",98802,0.14614510536193848,0.038671677428616644,0.08880589654048283,0.03830019254725058,0.9907576044400533,0.004850451562091028,0.024124845288893967,0.006383711809689953
Sanyo,Discrete,regular_full_timeline,48,"42,43,44",98802,0.5923659801483154,0.028457607835293976,0.24719756841659546,0.030876130325382327,0.8610719243685404,0.013440032196319632,0.09778457916938198,0.004697628323700829
Sanyo,Discrete,regular_full_timeline,96,"42,43,44",98802,0.8927842378616333,0.009885408831402778,0.42938804626464844,0.02225763181554156,0.7727606892585754,0.0050170751983978894,0.14737600387939073,0.001631829941101592
Sanyo,Discrete,regular_full_timeline,144,"42,43,44",98802,0.8719446857770284,0.012514266068902609,0.46164825558662415,0.005574822334791139,0.8209304412206014,0.0051389046140114195,0.14393592308649766,0.002065787506660876
Sanyo,GFNODE,predefined_daylight,12,"42,43,44",98738,0.4091602365175883,0.09716616910526017,0.3343381385008494,0.0915404082114086,0.9340342879295349,0.03050901072423652,0.06754196372097475,0.016039666817260403
Sanyo,GFNODE,predefined_daylight,48,"42,43,44",98738,1.2489819526672363,0.08504194543130672,0.8349065581957499,0.08249938433682683,0.47432686885197956,0.07088572591958596,0.2061752003400663,0.01403826540420803
Sanyo,GFNODE,predefined_daylight,96,"42,43,44",98738,1.6625547806421916,0.16056768330284454,1.2380029757817586,0.14461592671423296,0.009958505630493164,0.19470526428317247,0.27444557084530136,0.0265056466207598
Sanyo,GFNODE,predefined_daylight,144,"42,43,44",98738,1.401076356569926,0.1177430250071706,1.0420267780621846,0.09695598847246682,0.25572993357976276,0.12591200621072068,0.23128212372536736,0.01943638314201211
Sanyo,GFNODE,regular_full_timeline,12,"42,43,44",98738,0.22359362741311392,0.047301998208670294,0.1530177096525828,0.027692524342881136,0.9787142674128214,0.008374145844196584,0.03690962934109191,0.007808358588633981
Sanyo,GFNODE,regular_full_timeline,48,"42,43,44",98738,0.6391628185907999,0.04679811804822322,0.298277606566747,0.04001648471441078,0.8379255731900533,0.023387543601349634,0.10550954871001998,0.007725180771047661
Sanyo,GFNODE,regular_full_timeline,96,"42,43,44",98738,0.9872349301973978,0.0917904033427921,0.5078501999378204,0.05753760174127535,0.7205579876899719,0.05276802395418032,0.16296741444621138,0.01515226441669633
Sanyo,GFNODE,regular_full_timeline,144,"42,43,44",98738,0.954094668229421,0.07913223179624398,0.5329194068908691,0.05258976610111392,0.7846453189849854,0.03579279436815739,0.15749679884926182,0.013062721770403324
