evaluated_targets,rmse,mae,r2,nrmse,horizon,scope,prefix_source,dataset,model,seed,checkpoint,prediction_file,parameter_count,actual_epochs,best_epoch,best_validation_mse,training_seconds,numerically_finite
200496,0.5680811405181885,0.21923762559890747,0.8724257946014404,0.0937757689017273,48,regular_full_timeline,same_H144_prediction,Sanyo,Discrete,42,results\Sanyo\Discrete\seed_42\validation_best.pt,results\Sanyo\Discrete\seed_42\test_H144_predictions_and_labels.npz,98802,14,9,0.01698268544860184,540.0971083000004,True
49254,1.1332296133041382,0.7218820452690125,0.568581223487854,0.18706742884100408,48,predefined_daylight,same_H144_prediction,Sanyo,Discrete,42,results\Sanyo\Discrete\seed_42\validation_best.pt,results\Sanyo\Discrete\seed_42\test_H144_predictions_and_labels.npz,98802,14,9,0.01698268544860184,540.0971083000004,True
400992,0.8814753890037537,0.4064173996448517,0.778499186038971,0.14550920014062602,96,regular_full_timeline,same_H144_prediction,Sanyo,Discrete,42,results\Sanyo\Discrete\seed_42\validation_best.pt,results\Sanyo\Discrete\seed_42\test_H144_predictions_and_labels.npz,98802,14,9,0.01698268544860184,540.0971083000004,True
136926,1.498582124710083,1.0701756477355957,0.20058858394622803,0.24737784971858753,96,predefined_daylight,same_H144_prediction,Sanyo,Discrete,42,results\Sanyo\Discrete\seed_42\validation_best.pt,results\Sanyo\Discrete\seed_42\test_H144_predictions_and_labels.npz,98802,14,9,0.01698268544860184,540.0971083000004,True
601488,0.8720543384552002,0.45527270436286926,0.8209099769592285,0.14395402395884543,144,regular_full_timeline,same_H144_prediction,Sanyo,Discrete,42,results\Sanyo\Discrete\seed_42\validation_best.pt,results\Sanyo\Discrete\seed_42\test_H144_predictions_and_labels.npz,98802,14,9,0.01698268544860184,540.0971083000004,True
263547,1.295788288116455,0.9558733701705933,0.3663709759712219,0.2139017375953233,144,predefined_daylight,same_H144_prediction,Sanyo,Discrete,42,results\Sanyo\Discrete\seed_42\validation_best.pt,results\Sanyo\Discrete\seed_42\test_H144_predictions_and_labels.npz,98802,14,9,0.01698268544860184,540.0971083000004,True
50124,0.1879166215658188,0.13188515603542328,0.9854006767272949,0.031020261754641645,12,regular_full_timeline,same_H144_prediction,Sanyo,Discrete,43,results\Sanyo\Discrete\seed_43\validation_best.pt,results\Sanyo\Discrete\seed_43\test_H144_predictions_and_labels.npz,98802,12,7,0.01644974046697219,460.05798270000014,True
9219,0.3582236170768738,0.286519855260849,0.9512683749198914,0.059133621474389046,12,predefined_daylight,same_H144_prediction,Sanyo,Discrete,43,results\Sanyo\Discrete\seed_43\validation_best.pt,results\Sanyo\Discrete\seed_43\test_H144_predictions_and_labels.npz,98802,12,7,0.01644974046697219,460.05798270000014,True
200496,0.6236792206764221,0.2803352177143097,0.8462324738502502,0.10295359992696144,48,regular_full_timeline,same_H144_prediction,Sanyo,Discrete,43,results\Sanyo\Discrete\seed_43\validation_best.pt,results\Sanyo\Discrete\seed_43\test_H144_predictions_and_labels.npz,98802,12,7,0.01644974046697219,460.05798270000014,True
49254,1.2388066053390503,0.8839889764785767,0.48445063829421997,0.20449550891663268,48,predefined_daylight,same_H144_prediction,Sanyo,Discrete,43,results\Sanyo\Discrete\seed_43\validation_best.pt,results\Sanyo\Discrete\seed_43\test_H144_predictions_and_labels.npz,98802,12,7,0.01644974046697219,460.05798270000014,True
400992,0.8970956206321716,0.4508565664291382,0.7705793976783752,0.14808770367982435,96,regular_full_timeline,same_H144_prediction,Sanyo,Discrete,43,results\Sanyo\Discrete\seed_43\validation_best.pt,results\Sanyo\Discrete\seed_43\test_H144_predictions_and_labels.npz,98802,12,7,0.01644974046697219,460.05798270000014,True
136926,1.5161014795303345,1.1514300107955933,0.18178820610046387,0.25026985026525705,96,predefined_daylight,same_H144_prediction,Sanyo,Discrete,43,results\Sanyo\Discrete\seed_43\validation_best.pt,results\Sanyo\Discrete\seed_43\test_H144_predictions_and_labels.npz,98802,12,7,0.01644974046697219,460.05798270000014,True
601488,0.8593759536743164,0.46560603380203247,0.8260795474052429,0.14186114462091348,144,regular_full_timeline,same_H144_prediction,Sanyo,Discrete,43,results\Sanyo\Discrete\seed_43\validation_best.pt,results\Sanyo\Discrete\seed_43\test_H144_predictions_and_labels.npz,98802,12,7,0.01644974046697219,460.05798270000014,True
263547,1.2688829898834229,0.9483965635299683,0.39241063594818115,0.2094603561633831,144,predefined_daylight,same_H144_prediction,Sanyo,Discrete,43,results\Sanyo\Discrete\seed_43\validation_best.pt,results\Sanyo\Discrete\seed_43\test_H144_predictions_and_labels.npz,98802,12,7,0.01644974046697219,460.05798270000014,True
50124,0.13892880082130432,0.0759287029504776,0.992020308971405,0.022933616679703187,12,regular_full_timeline,same_H144_prediction,Sanyo,Discrete,44,results\Sanyo\Discrete\seed_44\validation_best.pt,results\Sanyo\Discrete\seed_44\test_H144_predictions_and_labels.npz,98802,24,19,0.017340793755526343,843.4447523000017,True
9219,0.29958903789520264,0.23323075473308563,0.9659156799316406,0.04945454157750172,12,predefined_daylight,same_H144_prediction,Sanyo,Discrete,44,results\Sanyo\Discrete\seed_44\validation_best.pt,results\Sanyo\Discrete\seed_44\test_H144_predictions_and_labels.npz,98802,24,19,0.017340793755526343,843.4447523000017,True
200496,0.5853375792503357,0.2420198619365692,0.8645575046539307,0.09662436867945719,48,regular_full_timeline,same_H144_prediction,Sanyo,Discrete,44,results\Sanyo\Discrete\seed_44\validation_best.pt,results\Sanyo\Discrete\seed_44\test_H144_predictions_and_labels.npz,98802,24,19,0.017340793755526343,843.4447523000017,True
49254,1.1671528816223145,0.8148069381713867,0.542365550994873,0.1926672989005783,48,predefined_daylight,same_H144_prediction,Sanyo,Discrete,44,results\Sanyo\Discrete\seed_44\validation_best.pt,results\Sanyo\Discrete\seed_44\test_H144_predictions_and_labels.npz,98802,24,19,0.017340793755526343,843.4447523000017,True
400992,0.8997817039489746,0.43089017271995544,0.7692034840583801,0.14853110781772186,96,regular_full_timeline,same_H144_prediction,Sanyo,Discrete,44,results\Sanyo\Discrete\seed_44\validation_best.pt,results\Sanyo\Discrete\seed_44\test_H144_predictions_and_labels.npz,98802,24,19,0.017340793755526343,843.4447523000017,True
136926,1.5268151760101318,1.1502741575241089,0.17018336057662964,0.2520384094613189,96,predefined_daylight,same_H144_prediction,Sanyo,Discrete,44,results\Sanyo\Discrete\seed_44\validation_best.pt,results\Sanyo\Discrete\seed_44\test_H144_predictions_and_labels.npz,98802,24,19,0.017340793755526343,843.4447523000017,True
601488,0.8844037652015686,0.4640660285949707,0.8158017992973328,0.14599260067973407,144,regular_full_timeline,same_H144_prediction,Sanyo,Discrete,44,results\Sanyo\Discrete\seed_44\validation_best.pt,results\Sanyo\Discrete\seed_44\test_H144_predictions_and_labels.npz,98802,24,19,0.017340793755526343,843.4447523000017,True
263547,1.3153785467147827,0.9829270243644714,0.3470672369003296,0.21713559176158923,144,predefined_daylight,same_H144_prediction,Sanyo,Discrete,44,results\Sanyo\Discrete\seed_44\validation_best.pt,results\Sanyo\Discrete\seed_44\test_H144_predictions_and_labels.npz,98802,24,19,0.017340793755526343,843.4447523000017,True
36228,0.10193193703889847,0.07665667682886124,-660.2431640625,0.0168849971578406,12,regular_full_timeline,same_H144_prediction,Qcells,GFNODE,42,results\Qcells\GFNODE\seed_42\validation_best.pt,results\Qcells\GFNODE\seed_42\test_H144_predictions_and_labels.npz,98738,13,8,0.016339994152076542,578.2563506000006,True
36,0.19264155626296997,0.1617404818534851,-22.689613342285156,0.031911020475760686,12,predefined_daylight,same_H144_prediction,Qcells,GFNODE,42,results\Qcells\GFNODE\seed_42\validation_best.pt,results\Qcells\GFNODE\seed_42\test_H144_predictions_and_labels.npz,98738,13,8,0.016339994152076542,578.2563506000006,True
144912,0.5420486927032471,0.22052398324012756,0.18782323598861694,0.08979021591842053,48,regular_full_timeline,same_H144_prediction,Qcells,GFNODE,42,results\Qcells\GFNODE\seed_42\validation_best.pt,results\Qcells\GFNODE\seed_42\test_H144_predictions_and_labels.npz,98738,13,8,0.016339994152076542,578.2563506000006,True
14871,1.6411911249160767,1.3437708616256714,-1.2196311950683594,0.2718628555945731,48,predefined_daylight,same_H144_prediction,Qcells,GFNODE,42,results\Qcells\GFNODE\seed_42\validation_best.pt,results\Qcells\GFNODE\seed_42\test_H144_predictions_and_labels.npz,98738,13,8,0.016339994152076542,578.2563506000006,True
289824,0.9108873009681702,0.4550146162509918,0.6507095098495483,0.15088822929060328,96,regular_full_timeline,same_H144_prediction,Qcells,GFNODE,42,results\Qcells\GFNODE\seed_42\validation_best.pt,results\Qcells\GFNODE\seed_42\test_H144_predictions_and_labels.npz,98738,13,8,0.016339994152076542,578.2563506000006,True
77007,1.7255717515945435,1.395447850227356,-0.14647042751312256,0.2858404830490481,96,predefined_daylight,same_H144_prediction,Qcells,GFNODE,42,results\Qcells\GFNODE\seed_42\validation_best.pt,results\Qcells\GFNODE\seed_42\test_H144_predictions_and_labels.npz,98738,13,8,0.016339994152076542,578.2563506000006,True
434736,0.8658429384231567,0.4842800199985504,0.7998261451721191,0.14342664310237016,144,regular_full_timeline,same_H144_prediction,Qcells,GFNODE,42,results\Qcells\GFNODE\seed_42\validation_best.pt,results\Qcells\GFNODE\seed_42\test_H144_predictions_and_labels.npz,98738,13,8,0.016339994152076542,578.2563506000006,True
187271,1.2912967205047607,0.9729166030883789,0.30374962091445923,0.21390294434737642,144,predefined_daylight,same_H144_prediction,Qcells,GFNODE,42,results\Qcells\GFNODE\seed_42\validation_best.pt,results\Qcells\GFNODE\seed_42\test_H144_predictions_and_labels.npz,98738,13,8,0.016339994152076542,578.2563506000006,True
36228,0.1600160002708435,0.12089942395687103,-1628.5491943359375,0.026506606155744367,12,regular_full_timeline,same_H144_prediction,Qcells,GFNODE,43,results\Qcells\GFNODE\seed_43\validation_best.pt,results\Qcells\GFNODE\seed_43\test_H144_predictions_and_labels.npz,98738,9,4,0.016078853281214833,412.5763900999991,True
36,0.18216121196746826,0.1608072966337204,-20.182138442993164,0.03017495434395347,12,predefined_daylight,same_H144_prediction,Qcells,GFNODE,43,results\Qcells\GFNODE\seed_43\validation_best.pt,results\Qcells\GFNODE\seed_43\test_H144_predictions_and_labels.npz,98738,9,4,0.016078853281214833,412.5763900999991,True
144912,0.4938541054725647,0.24330607056617737,0.32582706212997437,0.08180679588292342,48,regular_full_timeline,same_H144_prediction,Qcells,GFNODE,43,results\Qcells\GFNODE\seed_43\validation_best.pt,results\Qcells\GFNODE\seed_43\test_H144_predictions_and_labels.npz,98738,9,4,0.016078853281214833,412.5763900999991,True
14871,1.4151078462600708,1.130509853363037,-0.6502190828323364,0.23441222306038345,48,predefined_daylight,same_H144_prediction,Qcells,GFNODE,43,results\Qcells\GFNODE\seed_43\validation_best.pt,results\Qcells\GFNODE\seed_43\test_H144_predictions_and_labels.npz,98738,9,4,0.016078853281214833,412.5763900999991,True
289824,0.8347693681716919,0.46037745475769043,0.7066470384597778,0.13827931479073688,96,regular_full_timeline,same_H144_prediction,Qcells,GFNODE,43,results\Qcells\GFNODE\seed_43\validation_best.pt,results\Qcells\GFNODE\seed_43\test_H144_predictions_and_labels.npz,98738,9,4,0.016078853281214833,412.5763900999991,True
77007,1.5192419290542603,1.2322484254837036,0.1113092303276062,0.2516620050530796,96,predefined_daylight,same_H144_prediction,Qcells,GFNODE,43,results\Qcells\GFNODE\seed_43\validation_best.pt,results\Qcells\GFNODE\seed_43\test_H144_predictions_and_labels.npz,98738,9,4,0.016078853281214833,412.5763900999991,True
434736,0.8238890767097473,0.49659907817840576,0.8187547922134399,0.1364769975215055,144,regular_full_timeline,same_H144_prediction,Qcells,GFNODE,43,results\Qcells\GFNODE\seed_43\validation_best.pt,results\Qcells\GFNODE\seed_43\test_H144_predictions_and_labels.npz,98738,9,4,0.016078853281214833,412.5763900999991,True
187271,1.1968984603881836,0.9256797432899475,0.4018254280090332,0.1982658986865523,144,predefined_daylight,same_H144_prediction,Qcells,GFNODE,43,results\Qcells\GFNODE\seed_43\validation_best.pt,results\Qcells\GFNODE\seed_43\test_H144_predictions_and_labels.npz,98738,9,4,0.016078853281214833,412.5763900999991,True
36228,0.14512602984905243,0.10591457039117813,-1339.3902587890625,0.02404008667661067,12,regular_full_timeline,same_H144_prediction,Qcells,GFNODE,44,results\Qcells\GFNODE\seed_44\validation_best.pt,results\Qcells\GFNODE\seed_44\test_H144_predictions_and_labels.npz,98738,10,5,0.015888142865151167,483.87497679999797,True
