section,task,scope,horizon,model,seed,n,positive_count,prevalence,auroc,auprc,brier,spearman_abs_change,f1_at_0_5,precision_at_0_5,recall_at_0_5,ece_10bin
simple_baseline,ramp_step,full_timeline,6,RECENT_MAX_6,,17401,3041,0.1747600712602724,0.9198579602443486,0.6605848759973578,nan,0.8886673367384946,nan,nan,nan,nan
simple_baseline,ramp_step,full_timeline,7,RECENT_MAX_6,,17401,3040,0.174702603298661,0.9146755971032657,0.6456966064434424,nan,0.8788281119180564,nan,nan,nan,nan
simple_baseline,ramp_step,full_timeline,8,RECENT_MAX_6,,17401,3039,0.1746451353370496,0.9101930439724331,0.6358562371028648,nan,0.8684425586184864,nan,nan,nan,nan
simple_baseline,ramp_step,full_timeline,9,RECENT_MAX_6,,17401,3038,0.17458766737543818,0.9050071142767396,0.6230844246211257,nan,0.8574836139878698,nan,nan,nan,nan
simple_baseline,ramp_step,full_timeline,10,RECENT_MAX_6,,17401,3037,0.1745301994138268,0.9012421249956559,0.6132062532574705,nan,0.8458818567132906,nan,nan,nan,nan
simple_baseline,ramp_step,full_timeline,11,RECENT_MAX_6,,17401,3036,0.1744727314522154,0.8967306694878993,0.6035476190044649,nan,0.8333679333886534,nan,nan,nan,nan
simple_baseline,ramp_step,full_timeline,12,RECENT_MAX_6,,17401,3035,0.174415263490604,0.8915760051246755,0.592371439191327,nan,0.8203158188695395,nan,nan,nan,nan
simple_baseline,ramp_step,full_timeline,all12,IRRADIANCE_CHANGE,,208812,36486,0.1747313372794667,0.8874179414611465,0.5690670472611608,nan,0.8791146251317724,nan,nan,nan,nan
simple_baseline,ramp_step,daylight,all12,IRRADIANCE_CHANGE,,107560,36486,0.3392153216809223,0.7424315863172988,0.5778388487904017,nan,0.47149729815133967,nan,nan,nan,nan
simple_baseline,ramp_step,sunrise_sunset_transition,all12,IRRADIANCE_CHANGE,,69636,10077,0.14470963294847491,0.7783731280990167,0.35921296948767306,nan,0.6810139617836521,nan,nan,nan,nan
simple_baseline,ramp_step,full_timeline,1,IRRADIANCE_CHANGE,,17401,3046,0.1750474110683294,0.9236038584500106,0.6782496447586529,nan,0.9159599860492328,nan,nan,nan,nan
