row_type,run_id,dataset,site_id,model,seed,run_status,prediction_path,label_path,timestamp_path,mask_path,checkpoint_path,config_path,prediction_shape,label_shape,sample_count,forecast_horizon,parameter_count,split,window_count,notes
run_inventory,PatchTST_Hanwha_44,Hanwha,25,PatchTST,44,completed,GFNODE_experiments/asoc_discrete_viability/artifacts/PatchTST_Hanwha_44/test_H144.npz,GFNODE_experiments/asoc_discrete_viability/artifacts/PatchTST_Hanwha_44/test_H144.npz::labels,GFNODE_experiments/asoc_discrete_viability/artifacts/PatchTST_Hanwha_44/test_H144.npz::target_start,GFNODE_experiments/asoc_discrete_viability/artifacts/PatchTST_Hanwha_44/test_H144.npz::implicit_valid+daylight_mask,GFNODE_experiments/asoc_discrete_viability/artifacts/PatchTST_Hanwha_44/best_validation.pt,GFNODE_experiments/asoc_discrete_viability/config.json,"(4535, 144)","(4535, 144)",4535,144,,test,4535,
run_inventory,ModernTCN_Hanwha_42,Hanwha,25,ModernTCN,42,completed,GFNODE_experiments/asoc_discrete_viability/artifacts/ModernTCN_Hanwha_42/test_H144.npz,GFNODE_experiments/asoc_discrete_viability/artifacts/ModernTCN_Hanwha_42/test_H144.npz::labels,GFNODE_experiments/asoc_discrete_viability/artifacts/ModernTCN_Hanwha_42/test_H144.npz::target_start,GFNODE_experiments/asoc_discrete_viability/artifacts/ModernTCN_Hanwha_42/test_H144.npz::implicit_valid+daylight_mask,GFNODE_experiments/asoc_discrete_viability/artifacts/ModernTCN_Hanwha_42/best_validation.pt,GFNODE_experiments/asoc_discrete_viability/config.json,"(4535, 144)","(4535, 144)",4535,144,,test,4535,
run_inventory,ModernTCN_Hanwha_43,Hanwha,25,ModernTCN,43,completed,GFNODE_experiments/asoc_discrete_viability/artifacts/ModernTCN_Hanwha_43/test_H144.npz,GFNODE_experiments/asoc_discrete_viability/artifacts/ModernTCN_Hanwha_43/test_H144.npz::labels,GFNODE_experiments/asoc_discrete_viability/artifacts/ModernTCN_Hanwha_43/test_H144.npz::target_start,GFNODE_experiments/asoc_discrete_viability/artifacts/ModernTCN_Hanwha_43/test_H144.npz::implicit_valid+daylight_mask,GFNODE_experiments/asoc_discrete_viability/artifacts/ModernTCN_Hanwha_43/best_validation.pt,GFNODE_experiments/asoc_discrete_viability/config.json,"(4535, 144)","(4535, 144)",4535,144,,test,4535,
run_inventory,ModernTCN_Hanwha_44,Hanwha,25,ModernTCN,44,completed,GFNODE_experiments/asoc_discrete_viability/artifacts/ModernTCN_Hanwha_44/test_H144.npz,GFNODE_experiments/asoc_discrete_viability/artifacts/ModernTCN_Hanwha_44/test_H144.npz::labels,GFNODE_experiments/asoc_discrete_viability/artifacts/ModernTCN_Hanwha_44/test_H144.npz::target_start,GFNODE_experiments/asoc_discrete_viability/artifacts/ModernTCN_Hanwha_44/test_H144.npz::implicit_valid+daylight_mask,GFNODE_experiments/asoc_discrete_viability/artifacts/ModernTCN_Hanwha_44/best_validation.pt,GFNODE_experiments/asoc_discrete_viability/config.json,"(4535, 144)","(4535, 144)",4535,144,,test,4535,
split_summary,,Hanwha,25,,,,,,,,,GFNODE_experiments/asoc_discrete_viability/config.json,,,20183,144,,train,20183,split-internal H144 windows
split_summary,,Hanwha,25,,,,,,,,,GFNODE_experiments/asoc_discrete_viability/config.json,,,4239,144,,validation,4239,split-internal H144 windows
split_summary,,Hanwha,25,,,,,,,,,GFNODE_experiments/asoc_discrete_viability/config.json,,,4535,144,,test,4535,split-internal H144 windows
run_inventory,Discrete Candidate_Qcells_42,Qcells,38,Discrete Candidate,42,completed,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Qcells_42/test_H144.npz,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Qcells_42/test_H144.npz::labels,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Qcells_42/test_H144.npz::target_start,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Qcells_42/test_H144.npz::implicit_valid+daylight_mask,NOT_AVAILABLE_REUSED_RUN,GFNODE_experiments/asoc_discrete_viability/config.json,"(3019, 144)","(3019, 144)",3019,144,,test,3019,
run_inventory,Discrete Candidate_Qcells_43,Qcells,38,Discrete Candidate,43,completed,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Qcells_43/test_H144.npz,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Qcells_43/test_H144.npz::labels,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Qcells_43/test_H144.npz::target_start,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Qcells_43/test_H144.npz::implicit_valid+daylight_mask,NOT_AVAILABLE_REUSED_RUN,GFNODE_experiments/asoc_discrete_viability/config.json,"(3019, 144)","(3019, 144)",3019,144,,test,3019,
run_inventory,Discrete Candidate_Qcells_44,Qcells,38,Discrete Candidate,44,completed,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Qcells_44/test_H144.npz,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Qcells_44/test_H144.npz::labels,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Qcells_44/test_H144.npz::target_start,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Qcells_44/test_H144.npz::implicit_valid+daylight_mask,NOT_AVAILABLE_REUSED_RUN,GFNODE_experiments/asoc_discrete_viability/config.json,"(3019, 144)","(3019, 144)",3019,144,,test,3019,
run_inventory,iTransformer_Qcells_42,Qcells,38,iTransformer,42,completed,GFNODE_experiments/asoc_discrete_viability/artifacts/iTransformer_Qcells_42/test_H144.npz,GFNODE_experiments/asoc_discrete_viability/artifacts/iTransformer_Qcells_42/test_H144.npz::labels,GFNODE_experiments/asoc_discrete_viability/artifacts/iTransformer_Qcells_42/test_H144.npz::target_start,GFNODE_experiments/asoc_discrete_viability/artifacts/iTransformer_Qcells_42/test_H144.npz::implicit_valid+daylight_mask,GFNODE_experiments/asoc_discrete_viability/artifacts/iTransformer_Qcells_42/best_validation.pt,GFNODE_experiments/asoc_discrete_viability/config.json,"(3019, 144)","(3019, 144)",3019,144,,test,3019,
run_inventory,iTransformer_Qcells_43,Qcells,38,iTransformer,43,completed,GFNODE_experiments/asoc_discrete_viability/artifacts/iTransformer_Qcells_43/test_H144.npz,GFNODE_experiments/asoc_discrete_viability/artifacts/iTransformer_Qcells_43/test_H144.npz::labels,GFNODE_experiments/asoc_discrete_viability/artifacts/iTransformer_Qcells_43/test_H144.npz::target_start,GFNODE_experiments/asoc_discrete_viability/artifacts/iTransformer_Qcells_43/test_H144.npz::implicit_valid+daylight_mask,GFNODE_experiments/asoc_discrete_viability/artifacts/iTransformer_Qcells_43/best_validation.pt,GFNODE_experiments/asoc_discrete_viability/config.json,"(3019, 144)","(3019, 144)",3019,144,,test,3019,
run_inventory,iTransformer_Qcells_44,Qcells,38,iTransformer,44,completed,GFNODE_experiments/asoc_discrete_viability/artifacts/iTransformer_Qcells_44/test_H144.npz,GFNODE_experiments/asoc_discrete_viability/artifacts/iTransformer_Qcells_44/test_H144.npz::labels,GFNODE_experiments/asoc_discrete_viability/artifacts/iTransformer_Qcells_44/test_H144.npz::target_start,GFNODE_experiments/asoc_discrete_viability/artifacts/iTransformer_Qcells_44/test_H144.npz::implicit_valid+daylight_mask,GFNODE_experiments/asoc_discrete_viability/artifacts/iTransformer_Qcells_44/best_validation.pt,GFNODE_experiments/asoc_discrete_viability/config.json,"(3019, 144)","(3019, 144)",3019,144,,test,3019,
run_inventory,PatchTST_Qcells_42,Qcells,38,PatchTST,42,completed,GFNODE_experiments/asoc_discrete_viability/artifacts/PatchTST_Qcells_42/test_H144.npz,GFNODE_experiments/asoc_discrete_viability/artifacts/PatchTST_Qcells_42/test_H144.npz::labels,GFNODE_experiments/asoc_discrete_viability/artifacts/PatchTST_Qcells_42/test_H144.npz::target_start,GFNODE_experiments/asoc_discrete_viability/artifacts/PatchTST_Qcells_42/test_H144.npz::implicit_valid+daylight_mask,GFNODE_experiments/asoc_discrete_viability/artifacts/PatchTST_Qcells_42/best_validation.pt,GFNODE_experiments/asoc_discrete_viability/config.json,"(3019, 144)","(3019, 144)",3019,144,,test,3019,
run_inventory,PatchTST_Qcells_43,Qcells,38,PatchTST,43,completed,GFNODE_experiments/asoc_discrete_viability/artifacts/PatchTST_Qcells_43/test_H144.npz,GFNODE_experiments/asoc_discrete_viability/artifacts/PatchTST_Qcells_43/test_H144.npz::labels,GFNODE_experiments/asoc_discrete_viability/artifacts/PatchTST_Qcells_43/test_H144.npz::target_start,GFNODE_experiments/asoc_discrete_viability/artifacts/PatchTST_Qcells_43/test_H144.npz::implicit_valid+daylight_mask,GFNODE_experiments/asoc_discrete_viability/artifacts/PatchTST_Qcells_43/best_validation.pt,GFNODE_experiments/asoc_discrete_viability/config.json,"(3019, 144)","(3019, 144)",3019,144,,test,3019,
run_inventory,PatchTST_Qcells_44,Qcells,38,PatchTST,44,completed,GFNODE_experiments/asoc_discrete_viability/artifacts/PatchTST_Qcells_44/test_H144.npz,GFNODE_experiments/asoc_discrete_viability/artifacts/PatchTST_Qcells_44/test_H144.npz::labels,GFNODE_experiments/asoc_discrete_viability/artifacts/PatchTST_Qcells_44/test_H144.npz::target_start,GFNODE_experiments/asoc_discrete_viability/artifacts/PatchTST_Qcells_44/test_H144.npz::implicit_valid+daylight_mask,GFNODE_experiments/asoc_discrete_viability/artifacts/PatchTST_Qcells_44/best_validation.pt,GFNODE_experiments/asoc_discrete_viability/config.json,"(3019, 144)","(3019, 144)",3019,144,,test,3019,
run_inventory,ModernTCN_Qcells_42,Qcells,38,ModernTCN,42,completed,GFNODE_experiments/asoc_discrete_viability/artifacts/ModernTCN_Qcells_42/test_H144.npz,GFNODE_experiments/asoc_discrete_viability/artifacts/ModernTCN_Qcells_42/test_H144.npz::labels,GFNODE_experiments/asoc_discrete_viability/artifacts/ModernTCN_Qcells_42/test_H144.npz::target_start,GFNODE_experiments/asoc_discrete_viability/artifacts/ModernTCN_Qcells_42/test_H144.npz::implicit_valid+daylight_mask,GFNODE_experiments/asoc_discrete_viability/artifacts/ModernTCN_Qcells_42/best_validation.pt,GFNODE_experiments/asoc_discrete_viability/config.json,"(3019, 144)","(3019, 144)",3019,144,,test,3019,
run_inventory,ModernTCN_Qcells_43,Qcells,38,ModernTCN,43,completed,GFNODE_experiments/asoc_discrete_viability/artifacts/ModernTCN_Qcells_43/test_H144.npz,GFNODE_experiments/asoc_discrete_viability/artifacts/ModernTCN_Qcells_43/test_H144.npz::labels,GFNODE_experiments/asoc_discrete_viability/artifacts/ModernTCN_Qcells_43/test_H144.npz::target_start,GFNODE_experiments/asoc_discrete_viability/artifacts/ModernTCN_Qcells_43/test_H144.npz::implicit_valid+daylight_mask,GFNODE_experiments/asoc_discrete_viability/artifacts/ModernTCN_Qcells_43/best_validation.pt,GFNODE_experiments/asoc_discrete_viability/config.json,"(3019, 144)","(3019, 144)",3019,144,,test,3019,
run_inventory,ModernTCN_Qcells_44,Qcells,38,ModernTCN,44,completed,GFNODE_experiments/asoc_discrete_viability/artifacts/ModernTCN_Qcells_44/test_H144.npz,GFNODE_experiments/asoc_discrete_viability/artifacts/ModernTCN_Qcells_44/test_H144.npz::labels,GFNODE_experiments/asoc_discrete_viability/artifacts/ModernTCN_Qcells_44/test_H144.npz::target_start,GFNODE_experiments/asoc_discrete_viability/artifacts/ModernTCN_Qcells_44/test_H144.npz::implicit_valid+daylight_mask,GFNODE_experiments/asoc_discrete_viability/artifacts/ModernTCN_Qcells_44/best_validation.pt,GFNODE_experiments/asoc_discrete_viability/config.json,"(3019, 144)","(3019, 144)",3019,144,,test,3019,
split_summary,,Qcells,38,,,,,,,,,GFNODE_experiments/asoc_discrete_viability/config.json,,,12747,144,,train,12747,split-internal H144 windows
split_summary,,Qcells,38,,,,,,,,,GFNODE_experiments/asoc_discrete_viability/config.json,,,2999,144,,validation,2999,split-internal H144 windows
split_summary,,Qcells,38,,,,,,,,,GFNODE_experiments/asoc_discrete_viability/config.json,,,3019,144,,test,3019,split-internal H144 windows
