dataset,site_id,model,seed,statistic,horizon_steps,horizon_minutes,scope,metric,value,unit,sample_count,valid_target_count,normalization_definition,prediction_artifact,label_artifact,timestamp_artifact,mask_artifact,config_path,source_commit,rank
Sanyo,17,Discrete Candidate,42,per_seed,48,240,regular_full_timeline,MAE_skill,0.5414131598289285,dimensionless,4177,200496,train_target_range,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz::labels,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz::target_start,derived_from_labels_and_train_only_threshold,GFNODE_experiments/asoc_discrete_viability/config.json,9f3548d99ecf434dfbe3c5b67c336d1e1118418f,
Sanyo,17,Discrete Candidate,42,per_seed,48,240,daylight,RMSE,1.1454806015184267,source_power_unit,1661,48051,train_target_range,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz::labels,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz::target_start,derived_from_labels_and_train_only_threshold,GFNODE_experiments/asoc_discrete_viability/config.json,9f3548d99ecf434dfbe3c5b67c336d1e1118418f,
Sanyo,17,Discrete Candidate,42,per_seed,48,240,daylight,MAE,0.7337015319592717,source_power_unit,1661,48051,train_target_range,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz::labels,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz::target_start,derived_from_labels_and_train_only_threshold,GFNODE_experiments/asoc_discrete_viability/config.json,9f3548d99ecf434dfbe3c5b67c336d1e1118418f,
Sanyo,17,Discrete Candidate,42,per_seed,48,240,daylight,R2,0.5314017025514037,dimensionless,1661,48051,train_target_range,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz::labels,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz::target_start,derived_from_labels_and_train_only_threshold,GFNODE_experiments/asoc_discrete_viability/config.json,9f3548d99ecf434dfbe3c5b67c336d1e1118418f,
Sanyo,17,Discrete Candidate,42,per_seed,48,240,daylight,Bias,-0.6829486513897698,source_power_unit,1661,48051,train_target_range,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz::labels,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz::target_start,derived_from_labels_and_train_only_threshold,GFNODE_experiments/asoc_discrete_viability/config.json,9f3548d99ecf434dfbe3c5b67c336d1e1118418f,
Sanyo,17,Discrete Candidate,42,per_seed,48,240,daylight,range_nRMSE,0.1890897558602622,dimensionless,1661,48051,train_target_range,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz::labels,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz::target_start,derived_from_labels_and_train_only_threshold,GFNODE_experiments/asoc_discrete_viability/config.json,9f3548d99ecf434dfbe3c5b67c336d1e1118418f,
Sanyo,17,Discrete Candidate,42,per_seed,48,240,daylight,RMSE_skill,0.44140971461340484,dimensionless,1661,48051,train_target_range,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz::labels,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz::target_start,derived_from_labels_and_train_only_threshold,GFNODE_experiments/asoc_discrete_viability/config.json,9f3548d99ecf434dfbe3c5b67c336d1e1118418f,
Sanyo,17,Discrete Candidate,42,per_seed,48,240,daylight,MAE_skill,0.5537782697304303,dimensionless,1661,48051,train_target_range,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz::labels,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz::target_start,derived_from_labels_and_train_only_threshold,GFNODE_experiments/asoc_discrete_viability/config.json,9f3548d99ecf434dfbe3c5b67c336d1e1118418f,
Sanyo,17,Discrete Candidate,42,per_seed,96,480,regular_full_timeline,RMSE,0.8814753836262171,source_power_unit,4177,400992,train_target_range,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz::labels,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz::target_start,derived_from_labels_and_train_only_threshold,GFNODE_experiments/asoc_discrete_viability/config.json,9f3548d99ecf434dfbe3c5b67c336d1e1118418f,
Sanyo,17,Discrete Candidate,42,per_seed,96,480,regular_full_timeline,MAE,0.4064173781124821,source_power_unit,4177,400992,train_target_range,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz::labels,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz::target_start,derived_from_labels_and_train_only_threshold,GFNODE_experiments/asoc_discrete_viability/config.json,9f3548d99ecf434dfbe3c5b67c336d1e1118418f,
