section,model,seed,scope,horizon,n,positive_count,prevalence,event_type,rmse_kw,mae_kw,diff_mae_kw,backbone_parameters,power_head_parameters,event_head_parameters,total_parameters,actual_epochs,best_epoch,stop_reason,numerically_finite,training_seconds,mean_epoch_seconds,inference_ms_per_sample,threshold_kw,step_pos_weight,artifact_source,best_validation_objective,auroc,auprc,brier,f1,precision,recall,miss_rate,onset_time_mae_steps,onset_time_mae_minutes,onset_time_n,up_count,down_count,up_recall,down_recall,direction_accuracy,identification_rate,probability_bin,mean_predicted_probability,observed_event_rate
power,STEP_MULTITASK,42,onset_near,12,,,,,0.8229191303253174,0.5898209810256958,0.1444772481918335,19136,55308,55308,129752,10,5,early_stopping,True,55.38851059999979,5.523994940000193,0.0384415091086687,0.15069979429244995,8.999551200538559,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_joint_trajectory_onset_screen\results\STEP_MULTITASK\42\test_predictions.npz,0.1797820584875518,,,,,,,,,,,,,,,,,,,
ramp_step,STEP_MULTITASK,42,full_timeline,all12,208812,36486,0.1747313372794667,,,,,19136,55308,55308,129752,10,5,early_stopping,True,55.38851059999979,5.523994940000193,0.0384415091086687,0.15069979429244995,8.999551200538559,,0.1797820584875518,0.9332770617049805,0.6817431969290394,0.15870648742771226,0.5988996594183914,0.43294925526325434,0.9711396151948692,,,,,,,,,,,,,
ramp_step,STEP_MULTITASK,42,daylight,all12,107560,36486,0.3392153216809223,,,,,19136,55308,55308,129752,10,5,early_stopping,True,55.38851059999979,5.523994940000193,0.0384415091086687,0.15069979429244995,8.999551200538559,,0.1797820584875518,0.8383641063151588,0.681785068700552,0.3069643044400589,0.5993808782732255,0.43345240134073837,0.9711396151948692,,,,,,,,,,,,,
ramp_step,STEP_MULTITASK,42,sunrise_sunset_transition,all12,69636,10077,0.14470963294847491,,,,,19136,55308,55308,129752,10,5,early_stopping,True,55.38851059999979,5.523994940000193,0.0384415091086687,0.15069979429244995,8.999551200538559,,0.1797820584875518,0.8736831028425439,0.5151665324729899,0.2084410952962467,0.4520117713974825,0.30102108036890646,0.9069167410935794,,,,,,,,,,,,,
ramp_step,STEP_MULTITASK,42,full_timeline,1,17401,3046,0.1750474110683294,,,,,19136,55308,55308,129752,10,5,early_stopping,True,55.38851059999979,5.523994940000193,0.0384415091086687,0.15069979429244995,8.999551200538559,,0.1797820584875518,0.9421341931553175,0.7214510347940036,0.1466419583951586,0.6255833686890114,0.46208085239736757,0.9681549573210768,,,,,,,,,,,,,
ramp_step,STEP_MULTITASK,42,full_timeline,2,17401,3045,0.174989943106718,,,,,19136,55308,55308,129752,10,5,early_stopping,True,55.38851059999979,5.523994940000193,0.0384415091086687,0.15069979429244995,8.999551200538559,,0.1797820584875518,0.9402965684693378,0.7114460542650469,0.1471765351753889,0.6243105642766228,0.461068463105123,0.9665024630541872,,,,,,,,,,,,,
ramp_step,STEP_MULTITASK,42,full_timeline,3,17401,3044,0.1749324751451066,,,,,19136,55308,55308,129752,10,5,early_stopping,True,55.38851059999979,5.523994940000193,0.0384415091086687,0.15069979429244995,8.999551200538559,,0.1797820584875518,0.9386567189383322,0.6998952098796295,0.14828273033462402,0.6217758985200845,0.4583852867830424,0.9661629434954008,,,,,,,,,,,,,
ramp_step,STEP_MULTITASK,42,full_timeline,4,17401,3043,0.1748750071834952,,,,,19136,55308,55308,129752,10,5,early_stopping,True,55.38851059999979,5.523994940000193,0.0384415091086687,0.15069979429244995,8.999551200538559,,0.1797820584875518,0.9361608604202466,0.695363965719594,0.1570382387961808,0.6055801503140121,0.4409295352323838,0.9664804469273743,,,,,,,,,,,,,
ramp_step,STEP_MULTITASK,42,full_timeline,5,17401,3042,0.1748175392218838,,,,,19136,55308,55308,129752,10,5,early_stopping,True,55.38851059999979,5.523994940000193,0.0384415091086687,0.15069979429244995,8.999551200538559,,0.1797820584875518,0.9341223818327431,0.6905216902568891,0.1545388017638874,0.609038961038961,0.44523773355612944,0.9635108481262328,,,,,,,,,,,,,
ramp_step,STEP_MULTITASK,42,full_timeline,6,17401,3041,0.1747600712602724,,,,,19136,55308,55308,129752,10,5,early_stopping,True,55.38851059999979,5.523994940000193,0.0384415091086687,0.15069979429244995,8.999551200538559,,0.1797820584875518,0.9322359279265088,0.6833865786115448,0.1565199280620504,0.6082634358496427,0.44392382103990324,0.9658007234462348,,,,,,,,,,,,,
ramp_step,STEP_MULTITASK,42,full_timeline,7,17401,3040,0.174702603298661,,,,,19136,55308,55308,129752,10,5,early_stopping,True,55.38851059999979,5.523994940000193,0.0384415091086687,0.15069979429244995,8.999551200538559,,0.1797820584875518,0.9321026381757612,0.6756232375907747,0.1575610643382718,0.6014014420635727,0.4349933891582195,0.9740131578947369,,,,,,,,,,,,,
ramp_step,STEP_MULTITASK,42,full_timeline,8,17401,3039,0.1746451353370496,,,,,19136,55308,55308,129752,10,5,early_stopping,True,55.38851059999979,5.523994940000193,0.0384415091086687,0.15069979429244995,8.999551200538559,,0.1797820584875518,0.930390132290803,0.6707649051600255,0.16189239787267673,0.5990113991728034,0.4319173697992435,0.976966107272129,,,,,,,,,,,,,
ramp_step,STEP_MULTITASK,42,full_timeline,9,17401,3038,0.17458766737543818,,,,,19136,55308,55308,129752,10,5,early_stopping,True,55.38851059999979,5.523994940000193,0.0384415091086687,0.15069979429244995,8.999551200538559,,0.1797820584875518,0.9301892773917988,0.6683156332272352,0.16725310826277243,0.5815089913995309,0.41353906032805116,0.9792626728110599,,,,,,,,,,,,,
ramp_step,STEP_MULTITASK,42,full_timeline,10,17401,3037,0.1745301994138268,,,,,19136,55308,55308,129752,10,5,early_stopping,True,55.38851059999979,5.523994940000193,0.0384415091086687,0.15069979429244995,8.999551200538559,,0.1797820584875518,0.9292543178822922,0.6613452111115591,0.16594968763610585,0.5787416959749903,0.4114460341714127,0.975304576885084,,,,,,,,,,,,,
ramp_step,STEP_MULTITASK,42,full_timeline,11,17401,3036,0.1744727314522154,,,,,19136,55308,55308,129752,10,5,early_stopping,True,55.38851059999979,5.523994940000193,0.0384415091086687,0.15069979429244995,8.999551200538559,,0.1797820584875518,0.9275852663960081,0.6581520755016749,0.16804345209259033,0.5737593473827328,0.4068310150117064,0.9729907773386034,,,,,,,,,,,,,
ramp_step,STEP_MULTITASK,42,full_timeline,12,17401,3035,0.174415263490604,,,,,19136,55308,55308,129752,10,5,early_stopping,True,55.38851059999979,5.523994940000193,0.0384415091086687,0.15069979429244995,8.999551200538559,,0.1797820584875518,0.927745207027117,0.6558274155728351,0.17357994640283997,0.5661995996568487,0.39833690987124465,0.9785831960461285,,,,,,,,,,,,,
first_onset,STEP_MULTITASK,42,full_timeline,12,17401,5623,0.3231423481409114,,,,,19136,55308,55308,129752,10,5,early_stopping,True,55.38851059999979,5.523994940000193,0.0384415091086687,0.15069979429244995,8.999551200538559,,0.1797820584875518,0.9474475889195235,0.8456393130606761,0.19962354707322846,0.5421753607103219,0.5648487184428599,0.521252000711364,0.478747999288636,2.487205731832139,12.436028659160696,2931,3125,2498,0.46144,0.2674139311449159,0.7198908222449676,,,,
first_onset,STEP_MULTITASK,42,daylight,12,9655,5623,0.5823925427239772,,,,,19136,55308,55308,129752,10,5,early_stopping,True,55.38851059999979,5.523994940000193,0.0384415091086687,0.15069979429244995,8.999551200538559,,0.1797820584875518,0.8465138133770315,0.845646507506072,0.355400376006899,0.5422255110535565,0.5649575944487278,0.521252000711364,0.478747999288636,2.487205731832139,12.436028659160696,2931,3125,2498,0.46144,0.2674139311449159,0.7198908222449676,,,,
