site,category,key,value
NIST_GROUND,file,02/onemin-Ground-2017-02-14.csv,"{""file"": ""02/onemin-Ground-2017-02-14.csv"", ""size"": 858610, ""mtime_ns"": 1487001600000000000, ""rows"": 1440, ""header"": ""NIST_HEADER""}"
NIST_GROUND,file,02/onemin-Ground-2017-02-15.csv,"{""file"": ""02/onemin-Ground-2017-02-15.csv"", ""size"": 858323, ""mtime_ns"": 1487088000000000000, ""rows"": 1440, ""header"": ""NIST_HEADER""}"
NIST_GROUND,file,02/onemin-Ground-2017-02-16.csv,"{""file"": ""02/onemin-Ground-2017-02-16.csv"", ""size"": 864578, ""mtime_ns"": 1487174400000000000, ""rows"": 1440, ""header"": ""NIST_HEADER""}"
NIST_GROUND,file,02/onemin-Ground-2017-02-17.csv,"{""file"": ""02/onemin-Ground-2017-02-17.csv"", ""size"": 864944, ""mtime_ns"": 1487260800000000000, ""rows"": 1440, ""header"": ""NIST_HEADER""}"
NIST_GROUND,file,02/onemin-Ground-2017-02-18.csv,"{""file"": ""02/onemin-Ground-2017-02-18.csv"", ""size"": 861456, ""mtime_ns"": 1487347200000000000, ""rows"": 1440, ""header"": ""NIST_HEADER""}"
NIST_GROUND,file,02/onemin-Ground-2017-02-19.csv,"{""file"": ""02/onemin-Ground-2017-02-19.csv"", ""size"": 854810, ""mtime_ns"": 1487433600000000000, ""rows"": 1440, ""header"": ""NIST_HEADER""}"
NIST_GROUND,file,02/onemin-Ground-2017-02-20.csv,"{""file"": ""02/onemin-Ground-2017-02-20.csv"", ""size"": 850611, ""mtime_ns"": 1487520000000000000, ""rows"": 1440, ""header"": ""NIST_HEADER""}"
NIST_GROUND,file,02/onemin-Ground-2017-02-21.csv,"{""file"": ""02/onemin-Ground-2017-02-21.csv"", ""size"": 853529, ""mtime_ns"": 1487606400000000000, ""rows"": 1440, ""header"": ""NIST_HEADER""}"
NIST_GROUND,file,02/onemin-Ground-2017-02-22.csv,"{""file"": ""02/onemin-Ground-2017-02-22.csv"", ""size"": 852473, ""mtime_ns"": 1487692800000000000, ""rows"": 1440, ""header"": ""NIST_HEADER""}"
NIST_GROUND,file,02/onemin-Ground-2017-02-23.csv,"{""file"": ""02/onemin-Ground-2017-02-23.csv"", ""size"": 851493, ""mtime_ns"": 1487779200000000000, ""rows"": 1440, ""header"": ""NIST_HEADER""}"
NIST_GROUND,file,02/onemin-Ground-2017-02-24.csv,"{""file"": ""02/onemin-Ground-2017-02-24.csv"", ""size"": 854952, ""mtime_ns"": 1487865600000000000, ""rows"": 1440, ""header"": ""NIST_HEADER""}"
NIST_GROUND,file,02/onemin-Ground-2017-02-25.csv,"{""file"": ""02/onemin-Ground-2017-02-25.csv"", ""size"": 853497, ""mtime_ns"": 1487952000000000000, ""rows"": 1440, ""header"": ""NIST_HEADER""}"
NIST_GROUND,file,02/onemin-Ground-2017-02-26.csv,"{""file"": ""02/onemin-Ground-2017-02-26.csv"", ""size"": 855768, ""mtime_ns"": 1488038400000000000, ""rows"": 1440, ""header"": ""NIST_HEADER""}"
NIST_GROUND,file,02/onemin-Ground-2017-02-27.csv,"{""file"": ""02/onemin-Ground-2017-02-27.csv"", ""size"": 855857, ""mtime_ns"": 1488124800000000000, ""rows"": 1440, ""header"": ""NIST_HEADER""}"
NIST_GROUND,file,02/onemin-Ground-2017-02-28.csv,"{""file"": ""02/onemin-Ground-2017-02-28.csv"", ""size"": 852775, ""mtime_ns"": 1488211200000000000, ""rows"": 1440, ""header"": ""NIST_HEADER""}"
NIST_GROUND,file,03/onemin-Ground-2017-03-01.csv,"{""file"": ""03/onemin-Ground-2017-03-01.csv"", ""size"": 855405, ""mtime_ns"": 1488297600000000000, ""rows"": 1440, ""header"": ""NIST_HEADER""}"
NIST_GROUND,file,03/onemin-Ground-2017-03-02.csv,"{""file"": ""03/onemin-Ground-2017-03-02.csv"", ""size"": 849302, ""mtime_ns"": 1488384000000000000, ""rows"": 1440, ""header"": ""NIST_HEADER""}"
NIST_GROUND,file,03/onemin-Ground-2017-03-03.csv,"{""file"": ""03/onemin-Ground-2017-03-03.csv"", ""size"": 859748, ""mtime_ns"": 1488470400000000000, ""rows"": 1440, ""header"": ""NIST_HEADER""}"
NIST_GROUND,file,03/onemin-Ground-2017-03-04.csv,"{""file"": ""03/onemin-Ground-2017-03-04.csv"", ""size"": 864931, ""mtime_ns"": 1488556800000000000, ""rows"": 1440, ""header"": ""NIST_HEADER""}"
NIST_GROUND,file,03/onemin-Ground-2017-03-05.csv,"{""file"": ""03/onemin-Ground-2017-03-05.csv"", ""size"": 867006, ""mtime_ns"": 1488643200000000000, ""rows"": 1440, ""header"": ""NIST_HEADER""}"
