site,model,horizon,scope,analysis,RMSE_mean,RMSE_sample_sd,MAE_mean,MAE_sample_sd,bias_mean,bias_sample_sd,R2_mean,R2_sample_sd,nRMSE_mean,nRMSE_sample_sd,last_value_skill_mean,last_value_skill_sample_sd,daily_skill_mean,daily_skill_sample_sd,seed_count,forecast_origin_count,valid_target_count
YULARA_COMBINED,DISCRETE_RECURRENT_TRAJECTORY,48,full,primary,15.815695436018585,0.2011974144743604,8.183692029681719,0.1843578636099775,-1.599621823245738,0.8075933805705525,0.7875128984324705,0.0053858221135142745,0.143840579622773,0.0018298501532020355,0.3994574545452982,0.007639727757539222,,,3,26376,1266048
YULARA_COMBINED,LAST_VALUE_PERSISTENCE,48,full,primary,26.335678555536315,0.0,15.580635870428802,0.0,0.007904562341345739,0.0,0.4108876074392744,0.0,0.23951771728989468,0.0,0.0,0.0,,,3,26376,1266048
YULARA_COMBINED,DISCRETE_RECURRENT_TRAJECTORY,48,full,supplementary_daily_matched,15.815695436018585,0.2011974144743604,8.183692029681719,0.1843578636099775,-1.599621823245738,0.8075933805705525,0.7875128984324705,0.0053858221135142745,0.143840579622773,0.0018298501532020355,0.3994574545452982,0.007639727757539222,0.02092063888574036,0.012455237066134857,3,26376,1266048
YULARA_COMBINED,LAST_VALUE_PERSISTENCE,48,full,supplementary_daily_matched,26.335678555536315,0.0,15.580635870428802,0.0,0.007904562341345739,0.0,0.4108876074392744,0.0,0.23951771728989468,0.0,0.0,0.0,-0.630324726407099,0.0,3,26376,1266048
YULARA_COMBINED,DAILY_PERSISTENCE,48,full,supplementary_daily_matched,16.153639903122087,0.0,7.039234949585521,0.0,-0.16130718371020622,0.0,0.7783590882879584,0.0,0.1469141168077249,0.0,0.3866252631745366,0.0,0.0,0.0,3,26376,1266048
YULARA_COMBINED,DISCRETE_RECURRENT_TRAJECTORY,48,daylight,primary,21.270847521960093,0.7594583397487884,13.77343174389135,0.6864349491564693,-4.459219061608192,1.3849846389908438,0.5600891809496521,0.031068735350178952,0.1934540943206596,0.00690712136122891,0.3806098511212405,0.022114822347279465,,,3,18063,658095
YULARA_COMBINED,LAST_VALUE_PERSISTENCE,48,daylight,primary,34.34159803875681,0.0,26.25417953896333,0.0,-3.6811876862634167,0.0,-0.1456900012774438,0.0,0.3123299501466993,0.0,0.0,0.0,,,3,18063,658095
YULARA_COMBINED,DISCRETE_RECURRENT_TRAJECTORY,48,daylight,supplementary_daily_matched,21.270847521960093,0.7594583397487884,13.77343174389135,0.6864349491564693,-4.459219061608192,1.3849846389908438,0.5600891809496521,0.031068735350178952,0.1934540943206596,0.00690712136122891,0.3806098511212405,0.022114822347279465,0.04636122477743724,0.034048898155227665,3,18063,658095
YULARA_COMBINED,LAST_VALUE_PERSISTENCE,48,daylight,supplementary_daily_matched,34.34159803875681,0.0,26.25417953896333,0.0,-3.6811876862634167,0.0,-0.1456900012774438,0.0,0.3123299501466993,0.0,0.0,0.0,-0.5396414956693634,0.0,3,18063,658095
YULARA_COMBINED,DAILY_PERSISTENCE,48,daylight,supplementary_daily_matched,22.30493146316942,0.0,13.413484452836661,0.0,-0.428524423952211,0.0,0.516687633051323,0.0,0.20285888047653133,0.0,0.35049814985322464,0.0,0.0,0.0,3,18063,658095
YULARA_COMBINED,DISCRETE_RECURRENT_TRAJECTORY,96,full,primary,17.865735707342314,0.45561656151033886,9.605920630107477,0.2841996154186676,-2.9478765625572585,0.6073494656234256,0.7290065055373002,0.013728436049805129,0.16248528494541578,0.004143741295379917,0.559834202643317,0.011225220744964284,,,3,26328,2527488
YULARA_COMBINED,LAST_VALUE_PERSISTENCE,96,full,primary,40.588650491771475,0.0,26.8055996896115,0.0,-0.0011937309370504347,0.0,-0.3980993050544661,0.0,0.36914563994109645,0.0,0.0,0.0,,,3,26328,2527488
YULARA_COMBINED,DISCRETE_RECURRENT_TRAJECTORY,96,full,supplementary_daily_matched,17.865735707342314,0.45561656151033886,9.605920630107477,0.2841996154186676,-2.9478765625572585,0.6073494656234256,0.7290065055373002,0.013728436049805129,0.16248528494541578,0.004143741295379917,0.559834202643317,0.011225220744964284,-0.10714009895298293,0.02823456997563603,3,26328,2527488
YULARA_COMBINED,LAST_VALUE_PERSISTENCE,96,full,supplementary_daily_matched,40.588650491771475,0.0,26.8055996896115,0.0,-0.0011937309370504347,0.0,-0.3980993050544661,0.0,0.36914563994109645,0.0,0.0,0.0,-1.5152797096041184,0.0,3,26328,2527488
YULARA_COMBINED,DAILY_PERSISTENCE,96,full,supplementary_daily_matched,16.13683374329758,0.0,7.02656146777064,0.0,-0.13756307014082575,0.0,0.7790136519435616,0.0,0.1467612681530344,0.0,0.6024299022563218,0.0,0.0,0.0,3,26328,2527488
YULARA_COMBINED,DISCRETE_RECURRENT_TRAJECTORY,96,daylight,primary,24.289165777594985,0.8586272399501678,16.994261364496456,0.694337844086841,-6.652457578480559,1.0481144610186492,0.4267682497457576,0.04010410823670845,0.22090509381245393,0.007809042629454241,0.4904289727148212,0.01801344553051865,,,3,22393,1313250
YULARA_COMBINED,LAST_VALUE_PERSISTENCE,96,daylight,primary,47.66590814042039,0.0,37.93904545368048,0.0,-13.629787479057496,0.0,-1.2057644144382307,0.0,0.4335118795692942,0.0,0.0,0.0,,,3,22393,1313250
