site,model,seed,horizon,scope,analysis,forecast_origin_count,valid_target_count,RMSE,MAE,bias,R2,nRMSE,last_value_skill,daily_skill,parameter_count,best_epoch,best_validation_mse,training_seconds
YULARA_COMBINED,INVERTED_VARIATE_TRAJECTORY,44,96,daylight,primary,22393,1313250,21.00834467317507,16.089769562465996,-4.455574281995431,0.5715234577214527,0.19106668353150924,0.559258482786356,,102800.0,10.0,0.017832006292799456,120.14198329999999
YULARA_COMBINED,INVERTED_VARIATE_TRAJECTORY,44,96,daylight,supplementary_daily_matched,22393,1313250,21.00834467317507,16.089769562465996,-4.455574281995431,0.5715234577214527,0.19106668353150924,0.559258482786356,0.05732828296361858,102800.0,10.0,0.017832006292799456,120.14198329999999
YULARA_COMBINED,INVERTED_VARIATE_TRAJECTORY,44,144,full,primary,26280,3784320,15.696934506436637,10.228699379697957,-1.1925440599508579,0.7907935907241976,0.14276047277469203,0.6732565088795168,,102800.0,10.0,0.017832006292799456,120.14198329999999
YULARA_COMBINED,INVERTED_VARIATE_TRAJECTORY,44,144,full,supplementary_daily_matched,26280,3784320,15.696934506436637,10.228699379697957,-1.1925440599508579,0.7907935907241976,0.14276047277469203,0.6732565088795168,0.022977982128273733,102800.0,10.0,0.017832006292799456,120.14198329999999
YULARA_COMBINED,INVERTED_VARIATE_TRAJECTORY,44,144,daylight,primary,26192,1963842,20.988361215580788,16.193393676307817,-4.254504190952747,0.5726847119810057,0.1908849379905144,0.5987179437309114,,102800.0,10.0,0.017832006292799456,120.14198329999999
YULARA_COMBINED,INVERTED_VARIATE_TRAJECTORY,44,144,daylight,supplementary_daily_matched,26192,1963842,20.988361215580788,16.193393676307817,-4.254504190952747,0.5726847119810057,0.1908849379905144,0.5987179437309114,0.054620655014040675,102800.0,10.0,0.017832006292799456,120.14198329999999
YULARA_COMBINED,JOINT_PATCH_TRAJECTORY,42,12,full,primary,26412,316944,12.867634934483158,6.904192489519292,-1.143965236381429,0.8592607453915241,0.11702856032085046,-0.0336641435626408,,140432.0,7.0,0.03149617056309812,96.3203195999995
YULARA_COMBINED,JOINT_PATCH_TRAJECTORY,42,12,full,supplementary_daily_matched,26412,316944,12.867634934483158,6.904192489519292,-1.143965236381429,0.8592607453915241,0.11702856032085046,-0.0336641435626408,0.20311619095608024,140432.0,7.0,0.03149617056309812,96.3203195999995
YULARA_COMBINED,JOINT_PATCH_TRAJECTORY,42,12,daylight,primary,14784,164664,17.42734141143164,10.903325128650978,-1.0474359118723597,0.705024602678286,0.15849817670334004,-0.012512934690334099,,140432.0,7.0,0.03149617056309812,96.3203195999995
YULARA_COMBINED,JOINT_PATCH_TRAJECTORY,42,12,daylight,supplementary_daily_matched,14784,164664,17.42734141143164,10.903325128650978,-1.0474359118723597,0.705024602678286,0.15849817670334004,-0.012512934690334099,0.21857958696460644,140432.0,7.0,0.03149617056309812,96.3203195999995
YULARA_COMBINED,JOINT_PATCH_TRAJECTORY,42,48,full,primary,26376,1266048,14.706648220609987,9.144672094098182,-0.3246425938616748,0.8162884159519816,0.1337540175149765,0.4415694211335087,,140432.0,7.0,0.03149617056309812,96.3203195999995
YULARA_COMBINED,JOINT_PATCH_TRAJECTORY,42,48,full,supplementary_daily_matched,26376,1266048,14.706648220609987,9.144672094098182,-0.3246425938616748,0.8162884159519816,0.1337540175149765,0.4415694211335087,0.08957681929212957,140432.0,7.0,0.03149617056309812,96.3203195999995
YULARA_COMBINED,JOINT_PATCH_TRAJECTORY,42,48,daylight,primary,18063,658095,18.9637067163719,13.31392542478375,-2.811005572933401,0.6506404802131872,0.17247111117649888,0.4477919549646444,,140432.0,7.0,0.03149617056309812,96.3203195999995
YULARA_COMBINED,JOINT_PATCH_TRAJECTORY,42,48,daylight,supplementary_daily_matched,18063,658095,18.9637067163719,13.31392542478375,-2.811005572933401,0.6506404802131872,0.17247111117649888,0.4477919549646444,0.14979757962110996,140432.0,7.0,0.03149617056309812,96.3203195999995
