block,count,Original B_SSE,Expanded A_SSE,Expanded B_SSE,Inverted42_SSE,Inverted43_SSE,Inverted44_SSE,Daily_SSE,site,period,support,horizon,scope,block_hours
30,3456.0,11279.958387486638,2017430.26940156,148774.12714168854,19578.275987853598,18605.569542834764,18370.926908023277,24920.92152822293,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
31,3456.0,286023.7057090527,1878906.770334341,301826.5225292884,257116.54638497345,307852.1931209799,285206.8222549817,224823.50956819314,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
32,3456.0,302459.89038958517,848996.556382558,519152.30143517564,259463.93084304177,333492.17418995383,313625.5376592238,1517542.916392672,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
33,3456.0,273580.511621488,2268889.3843078455,792263.1666782575,37849.139987556606,23301.876792726056,28508.94204556293,2251423.376746817,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
34,3456.0,105131.94040830692,1830429.7072857653,224660.41370741616,113462.88783194633,105273.78521442087,116622.14401206719,163653.5659880209,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
35,3456.0,23074.281311321345,2127295.4976068437,223407.58152817166,27351.351777540116,17289.100400368203,17395.84725811184,136436.9741737161,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
36,3456.0,422137.4334777988,1617552.9835535581,416576.2899250138,390654.0654204168,419757.91730325186,410246.5609421408,535635.5422931805,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
37,3456.0,32525.25261882758,1924640.7387556746,250066.45496101675,19313.6503054057,24104.443674326318,22241.86093256571,444671.8897379967,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
38,3456.0,12204.056923929833,1783897.1301883631,131799.00007812798,12577.379968386931,28800.13596244064,23832.492257667862,5215.646199401056,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
39,3456.0,17857.001115961706,2029859.5237681991,204888.48688207052,26595.062180836943,14377.903598282217,17631.074127425924,9702.708305422666,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
40,3456.0,14926.283471813933,2108412.038292551,191497.6789825538,29123.937889255427,17525.400219528146,19837.414067222224,4667.091599926112,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
41,3456.0,13934.335725334202,2130167.036197674,188738.54864022453,30903.701451292756,18810.915166462215,21868.761333639555,1774.941600671593,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
42,3456.0,14781.948260288993,2169064.20961826,191279.80608267453,31704.253154719794,20219.574959569007,23772.399446706873,887.9639798616098,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
43,3456.0,12558.722579787323,2052699.2167431503,166613.73638786245,23692.888552237804,15873.12168072786,15265.55403936581,3681.87828160514,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
44,3432.0,19946.070496247605,2082443.9402331614,182324.15457483285,27629.07388011075,26562.16755123259,28337.192819483324,445.2618963950301,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
45,3421.0,116098.62789111809,2074543.0318790108,253614.80916527327,116630.89310494147,111624.07683512542,116434.31877839426,85401.69028224626,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
46,3420.0,38160.4240171566,1986097.2170058438,199235.8130074982,41542.46844878645,31028.90144458572,55471.11245119252,80977.6699166607,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
47,3444.0,62571.1358373204,2036074.718791774,209318.4508899591,63830.990196889965,56120.80070377082,56943.906084098686,41903.76141936467,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
48,3456.0,16488.47861772357,2062317.7239451208,195599.6485432563,25432.05502426714,17670.72101822227,19656.930039474708,41299.07154584282,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
49,3456.0,13185.37948955049,1966800.964292979,171698.04159459245,20367.54354646694,14945.035487571991,14396.630847731545,4448.605856229592,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
50,3456.0,70433.09829134023,2000599.1059099361,195776.3344732384,32673.092710441793,46227.760330886915,47635.832611737664,7512.750037076638,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
51,3456.0,195212.06563468144,1133261.3302161277,289073.5849481933,175449.0198355847,228289.0312658931,215177.33560546447,692155.4535521605,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
52,3456.0,116890.91781600284,1848750.841202447,395187.49365465535,74195.56188767268,85581.55909923838,75576.58349629384,575099.2685173925,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
53,3456.0,25715.596139901,1892632.6561348913,172477.81632275783,22265.62867239978,20335.385024221538,18610.58883270087,100044.41625436686,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
54,3456.0,40024.44597487164,1782561.501933167,164978.37729772303,43900.69719961275,57188.2326568723,46740.61766042164,36385.226105793015,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
55,3456.0,191794.24854876255,1440814.5563209874,291003.147264249,204589.5199810608,261453.98397179428,245071.0284005619,399548.60089645314,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
56,3456.0,179232.81477672086,1456632.1234780678,481557.7302029623,186867.59906275716,269604.6698241693,238289.5123692995,780728.3091589076,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
57,3456.0,55636.82676720929,1608046.4231606112,180219.282157089,13056.686114011974,43031.144397744596,34754.671042839764,416772.78963536734,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
58,3456.0,15396.353793457973,1769502.7150899684,184339.82039076928,16191.50189892868,17993.30220915606,16727.444935930293,3838.9748830633093,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
59,3456.0,55638.60266785881,1882478.4403782024,218997.8459067086,61735.72955716471,61268.947938297904,57012.57867205829,40825.17234550686,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
60,3456.0,162472.99920115637,1831560.1467971967,336168.4923789311,165723.85602787818,207192.5236837816,195926.7913560617,226773.65678695583,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
61,3456.0,26690.437805563663,1852010.2925384266,194513.69482721793,16248.512323216948,17454.231079844994,14209.176177931095,226784.44481828768,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
62,3456.0,12727.762181933695,1805651.5299831629,157435.24653786648,15477.43477991063,16093.0702688182,13856.663167031018,492.2177478762148,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
63,3456.0,14447.74061186217,1818554.2931236073,167721.09373828123,15314.55641827726,16704.71091048477,13867.283090900053,514.4264907658522,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
