site,period,support,horizon,scope,method,origins,points,RMSE,MAE,bias,SSE
NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,full,Daily,25333,2335738,51.121220241306574,25.286643605147507,0.171435100769008,6104169009.991321
NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,full,Last-value,25333,2335738,77.49015855326681,47.759715626238886,-0.1792125684473172,14025463597.353716
NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,power-active,Original A,20758,1170061,61.38818262699914,45.892825152805116,-18.05798304187834,4409385369.554526
NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,power-active,Original B,20758,1170061,52.645381473613384,38.02596251611609,-4.885526359532309,3242866406.5952826
NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,power-active,Expanded A,20758,1170061,61.38817587679717,45.89284368148836,-18.05798741112098,4409384399.848669
NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,power-active,Expanded B,20758,1170061,52.645381473613384,38.02596251611609,-4.885526359532309,3242866406.5952826
NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,power-active,Inverted42,20758,1170061,48.47174616527874,35.91162768235137,-6.832757078480126,2749070226.4048743
NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,power-active,Inverted43,20758,1170061,49.221596005960976,36.42610221207297,-11.828113659105487,2834783439.3439345
NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,power-active,Inverted44,20758,1170061,49.0746100683073,36.42407815998063,-7.073001054637893,2817878210.785555
NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,power-active,Daily,20758,1170061,71.82003694874204,49.30131500118369,-0.776167913980552,6035312362.743016
NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,power-active,Last-value,20758,1170061,92.52819348918742,69.79424093495982,-25.79969891569757,10017438160.19785
NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,low-power,Original A,21151,1165677,33.55865052898435,25.979243647743157,15.275312727426865,1312765650.4135208
NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,low-power,Original B,21151,1165677,15.891396269309173,11.02459353911592,5.288336128446622,294375961.02110684
NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,low-power,Expanded A,21151,1165677,33.55866537984757,25.979247405713203,15.275252804587456,1312766812.3021607
NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,low-power,Expanded B,21151,1165677,15.891396269309173,11.02459353911592,5.288336128446622,294375961.02110684
NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,low-power,Inverted42,21151,1165677,17.574008877752377,8.419429755237946,2.9420705307344726,360014431.659649
NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,low-power,Inverted43,21151,1165677,16.19220219467187,7.727172402547452,2.311489735897806,305625835.75667083
NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,low-power,Inverted44,21151,1165677,16.257271399217018,7.294579336950928,2.7170743226662304,308087117.7874447
NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,low-power,Daily,21151,1165677,7.685706972725904,1.1816553208135705,1.122601960062693,68856647.248319
NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,low-power,Last-value,21151,1165677,58.637591120287254,25.642320569763314,25.537629983949245,4008025437.155882
NIST_GROUND,2018_Apr_Jun_origins,fixed_period,144,full,Original A,25333,3502466,51.89607708263479,38.79034869214223,-1.2097031301992183,9432851296.12936
