site,horizon,scope,method,RMSE,MAE,bias,points,origins
YULARA_COMBINED,96,full,Original B,7.821108868499273,3.857703580221527,0.4779262552452844,2514818,26204
YULARA_COMBINED,96,full,Expanded A,25.708882918007983,22.877779974739276,3.323967111753603,2514818,26204
YULARA_COMBINED,96,full,Expanded B,10.517212945737526,7.99197159232022,1.4654613464120263,2514818,26204
YULARA_COMBINED,96,full,Daily,9.561944128535064,3.293938669995744,0.0397051458562603,2514818,26204
YULARA_COMBINED,96,full,Last-value,35.362824004245496,22.59340641142325,-0.004509797404777,2514818,26204
YULARA_COMBINED,96,low-power,Inverted mean,10.188246677743686,5.013031331870239,3.9370583196602396,1416955,23434
YULARA_COMBINED,96,low-power,Original A,14.739926889886576,10.6355751710901,7.651055715748288,1416955,23434
YULARA_COMBINED,96,low-power,Original B,2.216811610953082,1.449806711562094,0.5343884032424969,1416955,23434
YULARA_COMBINED,96,low-power,Expanded A,20.76439702347644,20.073475851866625,20.073475851866625,1416955,23434
YULARA_COMBINED,96,low-power,Expanded B,6.387497744238903,4.966696619461264,4.485306209142943,1416955,23434
YULARA_COMBINED,96,low-power,Daily,0.6729667481444772,0.0176563821138616,0.0127780354889825,1416955,23434
YULARA_COMBINED,96,low-power,Last-value,28.116203579648506,13.143726851875304,13.1276185907732,1416955,23434
YULARA_COMBINED,96,power-active,Inverted mean,17.417373331055277,11.879088047332601,2.9302304613968353,1097863,20082
YULARA_COMBINED,96,power-active,Original A,20.65354466031257,16.00624168055957,-3.2203096281881645,1097863,20082
YULARA_COMBINED,96,power-active,Original B,11.566148710639965,6.965451548348087,0.4050534806683204,1097863,20082
YULARA_COMBINED,96,power-active,Expanded A,30.943823033483792,26.49715028635832,-18.293757647024908,1097863,20082
YULARA_COMBINED,96,power-active,Expanded B,14.1673583502908,11.89653755288849,-2.4320962518228058,1097863,20082
YULARA_COMBINED,96,power-active,Daily,14.451686234415789,7.522466791651789,0.074458574718027,1097863,20082
YULARA_COMBINED,96,power-active,Last-value,42.94459684167386,34.78961914497858,-16.953468802554543,1097863,20082
YULARA_COMBINED,144,full,Inverted mean,13.859058136293276,8.213003131308616,3.50936734350474,3772226,26204
YULARA_COMBINED,144,full,Original A,17.80253533040707,13.281554044337778,2.9829122355535502,3772226,26204
