site,period,support,scope,horizon,block_hours,method,reference,rmse,reference_rmse,effect_kW,ci_low_kW,ci_high_kW,skill,skill_ci_low,skill_ci_high,blocks,nonempty_blocks,points,replicates,valid_replicates,zero_support_replicates,valid_skill_replicates
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,low-power,144,48,Expanded B,Inverted mean,6.695042591598208,9.085076150277567,-2.39003355867936,-2.7644108752221985,-2.0395520019210913,0.26151489515792764,0.22894246095873508,0.2923535405812101,46,46,2125723,2000,2000,0,2000
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,low-power,144,72,Inverted mean,Daily,9.085076150277567,0.6729136913368485,8.412162458940719,7.676156403391164,9.343367123154081,-12.501101652767147,-116.88620917339274,-6.52040224828935,31,31,2125723,2000,2000,0,2000
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,low-power,144,72,Original B,Daily,2.188794170267034,0.6729136913368485,1.5158804789301854,1.1482799896220233,2.0793658897789555,-2.252711600976124,-25.607099187558372,-0.9526596514321483,31,31,2125723,2000,2000,0,2000
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,low-power,144,72,Expanded B,Daily,6.6950425915982095,0.6729136913368485,6.022128900261361,5.396465948081725,6.819030835546578,-8.949333291610486,-85.2697384878272,-4.5658151936162135,31,31,2125723,2000,2000,0,2000
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,low-power,144,72,Expanded B,Inverted mean,6.6950425915982095,9.085076150277567,-2.390033558679358,-2.7944958436905094,-2.0070422711475926,0.26151489515792753,0.22696507699577018,0.29668144058458057,31,31,2125723,2000,2000,0,2000
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,power-active,12,24,Inverted mean,Daily,8.71135776272398,14.45124788417826,-5.73989012145428,-7.93570876906352,-3.8429355704983017,0.3971899290260266,0.3065871974818251,0.4796213530999886,91,91,137209,2000,2000,0,2000
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,power-active,12,24,Original B,Daily,8.527839763212697,14.45124788417826,-5.923408120965563,-7.763612769845342,-4.241377772453417,0.40988903992510717,0.33908693770649473,0.471695357163817,91,91,137209,2000,2000,0,2000
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,power-active,12,24,Expanded B,Daily,12.095326782133979,14.45124788417826,-2.355921102044281,-4.056806578709243,-0.7120899350025534,0.16302544395654772,0.0584234875776206,0.2405438403978863,91,91,137209,2000,2000,0,2000
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,power-active,12,24,Expanded B,Inverted mean,12.095326782133979,8.71135776272398,3.3839690194099994,2.694331710277693,4.206859076719576,-0.3892696589474689,-0.5362870658374222,-0.28539586561419583,91,91,137209,2000,2000,0,2000
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,power-active,12,48,Inverted mean,Daily,8.71135776272398,14.451247884178256,-5.739890121454276,-7.900582196043299,-3.6019585913622,0.3971899290260265,0.30053446063548767,0.4739360084421202,46,46,137209,2000,2000,0,2000
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,power-active,12,48,Original B,Daily,8.527839763212695,14.451247884178256,-5.923408120965561,-7.8039463408332885,-4.092052425286882,0.40988903992510717,0.3381008738339151,0.4634544055293791,46,46,137209,2000,2000,0,2000
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,power-active,12,48,Expanded B,Daily,12.095326782133979,14.451247884178256,-2.3559211020442774,-4.229491476366376,-0.38215607304327803,0.1630254439565475,0.03291506657458532,0.24463280568437473,46,46,137209,2000,2000,0,2000
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,power-active,12,48,Expanded B,Inverted mean,12.095326782133979,8.71135776272398,3.383969019409999,2.6650832448968576,4.1766923301446965,-0.38926965894746884,-0.537181420687266,-0.27944500498734753,46,46,137209,2000,2000,0,2000
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,power-active,12,72,Inverted mean,Daily,8.711357762723978,14.451247884178256,-5.739890121454278,-8.165004245157075,-3.58930794098625,0.3971899290260265,0.29909666350486963,0.48389204067199426,31,31,137209,2000,2000,0,2000
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,power-active,12,72,Original B,Daily,8.527839763212697,14.451247884178256,-5.92340812096556,-7.928656267453555,-4.071896294559246,0.40988903992510706,0.3405769793923419,0.46606255918238004,31,31,137209,2000,2000,0,2000
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,power-active,12,72,Expanded B,Daily,12.095326782133977,14.451247884178256,-2.355921102044279,-4.390489108092628,-0.2735939457943764,0.1630254439565476,0.023444075522316952,0.25118216444148234,31,31,137209,2000,2000,0,2000
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,power-active,12,72,Expanded B,Inverted mean,12.095326782133977,8.711357762723978,3.383969019409998,2.514088700214358,4.28800002787717,-0.3892696589474689,-0.5769140360722814,-0.25992027689256764,31,31,137209,2000,2000,0,2000
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,power-active,48,24,Inverted mean,Daily,12.685766698281848,14.451790894249653,-1.7660241959678042,-3.857722167886379,0.08040651698710913,0.12220106206148489,-0.006501658816121491,0.23013554292214267,91,91,548904,2000,2000,0,2000
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,power-active,48,24,Original B,Daily,10.66054095078211,14.451790894249653,-3.791249943467543,-4.816816853832007,-2.828180271121638,0.2623377248681391,0.2249955740319125,0.2944452328562735,91,91,548904,2000,2000,0,2000
