block,count,Original B_SSE,Expanded A_SSE,Expanded B_SSE,Inverted42_SSE,Inverted43_SSE,Inverted44_SSE,Daily_SSE,site,period,support,horizon,scope,block_hours
3,13047.0,90159710.53128588,70080399.93056877,90159710.53128588,67417964.54948851,66469321.61053618,61454252.38160113,127175953.32718588,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,power-active,24
4,13613.0,54691828.74966184,104737878.96002094,54691828.74966184,59040930.44508723,63576741.08473693,60024452.32577359,82601939.45833978,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,power-active,24
5,13366.0,14780832.821655823,81685422.44256185,14780832.821655823,49467863.43300162,51992103.6838614,47000912.51528516,29631615.943277545,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,power-active,24
6,12169.0,34598115.02065517,12186323.141178062,34598115.02065517,12815450.965428583,10560930.823922371,10848505.128791122,90658893.93040419,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,power-active,24
7,13355.0,108241475.63823228,127916532.86927138,108241475.63823228,58040904.19659158,69363813.64490107,60109729.53675265,180729638.7746395,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,power-active,24
8,11636.0,72847657.87946314,34746852.348739125,72847657.87946314,53110729.27901514,50748224.43065166,52272627.02818951,191720787.814617,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,power-active,24
9,13373.0,116214986.13646847,115109073.54876393,116214986.13646847,66385818.085678615,75303485.73127884,72132983.80873042,206968364.87157282,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,power-active,24
10,13422.0,30178747.296381366,56549231.008067854,30178747.296381366,45160428.564213574,46829398.20708165,45815539.82985327,68505021.17371859,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,power-active,24
11,13421.0,36388309.07501937,77348377.82762305,36388309.07501937,64553322.33753439,65481230.667940624,60267779.78056309,50713791.96583114,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,power-active,24
12,13673.0,17037704.98822145,69581530.31315449,17037704.98822145,24546547.099907573,28450312.34623269,23818230.416507125,32371809.461978555,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,power-active,24
13,13893.0,9069023.669644568,70026501.03229038,9069023.669644568,26270561.453668937,30346542.423749942,28441159.651755683,6966239.59731384,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,power-active,24
14,12574.0,81734502.97213607,11726391.399030156,81734502.97213607,35928524.022872776,32535780.25711408,43190823.04386433,193993040.00000796,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,power-active,24
15,11666.0,8729141.037186515,17246842.46432188,8729141.037186515,8414281.816301439,8070043.822467478,8137354.663890694,13383479.242759643,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,power-active,24
16,12945.0,11276185.028226577,14175154.474474017,11276185.028226577,18233545.6753933,16358148.041139046,17285053.878827248,16512344.467352234,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,power-active,24
17,13716.0,104835608.69019026,103694248.38220407,104835608.69019026,28878389.388596456,36512755.85356735,32397101.1205243,184619041.70921886,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,power-active,24
18,13572.0,78421304.48366323,81908084.79065776,78421304.48366323,74367340.84532681,73009911.49637902,71070991.38971661,137995365.264686,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,power-active,24
19,14136.0,86473216.85318702,129139381.47053416,86473216.85318702,31723731.41881653,41543909.83794746,38103127.74962273,169113629.1458146,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,power-active,24
20,14425.0,4654863.547124077,83078227.73688562,4654863.547124077,15247885.818900771,18868802.35823899,19335783.23975837,11744028.102863483,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,power-active,24
21,14481.0,11310378.959437724,64375746.07296624,11310378.959437724,29740880.50755138,34670018.86253873,29950164.25751391,21124492.793723986,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,power-active,24
22,14409.0,16798450.149449658,68771253.36293189,16798450.149449658,34029341.058468245,35156344.21275552,31399174.114332635,17002451.35386867,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,power-active,24
23,13111.0,34407730.76867513,12003623.24272326,34407730.76867513,18581069.789871596,14570731.147583608,20576195.6207107,96062940.26035026,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,power-active,24
24,13910.0,10070299.123912774,16712950.973516263,10070299.123912774,15867471.989021134,12437002.981325548,16257229.579563547,11432177.979647847,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,power-active,24
25,13786.0,118580368.43560492,101892773.21071357,118580368.43560492,32202642.015515488,39741958.8750765,35944207.900891505,236806935.72640294,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,power-active,24
26,13046.0,67842211.43091255,27221968.679695014,67842211.43091255,35879691.70095648,32338169.239665426,33478178.240340862,174462516.2265109,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,power-active,24
27,14255.0,95120585.00752956,100203956.75786011,95120585.00752956,48566956.654290915,49659582.3544059,41968004.75891439,133560291.79924522,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,power-active,24
28,14208.0,64475408.04963542,74553266.41459958,64475408.04963542,59200990.40892358,59768848.25758804,58773617.61611703,102654769.68073402,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,power-active,24
29,14257.0,47447058.95290033,111171134.97666611,47447058.95290033,19799055.59170862,27368752.42649737,25776250.67983261,69033513.65280041,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,power-active,24
30,14375.0,5105599.40959855,77959668.01651621,5105599.40959855,14858710.280958306,19303954.563747562,18227913.238082547,1823335.4241962803,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,power-active,24
31,14678.0,4591355.794263813,57906139.18579104,4591355.794263813,14208234.324237159,18979567.60784479,16447018.349830959,1746687.5295377602,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,power-active,24
32,14686.0,5084102.057494703,50754260.753489636,5084102.057494703,12730851.343983613,16913044.520613246,14367099.679423293,1106724.662755079,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,power-active,24
33,12430.0,24067534.257443644,50908085.401834324,24067534.257443644,37829430.52613774,36270163.949057646,32215032.64319264,34468710.945198625,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,power-active,24
34,13030.0,39149843.17276581,16482868.813226733,39149843.17276581,31886310.574094284,26663730.613055088,37601720.499006756,98155810.56586336,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,power-active,24
35,14006.0,29393998.23290682,35144876.516951025,29393998.23290682,28038237.533142652,27904021.963117838,28203924.97074549,30086046.53133755,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,power-active,24
36,14715.0,58809433.322076075,75054192.59758899,58809433.322076075,38075464.7398319,42617079.79746684,38424444.86063691,98918079.53019862,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,power-active,24
