site,scope,horizon,support,block_hours,method,reference,rmse,reference_rmse,effect_kW,ci_low_kW,ci_high_kW,skill,skill_ci_low,skill_ci_high,blocks,nonempty_blocks,points,replicates,valid_replicates,zero_support_replicates,valid_skill_replicates
Qcells,full,144,complete_H144_Daily_intersection,72,Expanded B,Inverted43,0.2594590412879559,0.8685733136652152,-0.6091142723772593,-0.6793755216881409,-0.5384402749310122,0.7012813573639654,0.6650519381578197,0.7419218643200727,8,8,431150,2000,2000,0,2000
Qcells,full,144,complete_H144_Daily_intersection,72,Expanded B,Inverted44,0.2594590412879559,0.8157764600124328,-0.5563174187244768,-0.6350465070234894,-0.4749726316636017,0.681948359622927,0.6458240285723555,0.7248882453903676,8,8,431150,2000,2000,0,2000
Qcells,full,144,complete_H144_Daily_intersection,72,Expanded B,Inverted mean,0.2594590412879559,0.8436136989042887,-0.5841546576163329,-0.6636622597746025,-0.5059451882398337,0.6922395174462955,0.6598374408955989,0.7313608552918207,8,8,431150,2000,2000,0,2000
Qcells,full,144,complete_H144_Daily_intersection,72,Expanded A,Original A,0.839062913771377,0.839062913771377,0.0,0.0,0.0,0.0,0.0,0.0,8,8,431150,2000,2000,0,2000
Qcells,full,144,complete_H144_Daily_intersection,72,Expanded B,Original B,0.2594590412879559,0.2365203074245268,0.022938733863429095,0.017111921846515405,0.030987220362255152,-0.09698420449901035,-0.16798140185416677,-0.05923700275928996,8,8,431150,2000,2000,0,2000
Qcells,power-active,144,complete_H144_Daily_intersection,24,Expanded B,Expanded A,0.38253746124861404,1.1683194382786224,-0.7857819770300083,-0.8780225375578401,-0.7080501702742524,0.6725745984229821,0.6320771887139188,0.713946021490071,24,24,187950,2000,2000,0,2000
Qcells,power-active,144,complete_H144_Daily_intersection,24,Expanded B,Daily,0.38253746124861404,0.3689751735852708,0.01356228766334322,-0.04039329739262007,0.07609340629784675,-0.036756640105513716,-0.3032453632169738,0.08521269906790835,24,24,187950,2000,2000,0,2000
Qcells,power-active,144,complete_H144_Daily_intersection,24,Expanded B,Inverted42,0.38253746124861404,1.2344414789660443,-0.8519040177174302,-0.9767746195909521,-0.7225244717785678,0.6901129233205745,0.6529120579838078,0.7288351313030104,24,24,187950,2000,2000,0,2000
Qcells,power-active,144,complete_H144_Daily_intersection,24,Expanded B,Inverted43,0.38253746124861404,1.2563347420548112,-0.8737972808061971,-1.0123079122086656,-0.75118612649853,0.6955131077383476,0.6518794030684522,0.7394303988189749,24,24,187950,2000,2000,0,2000
Qcells,power-active,144,complete_H144_Daily_intersection,24,Expanded B,Inverted44,0.38253746124861404,1.1740995085306072,-0.7915620472819931,-0.9184057798847562,-0.6774573748163562,0.674186507643324,0.6313228472914583,0.7186758696199435,24,24,187950,2000,2000,0,2000
Qcells,power-active,144,complete_H144_Daily_intersection,24,Expanded B,Inverted mean,0.38253746124861404,1.2216252431838208,-0.8390877819352068,-0.9677327460196379,-0.7200382614180425,0.6866041795674155,0.6457002538026942,0.7289533103501251,24,24,187950,2000,2000,0,2000
Qcells,power-active,144,complete_H144_Daily_intersection,24,Expanded A,Original A,1.1683194382786224,1.1683194382786224,0.0,0.0,0.0,0.0,0.0,0.0,24,24,187950,2000,2000,0,2000
Qcells,power-active,144,complete_H144_Daily_intersection,24,Expanded B,Original B,0.38253746124861404,0.3508946553140599,0.03164280593455415,0.02066602464202634,0.04307353520439983,-0.09017750899121846,-0.13708889951952585,-0.053594676561588284,24,24,187950,2000,2000,0,2000
Qcells,power-active,144,complete_H144_Daily_intersection,48,Expanded B,Expanded A,0.38253746124861404,1.1683194382786224,-0.7857819770300083,-0.8848188314181683,-0.7085342517788101,0.6725745984229821,0.6197382081098042,0.7197613496985726,12,12,187950,2000,2000,0,2000
Qcells,power-active,144,complete_H144_Daily_intersection,48,Expanded B,Daily,0.38253746124861404,0.36897517358527077,0.013562287663343275,-0.05149113785771919,0.09187826221071604,-0.036756640105513716,-0.3880335897921837,0.0999287617395902,12,12,187950,2000,2000,0,2000
Qcells,power-active,144,complete_H144_Daily_intersection,48,Expanded B,Inverted42,0.38253746124861404,1.2344414789660443,-0.8519040177174302,-1.017287656208566,-0.6843299497503451,0.6901129233205745,0.6413291660312722,0.736081513834719,12,12,187950,2000,2000,0,2000
Qcells,power-active,144,complete_H144_Daily_intersection,48,Expanded B,Inverted43,0.38253746124861404,1.2563347420548112,-0.8737972808061971,-1.0413659178327521,-0.7195923018123315,0.6955131077383476,0.638818424952893,0.7454617068932907,12,12,187950,2000,2000,0,2000
Qcells,power-active,144,complete_H144_Daily_intersection,48,Expanded B,Inverted44,0.38253746124861404,1.1740995085306072,-0.7915620472819931,-0.9410124345837592,-0.6550201419688766,0.674186507643324,0.6188375563050653,0.7262437449011259,12,12,187950,2000,2000,0,2000
Qcells,power-active,144,complete_H144_Daily_intersection,48,Expanded B,Inverted mean,0.38253746124861404,1.2216252431838208,-0.8390877819352068,-0.999719185990001,-0.6850683590145883,0.6866041795674155,0.6326044429443246,0.7356348280111782,12,12,187950,2000,2000,0,2000
Qcells,power-active,144,complete_H144_Daily_intersection,48,Expanded A,Original A,1.1683194382786224,1.1683194382786224,0.0,0.0,0.0,0.0,0.0,0.0,12,12,187950,2000,2000,0,2000
Qcells,power-active,144,complete_H144_Daily_intersection,48,Expanded B,Original B,0.38253746124861404,0.3508946553140599,0.03164280593455415,0.020807021643601358,0.0421628512341618,-0.09017750899121846,-0.15317211467270841,-0.05578225237500175,12,12,187950,2000,2000,0,2000
Qcells,power-active,144,complete_H144_Daily_intersection,72,Expanded B,Expanded A,0.38253746124861404,1.1683194382786224,-0.7857819770300083,-0.8492058222641156,-0.718043722672237,0.6725745984229821,0.6269716293614409,0.7228238044443941,8,8,187950,2000,2000,0,2000
Qcells,power-active,144,complete_H144_Daily_intersection,72,Expanded B,Daily,0.38253746124861404,0.36897517358527077,0.013562287663343275,-0.034728530422685804,0.07235400777735146,-0.036756640105513716,-0.2916248075128087,0.06836197403416733,8,8,187950,2000,2000,0,2000
Qcells,power-active,144,complete_H144_Daily_intersection,72,Expanded B,Inverted42,0.38253746124861404,1.2344414789660443,-0.8519040177174302,-0.9758326410994171,-0.7267443717435077,0.6901129233205745,0.6639724494597374,0.7265197597454169,8,8,187950,2000,2000,0,2000
Qcells,power-active,144,complete_H144_Daily_intersection,72,Expanded B,Inverted43,0.38253746124861404,1.2563347420548112,-0.8737972808061971,-0.961576764017291,-0.7759154140825696,0.6955131077383476,0.6570031639120939,0.7407243020456225,8,8,187950,2000,2000,0,2000
Qcells,power-active,144,complete_H144_Daily_intersection,72,Expanded B,Inverted44,0.38253746124861404,1.1740995085306072,-0.7915620472819931,-0.8858585341348402,-0.6851956997421554,0.674186507643324,0.6367812756766257,0.7214345298642443,8,8,187950,2000,2000,0,2000
Qcells,power-active,144,complete_H144_Daily_intersection,72,Expanded B,Inverted mean,0.38253746124861404,1.2216252431838208,-0.8390877819352068,-0.9404981478296551,-0.7321976941121201,0.6866041795674155,0.6527995397153207,0.7292440821262403,8,8,187950,2000,2000,0,2000
Qcells,power-active,144,complete_H144_Daily_intersection,72,Expanded A,Original A,1.1683194382786224,1.1683194382786224,0.0,0.0,0.0,0.0,0.0,0.0,8,8,187950,2000,2000,0,2000
Qcells,power-active,144,complete_H144_Daily_intersection,72,Expanded B,Original B,0.38253746124861404,0.3508946553140599,0.03164280593455415,0.023565028460698023,0.04323723462462129,-0.09017750899121846,-0.15843307368732168,-0.056333919807523676,8,8,187950,2000,2000,0,2000
Qcells,low-power,144,complete_H144_Daily_intersection,24,Expanded B,Expanded A,0.07908133392503841,0.43958566450470027,-0.36050433057966186,-0.41477961552879095,-0.30790768865707424,0.8201002891799425,0.8007258871726507,0.834817972570459,24,24,243200,2000,2000,0,2000
Qcells,low-power,144,complete_H144_Daily_intersection,24,Expanded B,Daily,0.07908133392503841,0.0009857795428000584,0.07809555438223835,0.07372645919075617,0.0833330281086513,-79.22212928096658,-93.69542414505514,-67.7541080531237,24,24,243200,2000,2000,0,2000
Qcells,low-power,144,complete_H144_Daily_intersection,24,Expanded B,Inverted42,0.07908133392503841,0.3043859013538078,-0.22530456742876936,-0.2630560736693029,-0.18965064400971496,0.7401938342961655,0.7047533746997963,0.7694315484394704,24,24,243200,2000,2000,0,2000
Qcells,low-power,144,complete_H144_Daily_intersection,24,Expanded B,Inverted43,0.07908133392503841,0.342998921699656,-0.2639175877746176,-0.2977803237724383,-0.23204920411126934,0.76944145033119,0.7469326831051727,0.7897694434276286,24,24,243200,2000,2000,0,2000
Qcells,low-power,144,complete_H144_Daily_intersection,24,Expanded B,Inverted44,0.07908133392503841,0.33831319642644925,-0.25923186250141084,-0.3018553811568039,-0.21719400279040244,0.7662481547856764,0.7370283049197809,0.7894531869989534,24,24,243200,2000,2000,0,2000
Qcells,low-power,144,complete_H144_Daily_intersection,24,Expanded B,Inverted mean,0.07908133392503841,0.3285660064933043,-0.24948467256826592,-0.2859289890279128,-0.21569172789925786,0.7586278131376774,0.7318730718865237,0.7815857517891642,24,24,243200,2000,2000,0,2000
Qcells,low-power,144,complete_H144_Daily_intersection,24,Expanded A,Original A,0.43958566450470027,0.43958566450470027,0.0,0.0,0.0,0.0,0.0,0.0,24,24,243200,2000,2000,0,2000
Qcells,low-power,144,complete_H144_Daily_intersection,24,Expanded B,Original B,0.07908133392503841,0.06340140681478929,0.015679927110249126,0.009865542445049303,0.021554637838840724,-0.24731197457580012,-0.38565917543558276,-0.14040539252646797,24,24,243200,2000,2000,0,2000
Qcells,low-power,144,complete_H144_Daily_intersection,48,Expanded B,Expanded A,0.07908133392503842,0.43958566450470027,-0.36050433057966186,-0.43112507044841736,-0.2929977711758409,0.8201002891799425,0.7933203077150367,0.8371392567292764,12,12,243200,2000,2000,0,2000
Qcells,low-power,144,complete_H144_Daily_intersection,48,Expanded B,Daily,0.07908133392503842,0.0009857795428000582,0.07809555438223836,0.07420770958172357,0.08376917238737723,-79.22212928096661,-91.8571547581486,-69.12386893840761,12,12,243200,2000,2000,0,2000
Qcells,low-power,144,complete_H144_Daily_intersection,48,Expanded B,Inverted42,0.07908133392503842,0.3043859013538077,-0.2253045674287693,-0.27577163025194223,-0.18030301369371965,0.7401938342961654,0.6959926724920443,0.7772689737998979,12,12,243200,2000,2000,0,2000
Qcells,low-power,144,complete_H144_Daily_intersection,48,Expanded B,Inverted43,0.07908133392503842,0.34299892169965596,-0.26391758777461755,-0.30902212225044784,-0.22342924813727552,0.7694414503311899,0.7438148483105245,0.7923425033763359,12,12,243200,2000,2000,0,2000
Qcells,low-power,144,complete_H144_Daily_intersection,48,Expanded B,Inverted44,0.07908133392503842,0.33831319642644925,-0.25923186250141084,-0.31539520533507465,-0.20194380629812508,0.7662481547856764,0.7259376814119433,0.7940689651446183,12,12,243200,2000,2000,0,2000
Qcells,low-power,144,complete_H144_Daily_intersection,48,Expanded B,Inverted mean,0.07908133392503842,0.3285660064933043,-0.2494846725682659,-0.2968405643490129,-0.20437456474088328,0.7586278131376772,0.7247692176612901,0.7868155601306603,12,12,243200,2000,2000,0,2000
Qcells,low-power,144,complete_H144_Daily_intersection,48,Expanded A,Original A,0.43958566450470027,0.43958566450470027,0.0,0.0,0.0,0.0,0.0,0.0,12,12,243200,2000,2000,0,2000
Qcells,low-power,144,complete_H144_Daily_intersection,48,Expanded B,Original B,0.07908133392503842,0.06340140681478929,0.01567992711024914,0.010350798352539227,0.02135927837229941,-0.24731197457580034,-0.38344134344519787,-0.1425758290186364,12,12,243200,2000,2000,0,2000
Qcells,low-power,144,complete_H144_Daily_intersection,72,Expanded B,Expanded A,0.07908133392503842,0.43958566450470027,-0.36050433057966186,-0.44104807831487275,-0.28120523284863896,0.8201002891799425,0.7882088044470493,0.8402628100785373,8,8,243200,2000,2000,0,2000
Qcells,low-power,144,complete_H144_Daily_intersection,72,Expanded B,Daily,0.07908133392503842,0.0009857795428000577,0.07809555438223836,0.07372684002060288,0.08417110522829646,-79.22212928096664,-89.24610153039046,-72.42670015100414,8,8,243200,2000,2000,0,2000
Qcells,low-power,144,complete_H144_Daily_intersection,72,Expanded B,Inverted42,0.07908133392503842,0.3043859013538077,-0.2253045674287693,-0.26501006123414883,-0.1814688730932893,0.7401938342961654,0.7013089911488519,0.7707734305197321,8,8,243200,2000,2000,0,2000
Qcells,low-power,144,complete_H144_Daily_intersection,72,Expanded B,Inverted43,0.07908133392503842,0.34299892169965596,-0.26391758777461755,-0.3052739060482747,-0.22549104279357587,0.7694414503311899,0.7475612794678457,0.7842841606090355,8,8,243200,2000,2000,0,2000
