site,horizon,method,scope,points,full_points,weighted_model_MSE,weighted_daily_MSE,delta_MSE
YULARA_COMBINED,144,Inverted43,low-power,2125723,3772226,40.84885467409427,0.2551688738045272,40.59368580028974
YULARA_COMBINED,144,Inverted44,power-active,1646503,3772226,155.6615963912871,91.1327580295468,64.52883836174028
YULARA_COMBINED,144,Inverted44,low-power,2125723,3772226,48.457088572708166,0.2551688738045272,48.20191969890364
YULARA_COMBINED,144,Original B,power-active,1646503,3772226,61.601554250762455,91.1327580295468,-29.53120377878435
YULARA_COMBINED,144,Original B,low-power,2125723,3772226,2.699720560848234,0.2551688738045272,2.444551687043707
YULARA_COMBINED,144,Expanded B,power-active,1646503,3772226,92.13952617767688,91.1327580295468,1.0067681481300745
YULARA_COMBINED,144,Expanded B,low-power,2125723,3772226,25.25897109000008,0.2551688738045272,25.003802216195552
NIST_GROUND,12,Inverted42,power-active,146476,292202,530.0404955681522,2594.770784641472,-2064.7302890733195
NIST_GROUND,12,Inverted42,low-power,145726,292202,42.12279004499762,28.045825929889876,14.076964115107744
NIST_GROUND,12,Inverted43,power-active,146476,292202,522.9505335826643,2594.770784641472,-2071.8202510588076
NIST_GROUND,12,Inverted43,low-power,145726,292202,42.68992368858302,28.045825929889876,14.644097758693144
NIST_GROUND,12,Inverted44,power-active,146476,292202,530.75247665866,2594.770784641472,-2064.0183079828116
NIST_GROUND,12,Inverted44,low-power,145726,292202,37.68129630368931,28.045825929889876,9.635470373799436
NIST_GROUND,12,Original B,power-active,146476,292202,523.4853885772474,2594.770784641472,-2071.2853960642246
NIST_GROUND,12,Original B,low-power,145726,292202,49.43864547623685,28.045825929889876,21.392819546346974
NIST_GROUND,12,Expanded B,power-active,146476,292202,523.4853885772474,2594.770784641472,-2071.2853960642246
NIST_GROUND,12,Expanded B,low-power,145726,292202,49.43864547623685,28.045825929889876,21.392819546346974
NIST_GROUND,48,Inverted42,power-active,585563,1168305,893.022691563211,2591.0734102108645,-1698.0507186476536
NIST_GROUND,48,Inverted42,low-power,582742,1168305,106.69009773475119,29.420359869351962,77.26973786539922
NIST_GROUND,48,Inverted43,power-active,585563,1168305,922.4867859927514,2591.0734102108645,-1668.5866242181132
NIST_GROUND,48,Inverted43,low-power,582742,1168305,93.60446606025577,29.420359869351962,64.18410619090382
NIST_GROUND,48,Inverted44,power-active,585563,1168305,919.1919168920167,2591.0734102108645,-1671.8814933188478
NIST_GROUND,48,Inverted44,low-power,582742,1168305,83.0808463717063,29.420359869351962,53.66048650235433
NIST_GROUND,48,Original B,power-active,585563,1168305,1018.4355904102397,2591.0734102108645,-1572.6378198006248
NIST_GROUND,48,Original B,low-power,582742,1168305,107.19790329989104,29.420359869351962,77.77754343053908
NIST_GROUND,48,Expanded B,power-active,585563,1168305,1018.4355904102397,2591.0734102108645,-1572.6378198006248
NIST_GROUND,48,Expanded B,low-power,582742,1168305,107.19790329989104,29.420359869351962,77.77754343053908
NIST_GROUND,96,Inverted42,power-active,1170061,2335738,1176.9600128117427,2583.89954812698,-1406.9395353152374
NIST_GROUND,96,Inverted42,low-power,1165677,2335738,154.13305416089005,29.479610833200898,124.65344332768915
NIST_GROUND,96,Inverted43,power-active,1170061,2335738,1213.656428650788,2583.89954812698,-1370.243119476192
NIST_GROUND,96,Inverted43,low-power,1165677,2335738,130.84765318570442,29.479610833200898,101.36804235250351
NIST_GROUND,96,Inverted44,power-active,1170061,2335738,1206.4187896012118,2583.89954812698,-1377.4807585257684
NIST_GROUND,96,Inverted44,low-power,1165677,2335738,131.90140237793995,29.479610833200898,102.42179154473905
NIST_GROUND,96,Original B,power-active,1170061,2335738,1388.3690750397873,2583.89954812698,-1195.5304730871928
NIST_GROUND,96,Original B,low-power,1165677,2335738,126.0312419548369,29.479610833200898,96.551631121636
NIST_GROUND,96,Expanded B,power-active,1170061,2335738,1388.3690750397873,2583.89954812698,-1195.5304730871928
NIST_GROUND,96,Expanded B,low-power,1165677,2335738,126.0312419548369,29.479610833200898,96.551631121636
NIST_GROUND,144,Inverted42,power-active,1753131,3502466,1282.415190031625,2574.4572611212907,-1292.042071089666
