block,count,Original A_SSE,Original B_SSE,Expanded A_SSE,Expanded B_SSE,Daily_SSE,Last-value_SSE,Inverted42_SSE,Joint-patch Transformer42_SSE,Joint-patch Transformer43_SSE,Joint-patch Transformer44_SSE,site,period,support,horizon,scope,block_hours
2,9639.0,6910.061059038762,308.4876289621768,6910.061059038762,308.4876289621768,10.457787047330529,67427.85655166027,5267.92088200474,5704.388048470795,3827.6672224217905,3734.943465622841,Sanyo,Alice2018Test,S1_new_origins,144,power-active,48
3,19152.0,18831.93804873144,840.0415400057275,18831.93804873144,840.0415400057275,102.70606785813749,124150.11611245798,13420.247027289757,14096.61195546852,9575.006092653883,10252.350496419376,Sanyo,Alice2018Test,S1_new_origins,144,power-active,48
4,19026.0,28840.44852435141,818.6593779941569,28840.44852435141,818.6593779941569,83.47625602089786,117787.37347501666,17383.39378546757,19340.759135315067,14581.197876734897,12856.709648088365,Sanyo,Alice2018Test,S1_new_origins,144,power-active,48
5,9525.0,11737.15135571694,462.5485508787725,11737.15135571694,462.5485508787725,21.20647432289317,61302.533375514395,9000.002744772157,10357.630456627005,7046.8349903655535,6948.227528942971,Sanyo,Alice2018Test,S1_new_origins,144,power-active,48
6,18923.0,15481.609430113986,891.0508724602848,15481.609430113986,891.0508724602848,99.11766516254319,127800.36238014404,11336.105319680275,10288.044719585052,7649.641565856978,6900.679639052518,Sanyo,Alice2018Test,S1_new_origins,144,power-active,48
7,9525.0,9981.890707038534,606.4060878693225,9981.890707038534,606.4060878693225,81.9579907636879,62966.160998096915,11099.274604808146,7368.541774997049,6023.211213863897,4811.342961773222,Sanyo,Alice2018Test,S1_new_origins,144,power-active,48
8,9536.0,13829.73320403295,510.7229932514503,13829.73320403295,510.7229932514503,39.161700420703504,64059.17106325517,9330.891111758134,9392.510164176898,6106.638013313282,6499.006029701024,Sanyo,Alice2018Test,S1_new_origins,144,power-active,48
9,19350.0,15456.087561358778,828.6232239649197,15456.087561358778,828.6232239649197,88.202480236278,129416.47851146972,11430.783645114481,13015.798350684328,9008.516940216525,8749.67760715607,Sanyo,Alice2018Test,S1_new_origins,144,power-active,48
10,19221.0,40006.60168740474,1377.247775578117,40006.60168740474,1377.247775578117,14.687991404437623,123105.92074126372,26076.891663329432,35073.372984220456,26097.803709696534,21621.88552130273,Sanyo,Alice2018Test,S1_new_origins,144,power-active,48
11,19102.0,53020.728039798334,11122.633493265737,53020.728039798334,11122.633493265737,20215.1392934652,132363.06542805524,36193.56684281068,44605.76310698001,32963.12895185834,29668.76520311325,Sanyo,Alice2018Test,S1_new_origins,144,power-active,48
0,19250.0,16183.71751835098,488.01501440536407,16183.71751835098,488.01501440536407,35.74339945974176,125104.88759796729,10455.927897410289,11512.011139406935,8465.003797125059,8730.612405895045,Sanyo,Alice2018Test,S1_new_origins,144,power-active,72
1,9639.0,6910.061059038762,308.4876289621768,6910.061059038762,308.4876289621768,10.457787047330529,67427.85655166027,5267.92088200474,5704.388048470795,3827.6672224217905,3734.943465622841,Sanyo,Alice2018Test,S1_new_origins,144,power-active,72
2,28665.0,32448.81882427317,1214.4058873621243,32448.81882427317,1214.4058873621243,145.1676308338393,182127.30803796015,19943.75263282003,21362.82282868712,14991.686809273351,15029.105398769492,Sanyo,Alice2018Test,S1_new_origins,144,power-active,72
3,19038.0,26960.71910452659,906.8435815165353,26960.71910452659,906.8435815165353,62.221167368089226,121112.71492502888,19859.890924709485,22432.17871872345,16211.352150480978,15028.182274681203,Sanyo,Alice2018Test,S1_new_origins,144,power-active,72
4,28448.0,25463.500137152518,1497.4569603296075,25463.500137152518,1497.4569603296075,181.07565592623118,190766.52337824105,22435.379924488436,17656.5864945821,13672.852779720877,11712.02260082574,Sanyo,Alice2018Test,S1_new_origins,144,power-active,72
5,9536.0,13829.73320403295,510.7229932514503,13829.73320403295,510.7229932514503,39.161700420703504,64059.17106325517,9330.891111758134,9392.510164176898,6106.638013313282,6499.006029701024,Sanyo,Alice2018Test,S1_new_origins,144,power-active,72
6,29025.0,33485.95500590754,1504.5255240837846,33485.95500590754,1504.5255240837846,94.94680237936359,192010.73454282025,21613.065692923654,26549.1233381196,19939.560499315627,16497.983306166054,Sanyo,Alice2018Test,S1_new_origins,144,power-active,72
7,28648.0,74997.46228265432,11823.97896872499,74997.46228265432,11823.97896872499,20223.08296272655,192874.73013796864,52088.17645833095,66145.81110376533,48129.889102455796,43542.345025406015,Sanyo,Alice2018Test,S1_new_origins,144,power-active,72
0,10967.0,3596.330044662449,152.52416638665517,3596.330044662449,152.52416638665517,0.0007355342028064542,149878.0841440505,899.6655948030926,832.4006547879943,781.3024948835066,699.4383525025931,Sanyo,Alice2018Test,S1_new_origins,144,low-power,24
1,10824.0,4558.117135490109,124.47208716930538,4558.117135490109,124.47208716930538,0.00999441120531319,146736.2022576525,932.6024131816448,997.6386767530198,806.5079764997764,771.8592064273683,Sanyo,Alice2018Test,S1_new_origins,144,low-power,24
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sanyo,Alice2018Test,S1_new_origins,144,low-power,24
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sanyo,Alice2018Test,S1_new_origins,144,low-power,24
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sanyo,Alice2018Test,S1_new_origins,144,low-power,24
5,10810.0,3405.4614163279493,249.04493859499877,3405.4614163279493,249.04493859499877,0.006281041921850361,157290.61087796898,683.104326094948,645.2873624645139,637.6975520718178,639.674420354684,Sanyo,Alice2018Test,S1_new_origins,144,low-power,24
6,10810.0,5502.310361332023,144.2232992368052,5502.310361332023,144.2232992368052,0.0038056119874060887,151130.6402342199,952.8873474036109,719.8787961916757,693.109229506643,718.4791814046488,Sanyo,Alice2018Test,S1_new_origins,144,low-power,24
7,10936.0,4797.18669204186,157.37260945478698,4797.18669204186,157.37260945478698,0.004758849503081466,147602.06826022573,1568.2854364709624,1595.0602875433597,1197.5532958754773,1163.456258316806,Sanyo,Alice2018Test,S1_new_origins,144,low-power,24
8,11079.0,6723.678150670369,181.1410012427962,6723.678150670369,181.1410012427962,0.007440399433020747,145074.49323333488,1977.30381279912,1243.511073487936,1016.9744147368392,792.0215057859878,Sanyo,Alice2018Test,S1_new_origins,144,low-power,24
9,11079.0,6683.384377686417,108.20168026719166,6683.384377686417,108.20168026719166,0.01824510682860894,149391.58113118602,3519.2660543603783,2879.4034797006157,2249.435032072506,1857.1203686964104,Sanyo,Alice2018Test,S1_new_origins,144,low-power,24
10,11067.0,4237.721119130325,149.27383095168034,4237.721119130325,149.27383095168034,0.0013014101092208535,151724.78496532375,3255.1536379892564,2114.9495926306527,1601.2593829930895,1462.1327663837042,Sanyo,Alice2018Test,S1_new_origins,144,low-power,24
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sanyo,Alice2018Test,S1_new_origins,144,low-power,24
12,11056.0,3812.9040033153133,312.3779330161831,3812.9040033153133,312.3779330161831,0.03886217131409577,166129.6343161925,980.9523387914828,710.3901790642104,715.0088741084007,627.2415751077906,Sanyo,Alice2018Test,S1_new_origins,144,low-power,24
13,11205.0,2960.069020965152,244.29397222395687,2960.069020965152,244.29397222395687,0.14017706174155678,163660.49553387138,1618.358880232192,782.1962420722015,894.0145694244559,694.7696695087251,Sanyo,Alice2018Test,S1_new_origins,144,low-power,24
