site,period,support,horizon,scope,method,status,RMSE,MAE,bias,SSE,points
Qcells,Alice2018Test,S1,12,full,Daily,accepted,0.2751877164353881,0.06768068926873803,-0.005272071650138564,6110.666311413515,80692
Qcells,Alice2018Test,S1,12,full,Last-value,accepted,0.47100027039045544,0.24549164563041145,-0.0036950924347125,17900.814524888425,80692
Qcells,Alice2018Test,S1,12,full,Depthwise convolutional TCN42,diagnostic,0.528423136691269,0.34436024887368166,-0.1662186401931274,22531.708771133486,80692
Qcells,Alice2018Test,S1,12,full,Depthwise convolutional TCN43,diagnostic,0.3126009334923966,0.1934761522413988,-0.07595531382231359,7885.169275410681,80692
Qcells,Alice2018Test,S1,12,full,Depthwise convolutional TCN44,diagnostic,0.41379459000994456,0.23327638402929088,0.01868430185035836,13816.565383923124,80692
Qcells,Alice2018Test,S1,12,full,Discrete recurrent decoder42,diagnostic,0.43565682782387966,0.26279963772426856,-0.12875755669911265,15315.0891655329,80692
Qcells,Alice2018Test,S1,12,full,Discrete recurrent decoder43,diagnostic,0.7266243016011763,0.4393764762176731,-0.2757238049458372,42603.99420416053,80692
Qcells,Alice2018Test,S1,12,full,Discrete recurrent decoder44,diagnostic,1.562498298419951,0.9020337029979806,-0.7849567632421204,197001.5240505545,80692
Qcells,Alice2018Test,S1,12,full,Inverted42,accepted,0.30362852295648735,0.1783063503462817,-0.008674003690164153,7439.018069946348,80692
Qcells,Alice2018Test,S1,12,full,Inverted43,accepted,0.35161126249306923,0.23664507765843798,-0.07548633024242672,9975.990685056686,80692
Qcells,Alice2018Test,S1,12,full,Inverted44,accepted,0.33170809818379227,0.20840812503889136,-0.046542847600112125,8878.56193363796,80692
Qcells,Alice2018Test,S1,12,full,Joint-patch Transformer42,accepted,0.54731002652215,0.4043913469531748,-0.008365452668002949,24171.14861000524,80692
Qcells,Alice2018Test,S1,12,full,Joint-patch Transformer43,accepted,0.5884443975122425,0.3996227715558089,-0.11141484417144296,27940.961348886463,80692
Qcells,Alice2018Test,S1,12,full,Joint-patch Transformer44,accepted,0.5044067408709139,0.3440733289456793,-0.16968382841316246,20530.155721764702,80692
Qcells,Alice2018Test,S1,12,power-active,Original A,accepted,0.572608206551131,0.3598823458036301,0.2205214753272708,12319.76906457137,37574
Qcells,Alice2018Test,S1,12,power-active,Original B,accepted,0.37854676756516575,0.24211150818669774,0.20178805577269057,5384.266097763654,37574
