site,period,support,horizon,scope,method,status,RMSE,MAE,bias,SSE,points
Sanyo,Alice2018Test,S1,12,full,Original B,accepted,0.13854326779492418,0.0819128586815405,0.011808856938080536,1561.2016590412688,81337
Sanyo,Alice2018Test,S1,12,full,Expanded A,accepted,0.2100543521073131,0.11940339031954966,0.007225565759114161,3588.8186919698865,81337
Sanyo,Alice2018Test,S1,12,full,Expanded B,accepted,0.13854326779492418,0.0819128586815405,0.011808856938080536,1561.2016590412688,81337
Sanyo,Alice2018Test,S1,12,full,Daily,accepted,0.17287658864435052,0.04310520235706638,-0.004365550638542547,2430.863195127687,81337
Sanyo,Alice2018Test,S1,12,full,Last-value,accepted,0.4644844228457247,0.2457242280188989,-0.0019595927946102717,17548.11443191776,81337
Sanyo,Alice2018Test,S1,12,full,Depthwise convolutional TCN42,diagnostic,0.23412290764051052,0.17364594512321477,-0.06701677151789284,4458.368568038059,81337
Sanyo,Alice2018Test,S1,12,full,Depthwise convolutional TCN43,diagnostic,0.1754135256923766,0.11471885036946156,0.03895185134040278,2502.7317626458293,81337
Sanyo,Alice2018Test,S1,12,full,Depthwise convolutional TCN44,diagnostic,0.2558913433719326,0.20117015200993815,0.16617455172895143,5325.9776365575535,81337
Sanyo,Alice2018Test,S1,12,full,Discrete recurrent decoder42,diagnostic,0.20484659369706615,0.13415355207502885,-0.013553385892684277,3413.073519674474,81337
Sanyo,Alice2018Test,S1,12,full,Discrete recurrent decoder43,diagnostic,0.20956401955942858,0.1199977639406083,0.02601853836163098,3572.0833971913157,81337
Sanyo,Alice2018Test,S1,12,full,Discrete recurrent decoder44,diagnostic,0.2011464785562659,0.12089518890259704,-0.01674279083502215,3290.8873609490865,81337
Sanyo,Alice2018Test,S1,12,full,Inverted42,accepted,0.2687315590247271,0.20879812583178592,0.06638242671027052,5873.885727409637,81337
Sanyo,Alice2018Test,S1,12,full,Inverted43,diagnostic,0.2808693152495491,0.21262363881524887,0.08804170467226366,6416.478463996627,81337
Sanyo,Alice2018Test,S1,12,full,Inverted44,diagnostic,0.23066867861064705,0.161978663279267,0.0014018838752557095,4327.782291891938,81337
Sanyo,Alice2018Test,S1,12,full,Joint-patch Transformer42,accepted,0.30124894646371975,0.21827677832541595,0.06201366455937407,7381.408210035822,81337
Sanyo,Alice2018Test,S1,12,full,Joint-patch Transformer43,accepted,0.2513959456608139,0.17674945663695762,0.08340349854648652,5140.492014613998,81337
Sanyo,Alice2018Test,S1,12,full,Joint-patch Transformer44,accepted,0.2247408989460132,0.1654018700446237,0.05763031208502747,4108.207559333136,81337
Sanyo,Alice2018Test,S1,12,power-active,Original A,accepted,0.28530776978893535,0.18762948744576574,-0.005885448289654047,2980.2359664528854,36612
Sanyo,Alice2018Test,S1,12,power-active,Original B,accepted,0.1848008442056486,0.12664995606742538,0.015441586474100585,1250.3493001240365,36612
Sanyo,Alice2018Test,S1,12,power-active,Expanded A,accepted,0.28530776978893535,0.18762948744576574,-0.005885448289654047,2980.2359664528854,36612
Sanyo,Alice2018Test,S1,12,power-active,Expanded B,accepted,0.1848008442056486,0.12664995606742538,0.015441586474100585,1250.3493001240365,36612
Sanyo,Alice2018Test,S1,12,power-active,Daily,accepted,0.25765821806134476,0.09549911081673915,-0.009696776813047992,2430.588571532452,36612
Sanyo,Alice2018Test,S1,12,power-active,Last-value,accepted,0.6660350890908577,0.512080669493685,-0.03800430082157743,16241.183513228567,36612
Sanyo,Alice2018Test,S1,12,power-active,Depthwise convolutional TCN42,diagnostic,0.3106104566375135,0.258525799618949,-0.22522728277410092,3532.283867545138,36612
Sanyo,Alice2018Test,S1,12,power-active,Depthwise convolutional TCN43,diagnostic,0.24032891049579186,0.1745968172848074,0.06357960664734855,2114.635354878094,36612
Sanyo,Alice2018Test,S1,12,power-active,Depthwise convolutional TCN44,diagnostic,0.32300465252684823,0.2595349752763301,0.18832575235917545,3819.8033873426807,36612
Sanyo,Alice2018Test,S1,12,power-active,Discrete recurrent decoder42,diagnostic,0.29507143545372144,0.22576203729530547,-0.09432436380574995,3187.7025697825898,36612
Sanyo,Alice2018Test,S1,12,power-active,Discrete recurrent decoder43,diagnostic,0.30557363930562,0.21572545886080693,0.04307538164813677,3418.6546177968717,36612
Sanyo,Alice2018Test,S1,12,power-active,Discrete recurrent decoder44,diagnostic,0.2902195636775131,0.20204974611361928,-0.06269564878221358,3083.733390908373,36612
Sanyo,Alice2018Test,S1,12,power-active,Inverted42,accepted,0.319766239401752,0.24820279203578388,-0.06115509323630914,3743.5933970920046,36612
Sanyo,Alice2018Test,S1,12,power-active,Inverted43,diagnostic,0.3297153538201192,0.2591479043069188,0.03419786225979859,3980.171598911522,36612
Sanyo,Alice2018Test,S1,12,power-active,Inverted44,diagnostic,0.31068498099372305,0.24888291404145663,-0.02639027080598372,3533.9790632805443,36612
Sanyo,Alice2018Test,S1,12,power-active,Joint-patch Transformer42,accepted,0.3849508593302833,0.30459685592587704,0.09285833739178682,5425.428451997112,36612
Sanyo,Alice2018Test,S1,12,power-active,Joint-patch Transformer43,accepted,0.3251915118380217,0.2537059991779091,0.11015387882421644,3871.701403229292,36612
Sanyo,Alice2018Test,S1,12,power-active,Joint-patch Transformer44,accepted,0.2810195672646015,0.21341289747306957,0.06949492785330753,2891.322760958597,36612
Sanyo,Alice2018Test,S1,12,low-power,Original A,accepted,0.11664997117254529,0.06355333178438981,0.017958275571378027,608.5827255170013,44725
Sanyo,Alice2018Test,S1,12,low-power,Original B,accepted,0.08336848493208357,0.04529095573034952,0.008835095199170173,310.8523589172325,44725
Sanyo,Alice2018Test,S1,12,low-power,Expanded A,accepted,0.11664997117254529,0.06355333178438981,0.017958275571378027,608.5827255170013,44725
Sanyo,Alice2018Test,S1,12,low-power,Expanded B,accepted,0.08336848493208357,0.04529095573034952,0.008835095199170173,310.8523589172325,44725
Sanyo,Alice2018Test,S1,12,low-power,Daily,accepted,0.0024779569075468765,0.00021541417315270036,-1.3951840765154819e-06,0.2746235952348613,44725
Sanyo,Alice2018Test,S1,12,low-power,Last-value,accepted,0.17094292920782922,0.027684160153613968,0.02754669787690055,1306.930918689189,44725
Sanyo,Alice2018Test,S1,12,low-power,Depthwise convolutional TCN42,diagnostic,0.1438964832333629,0.10416307798407953,0.06249475979820085,926.0847004929215,44725
