site,period,support,horizon,scope,method,RMSE,RMSE_seed_SD,MAE,bias,SSE,points,seed_count
Hanwha,Alice2018Test,S1,144,full,Last-value,2.7060954615328185,,1.9641296572615807,0.0054421168084451,7077392.075819064,966467,0
Hanwha,Alice2018Test,S1,144,full,Inverted mean,0.7694267679183008,0.02031977262234189,0.4884702818899001,-0.2898014860155335,572431.4583872476,966467,3
Hanwha,Alice2018Test,S1,144,low-power,Original A,0.5442876994621826,,0.3695086425591903,0.1344752291480623,157263.242123111,530848,0
Hanwha,Alice2018Test,S1,144,low-power,Original B,0.1235667814506538,,0.0940191126437211,-0.0018591449066479,8105.3851229364445,530848,0
Hanwha,Alice2018Test,S1,144,low-power,Expanded A,0.5442876994621826,,0.3695086425591903,0.1344752291480623,157263.242123111,530848,0
Hanwha,Alice2018Test,S1,144,low-power,Expanded B,0.1235667814506538,,0.0940191126437211,-0.0018591449066479,8105.3851229364445,530848,0
Hanwha,Alice2018Test,S1,144,low-power,Daily,0.0014558231843196,,0.000210001995344,-9.04107295774078e-05,1.1250904754514832,530848,0
Hanwha,Alice2018Test,S1,144,low-power,Last-value,2.408335798434373,,1.4747628720710602,1.473468503152147,3078961.567508561,530848,0
Hanwha,Alice2018Test,S1,144,low-power,Inverted mean,0.36045569028508434,0.03074377480072549,0.23378445709971749,-0.0407006570833768,69306.67850326265,530848,3
Hanwha,Alice2018Test,S1,144,power-active,Original A,1.08962638755701,,0.8097752472442487,-0.5555760411572425,517204.1938666359,435619,0
Hanwha,Alice2018Test,S1,144,power-active,Original B,0.3136083161573155,,0.2386888489980989,-0.1810447840031037,42843.20530283775,435619,0
Hanwha,Alice2018Test,S1,144,power-active,Expanded A,1.08962638755701,,0.8097752472442487,-0.5555760411572425,517204.1938666359,435619,0
Hanwha,Alice2018Test,S1,144,power-active,Expanded B,0.3136083161573155,,0.2386888489980989,-0.1810447840031037,42843.20530283775,435619,0
Hanwha,Alice2018Test,S1,144,power-active,Daily,0.27372009951512,,0.108437117395354,-0.0106749758908007,32637.74854906858,435619,0
Hanwha,Alice2018Test,S1,144,power-active,Last-value,3.029642394799168,,2.5604750397743223,-1.7835038913725147,3998430.508310516,435619,0
Hanwha,Alice2018Test,S1,144,power-active,Inverted mean,1.0745725924877054,0.01970776535257057,0.7988319987071618,-0.5933572924357713,503124.7798839845,435619,3
Hanwha,Alice2018Test,S1_new_origins,12,full,Original A,0.1923419899519106,,0.154974051257392,-0.0319747473867072,72.03012381909272,1947,0
Hanwha,Alice2018Test,S1_new_origins,12,full,Original B,0.1550334722768982,,0.1264433574217845,0.0106546127326534,46.796880043573246,1947,0
Hanwha,Alice2018Test,S1_new_origins,12,full,Expanded A,0.1923419899519106,,0.154974051257392,-0.0319747473867072,72.03012381909272,1947,0
