block,count,Original A_SSE,Original B_SSE,Expanded A_SSE,Expanded B_SSE,Daily_SSE,Last-value_SSE,Inverted42_SSE,Inverted43_SSE,Inverted44_SSE,Joint-patch Transformer42_SSE,Joint-patch Transformer43_SSE,Joint-patch Transformer44_SSE,site,period,support,horizon,scope,block_hours
9,18288.0,22429.961999449897,1122.8179219212022,22429.961999449897,1122.8179219212022,150.3840037274719,160445.99288504088,25331.40995260287,25166.355334912347,26158.284123956546,23750.672409540508,19142.27024983357,18828.283777397297,Hanwha,Alice2018Test,Original,144,power-active,24
10,8695.0,12299.406657249609,638.4612127429336,12299.406657249609,638.4612127429336,53.63986050193713,111215.02921880405,15274.15577514609,15110.991669379306,16136.498962633475,15064.130035268545,13098.87914050871,11737.833553291937,Hanwha,Alice2018Test,Original,144,power-active,24
11,8772.0,10042.920334389879,1059.0653433250113,10042.920334389879,1059.0653433250113,288.2342371927769,122349.98685184703,8804.85373821178,10005.056330265606,9569.985523497717,8941.354912337489,6313.742303520159,7632.88528162252,Hanwha,Alice2018Test,Original,144,power-active,24
12,18576.0,15666.08219166371,819.158113810139,15666.08219166371,819.158113810139,82.3064825989712,184882.10383076468,14771.442518423659,14808.126511833445,15156.93622140056,12686.030826985176,7603.139401023049,8219.57101687597,Hanwha,Alice2018Test,Original,144,power-active,24
13,18576.0,15306.830319486342,984.9780810816254,15306.830319486342,984.9780810816254,345.16859342893196,173260.30241604077,13107.532921569169,16159.567321764202,14608.502476560652,14029.462497438019,10135.46463887578,9042.127287364481,Hanwha,Alice2018Test,Original,144,power-active,24
14,8828.0,9143.028084183947,1026.8336838922578,9143.028084183947,1026.8336838922578,66.69156114613932,114019.43096624226,18931.849742315473,14158.121725406203,12644.761167907625,10762.803829297503,5909.117914021595,9400.002123796727,Hanwha,Alice2018Test,Original,144,power-active,24
15,18664.0,33140.202184842085,2413.92490404719,33140.202184842085,2413.92490404719,290.58323696175387,175657.80644899895,24364.96637579411,31324.941565674595,39019.322436344984,37569.660814024886,28823.481115903945,31656.9653452453,Hanwha,Alice2018Test,Original,144,power-active,24
16,8828.0,11489.66967898061,923.0047305965027,11489.66967898061,923.0047305965027,95.38760889976882,119244.46227047393,6700.491178817065,10995.522366590065,10810.429050189923,8405.158793834802,6563.378906164611,6460.294924135602,Hanwha,Alice2018Test,Original,144,power-active,24
17,8905.0,10360.00785791703,480.2548332760358,10360.00785791703,480.2548332760358,17.489932989124203,120115.89328611606,12497.499371802152,12171.532585167473,11640.366717370638,11003.233933385385,7290.818309576916,9514.866905959025,Hanwha,Alice2018Test,Original,144,power-active,24
18,7309.0,8199.383997857112,279.22937259876505,8199.383997857112,279.22937259876505,18.709772297863875,108353.37630778425,5481.53699632605,7303.510077137152,7109.998730173776,6640.483978034179,2808.2921352077533,3710.0692381876406,Hanwha,Alice2018Test,Original,144,power-active,24
