block,count,Original A_SSE,Original B_SSE,Expanded A_SSE,Expanded B_SSE,Inverted42_SSE,Inverted43_SSE,Inverted44_SSE,Daily_SSE,Last-value_SSE,site,period,support,horizon,scope,block_hours
47,41328.0,10474906.465014793,757753.0556438493,29155257.414941132,3502602.993356606,5062383.658577042,4400240.501881981,4642438.904574662,502869.47485002317,77246322.87378892,YULARA_COMBINED,2018,complete_H144,144,full,24
48,41472.0,11181357.400577132,221770.4635210983,29532255.874340817,3021836.584462809,6247320.819853453,6232617.819848332,6567576.908839572,496977.98088356,78164744.08846572,YULARA_COMBINED,2018,complete_H144,144,full,24
49,41472.0,9336285.883276908,159092.34329309996,28228551.789893348,2668939.0919670323,4834712.79993097,4385347.239719761,4689841.328501332,50449.471017360665,74424826.30562527,YULARA_COMBINED,2018,complete_H144,144,full,24
50,41472.0,14976615.500893729,995215.7233723664,28579614.333435122,3267198.128287716,7023253.929513634,8138126.386534962,8552450.630510006,446855.6747847996,74230614.93097748,YULARA_COMBINED,2018,complete_H144,144,full,24
51,41472.0,17928489.7062105,6510600.536254658,19112168.830460552,6211296.009970234,7443477.150858359,8356139.708870549,9588925.754801955,8119631.742024529,35153645.12906942,YULARA_COMBINED,2018,complete_H144,144,full,24
52,41472.0,10421913.276156694,4136274.8722906467,27427793.44744423,7440956.230507585,6415623.030258637,6549374.619344895,7211951.333959668,6915380.1591211,69150749.83798197,YULARA_COMBINED,2018,complete_H144,144,full,24
53,41472.0,8160538.02238486,611531.534188808,27252321.315389447,3193526.066380115,4481227.350257153,3648117.6137320222,4025051.527012041,1033579.744358362,71485977.19644603,YULARA_COMBINED,2018,complete_H144,144,full,24
54,41472.0,9418075.28688447,591136.8991141499,25711810.834468838,2899364.6676345123,4560088.183315487,4318319.626957824,5091317.837077959,517819.1537289652,67523438.29738723,YULARA_COMBINED,2018,complete_H144,144,full,24
55,41472.0,17223012.79541111,4682823.173657759,21764543.83378583,5932573.849692601,10135037.977395663,11302220.246924348,13381372.597579883,5260878.144711157,47171943.96131562,YULARA_COMBINED,2018,complete_H144,144,full,24
56,41472.0,17192286.445414945,6370399.16607909,22686559.014319945,6936706.12130409,11270488.779372241,11475040.55175533,13425923.619536031,9320677.666652363,50493472.02477768,YULARA_COMBINED,2018,complete_H144,144,full,24
57,41472.0,9521651.21268776,2623930.8160555535,23629163.585538156,4633441.293645149,4717250.5354487905,5019950.429566223,6408260.892876484,4484947.0387031995,61968703.483646244,YULARA_COMBINED,2018,complete_H144,144,full,24
58,41472.0,8946274.975478765,251360.4203936179,25744835.155285876,3019752.945394937,4208605.142884324,3677356.2011639336,4603720.154139765,46697.179583498924,65886077.912598275,YULARA_COMBINED,2018,complete_H144,144,full,24
59,41472.0,11344579.157466752,913996.1565337989,27519074.652971428,3836705.1328265583,6869065.035087895,6833572.006124764,7612054.521596192,696602.1934396892,69126620.72284076,YULARA_COMBINED,2018,complete_H144,144,full,24
60,41472.0,15085860.0870305,2359931.9170565875,27241723.5264801,4759324.025954899,9978147.260194218,10178706.960058678,10721199.924446095,2745265.7462342996,65223790.18390285,YULARA_COMBINED,2018,complete_H144,144,full,24
61,41472.0,9463747.155336844,839189.1937186661,26892274.144681647,3321536.7245454406,5286367.48470621,4602661.625309387,4675554.959410673,2489361.301951402,70387479.93817851,YULARA_COMBINED,2018,complete_H144,144,full,24
62,41472.0,9381606.609271452,168921.17244188825,26379527.164048318,2719067.8551972634,4678869.856617066,4738164.262480154,5362105.333916189,6174.875135129804,69337392.61475454,YULARA_COMBINED,2018,complete_H144,144,full,24
63,41472.0,9991951.169433672,184855.74482058556,26549161.10131438,2810171.608917964,5660779.304684819,5598985.4635783415,5602341.026544307,5872.533186432573,69111987.74185507,YULARA_COMBINED,2018,complete_H144,144,full,24
64,41472.0,11025218.653464466,302279.0373299333,26577628.955707535,2915442.6013080375,4378516.350274481,4266906.193500418,4828247.571198834,98161.5566479141,69389873.75571057,YULARA_COMBINED,2018,complete_H144,144,full,24
65,41472.0,12580176.51941336,3341875.1077491613,24232866.857439756,4979503.01867752,5470375.390582718,5486305.044432253,6609532.148377418,3414267.8625721657,55597236.51510647,YULARA_COMBINED,2018,complete_H144,144,full,24
66,20592.0,12824058.063620169,1839907.0981218142,10557165.843851952,2594040.3126696926,5379886.277542311,6252089.762074502,7010813.520502325,2357464.7665039804,6887802.134349465,YULARA_COMBINED,2018,complete_H144,144,full,24
67,41328.0,18077443.732950866,5924779.765144059,22686623.59285132,7499159.962783254,10609796.771412697,12333224.92819987,13960387.202598546,10179201.467771595,49333168.1292353,YULARA_COMBINED,2018,complete_H144,144,full,24
68,41472.0,25063264.140482806,5412241.848788657,18799636.930918064,7235263.610509478,10670160.480688838,13034357.592780985,15078282.400619475,7279943.484635556,27730395.567171764,YULARA_COMBINED,2018,complete_H144,144,full,24
69,41472.0,27795298.88616121,2954127.549148739,16973379.200245395,5370311.189282446,11958767.696611125,13783326.824918736,16842354.79601576,5564234.149238851,21596229.34850972,YULARA_COMBINED,2018,complete_H144,144,full,24
70,41472.0,22939815.0195429,5029124.772934981,21092096.085221663,7853016.664457344,13791560.621795876,15120021.538570506,17465278.157725543,6625782.702466035,46531102.95612943,YULARA_COMBINED,2018,complete_H144,144,full,24
71,41472.0,17059018.793964483,3185431.364432385,20888995.380171213,5572591.729179777,12140122.157544663,13209276.019781902,15521185.971799916,6138543.728893784,41022941.13532067,YULARA_COMBINED,2018,complete_H144,144,full,24
72,41472.0,7524706.540708905,2440395.3471553186,25140397.52941557,5521544.015087264,3074143.8588033104,3585460.0057128025,4758511.496522307,5884813.5749949245,64632121.3323524,YULARA_COMBINED,2018,complete_H144,144,full,24
73,41472.0,9916237.023608502,554559.7807418744,25852267.527404632,2830131.333645249,4927772.871563169,4600042.203508053,4710247.34782445,9813.617684540906,65800772.20971996,YULARA_COMBINED,2018,complete_H144,144,full,24
74,41472.0,8286966.215269149,178832.1784917112,24965244.924991842,2631274.2673363625,3091325.856222836,2685980.7590875267,3392876.1104923435,14936.045051866757,63958116.982591204,YULARA_COMBINED,2018,complete_H144,144,full,24
75,41472.0,9016444.185877105,196335.60086218678,25298202.938452728,2824070.4647139986,4021569.2770295492,3839090.004167562,4419783.57541387,21104.479429151186,65117912.224983655,YULARA_COMBINED,2018,complete_H144,144,full,24
76,41472.0,10878061.29866705,1229873.91424785,23951425.171534583,3161925.2529140245,5971378.354286035,5485661.13452485,5875265.26963068,1069072.1285338541,60221274.814472675,YULARA_COMBINED,2018,complete_H144,144,full,24
77,41472.0,8764902.935703086,443097.5011889571,26448090.17926314,3489146.479385669,5127942.092205889,4671309.85982467,4988086.309708937,1117313.602318306,66987332.17019643,YULARA_COMBINED,2018,complete_H144,144,full,24
78,41472.0,9241990.063293641,342152.4572282029,27463596.225262847,3197878.2404341265,5204771.565411667,4533054.445017547,4821569.7122133225,149917.67131823086,70292138.20101301,YULARA_COMBINED,2018,complete_H144,144,full,24
