site,period,support,horizon,scope,block_hours,method,reference,rmse,reference_rmse,effect_kW,ci_low_kW,ci_high_kW,skill,skill_ci_low,skill_ci_high,blocks,nonempty_blocks,points,replicates,valid_replicates,zero_support_replicates,valid_skill_replicates
Qcells,Alice2018Test,S1,144,full,48,Expanded B,Last-value,0.29303002705954556,2.770479478647493,-2.4774494515879475,-2.567043698735065,-2.364814609560074,0.8942312948650324,0.8557928685091324,0.9224011535673479,12,12,958668,2000,2000,0,2000
Qcells,Alice2018Test,S1,144,full,48,Inverted42,Daily,1.0768328795569557,0.2748960407280023,0.8019368388289534,0.6396733092464628,0.9893643565285452,-2.917236773236888,-6.100234901874473,-1.7916580964249658,12,12,958668,2000,2000,0,2000
Qcells,Alice2018Test,S1,144,full,48,Inverted42,Last-value,1.0768328795569557,2.770479478647493,-1.6936465990905374,-1.9187618585347048,-1.4701162770605631,0.6113189475481516,0.5315992507998064,0.6935428934913698,12,12,958668,2000,2000,0,2000
Qcells,Alice2018Test,S1,144,full,48,Inverted43,Daily,1.097418010044189,0.2748960407280023,0.8225219693161867,0.6695442770222189,1.0043583394397246,-2.9921201016133825,-6.168447759323252,-1.826218015117491,12,12,958668,2000,2000,0,2000
Qcells,Alice2018Test,S1,144,full,48,Inverted43,Last-value,1.097418010044189,2.770479478647493,-1.673061468603304,-1.889865041844107,-1.4562891739739956,0.6038887786384427,0.5254477313423627,0.6825196996324546,12,12,958668,2000,2000,0,2000
Qcells,Alice2018Test,S1,144,full,48,Inverted44,Daily,1.064753242196758,0.2748960407280023,0.7898572014687557,0.6488389688899346,0.9622734397690164,-2.8732942074283465,-5.8844938153838235,-1.764501764756867,12,12,958668,2000,2000,0,2000
Qcells,Alice2018Test,S1,144,full,48,Inverted44,Last-value,1.064753242196758,2.770479478647493,-1.705726236450735,-1.915180447865586,-1.4944291437308856,0.6156790727370576,0.5400842842648126,0.6916559935183917,12,12,958668,2000,2000,0,2000
Qcells,Alice2018Test,S1,144,full,48,Inverted mean,Daily,1.0796680439326343,0.2748960407280023,0.8047720032046319,0.653992658936269,0.9857373035540862,-2.9275503607595392,-6.0485209759762295,-1.7927898019718251,12,12,958668,2000,2000,0,2000
Qcells,Alice2018Test,S1,144,full,48,Inverted mean,Last-value,1.0796680439326343,2.770479478647493,-1.6908114347148588,-1.9060948073818016,-1.4724369141092537,0.6102955996412173,0.5316103076502953,0.688838207087376,12,12,958668,2000,2000,0,2000
Qcells,Alice2018Test,S1,144,full,48,Inverted mean,Original B,1.0796680439326343,0.297615498155268,0.7820525457773663,0.616583490281408,0.9498598450332126,-2.627727892615875,-4.074871058787803,-1.776138537585312,12,12,958668,2000,2000,0,2000
Qcells,Alice2018Test,S1,144,full,48,Inverted mean,Expanded B,1.0796680439326343,0.29303002705954556,0.7866380168730887,0.619631684963026,0.9502800935413427,-2.684496277622903,-3.856442593623541,-1.9297879035854673,12,12,958668,2000,2000,0,2000
Qcells,Alice2018Test,S1,144,full,48,Expanded B,Original B,0.29303002705954556,0.297615498155268,-0.004585471095722438,-0.021729480603547256,0.013876126108301638,0.01540736663293718,-0.06433413913006013,0.052485304259106004,12,12,958668,2000,2000,0,2000
