block,count,Original A_SSE,Original B_SSE,Expanded A_SSE,Expanded B_SSE,Daily_SSE,Last-value_SSE,Inverted42_SSE,Inverted43_SSE,Inverted44_SSE,Joint-patch Transformer42_SSE,Joint-patch Transformer43_SSE,Joint-patch Transformer44_SSE,site,period,support,horizon,scope,block_hours
16,36.0,7.966504432331609,1.3902043325993465,7.966504432331609,8.978948084955976,0.28693131733327787,7.7631397244099976,2.929874461750611,4.497648999456507,4.0956697308273275,31.792220725757915,29.230181644888056,25.783917909486064,Qcells,Alice2018Test,S2_new_origins,12,power-active,24
17,36.0,6.742701784445913,1.3220855811143746,6.742701784445913,8.350500609732963,0.007456862565488087,7.553140102290305,2.504145287453424,3.9469608489871444,2.8071713439724952,32.72039194566849,29.472366033874273,25.601853155707367,Qcells,Alice2018Test,S2_new_origins,12,power-active,24
18,36.0,7.818994117349609,1.817242132140662,7.818994117349609,9.158910877979038,0.0019640995441502843,7.630494352825951,3.0410444982756024,5.322698849061799,4.384699186801561,31.985364182630622,28.18986332830757,24.486792873068712,Qcells,Alice2018Test,S2_new_origins,12,power-active,24
19,91.0,20.310291995381778,4.09661385701074,20.310291995381778,13.75312156048462,0.0372373187840732,18.70338039879768,14.945708927007686,27.371612938732923,16.898967956703572,38.427134083304175,36.54795880595222,35.362623865845684,Qcells,Alice2018Test,S2_new_origins,12,power-active,24
20,36.0,7.956042528916666,1.8795351401336584,7.956042528916666,8.81673402351768,0.0029889524108694067,7.19137334516672,3.0712111539840654,5.489824252813327,3.9801199352353915,30.335485529893653,26.3911974488354,23.38405433268261,Qcells,Alice2018Test,S2_new_origins,12,power-active,24
21,36.0,8.15192908354318,1.7762946619805184,8.15192908354318,8.53532780192358,0.01575318992487393,5.429056496672102,2.885265577017708,4.991243017019774,3.7933893610667306,29.093656012027704,25.467010795183615,22.514606459601183,Qcells,Alice2018Test,S2_new_origins,12,power-active,24
22,36.0,40.09922608734321,4.18082597746078,40.09922608734321,13.898822987330004,2.823561868716621,1.5674923236989264,10.672346481850834,12.994289302556483,9.506298862522778,24.497067304662618,21.511394358957293,16.14152428735135,Qcells,Alice2018Test,S2_new_origins,12,power-active,24
23,45.0,14.457608142994054,3.0369352769552314,14.457608142994054,11.863015472791714,3.8898630081651917,11.92211675629498,4.969479376382839,7.4163830436127105,5.735166687947383,44.37357714529489,40.58488685699441,35.80376035637752,Qcells,Alice2018Test,S2_new_origins,12,power-active,24
0,56.0,9.85828355261607,2.0615606190449296,9.85828355261607,10.883154846862949,0.026841177085021775,13.237618039490165,4.833092562634014,8.054705789715781,6.364328966154882,45.62809248367812,37.773347266594186,34.25110767747668,Qcells,Alice2018Test,S2_new_origins,12,power-active,48
1,64.0,14.373179240527728,3.1729709420108847,14.373179240527728,15.345993329853163,0.033912064016820516,17.606072182582704,6.7170851653841215,9.51824522836053,7.882594654673514,57.44605873593262,50.79796387942146,43.33848716854501,Qcells,Alice2018Test,S2_new_origins,12,power-active,48
