site,method,model,seed,horizon,scope,status,points,Daily_RMSE,difference_RMS_kW,difference_MAE_kW,RMSE_bound_passed,MAE_bound_passed,old_RMSE,new_RMSE,delta_RMSE_kW,delta_RMSE_W,old_MAE,new_MAE,delta_MAE_kW,delta_MAE_W,old_bias,new_bias,delta_bias_kW,delta_bias_W,old_effect_vs_Daily,new_effect_vs_Daily,old_skill,new_skill
Sanyo,Discrete recurrent decoder42,Discrete recurrent decoder,42,12,low-power,diagnostic,42815,0.002410485891560714,7.948383275006715e-07,4.628691070282857e-07,True,True,0.07108400689646469,0.07108400250844685,-4.3880178379751555e-09,-4.3880178379751555e-06,0.059469932635158665,0.05946993024205533,-2.393103333553359e-09,-2.393103333553359e-06,0.05270058206576904,0.052700574155770646,-7.909998392396922e-09,-7.909998392396922e-06,0.06867352100490397,0.06867351661688613,-28.489493029324482,-28.48949120893721
Sanyo,Discrete recurrent decoder42,Discrete recurrent decoder,42,144,full,diagnostic,598317,0.11814159529269164,5.8004601318201906e-06,2.005257010488338e-06,True,True,0.8781051241451702,0.8781053505696281,2.2642445796083877e-07,0.00022642445796083877,0.4581528181948885,0.4581529312670967,1.1307220820766517e-07,0.00011307220820766517,-0.30219372269093114,-0.3021937586384977,-3.5947566534577646e-08,-3.5947566534577646e-05,0.7599635288524785,0.7599637552769365,-6.43264996523617,-6.432651881787724
Sanyo,Discrete recurrent decoder42,Discrete recurrent decoder,42,144,power-active,diagnostic,259345,0.17941654249698688,8.653566231978963e-06,3.957673659631727e-06,True,True,1.3119875768954077,1.31198791044163,3.3354622241965615e-07,0.00033354622241965615,0.9635172074917626,0.9635174598503337,2.5235857104011217e-07,0.00025235857104011217,-0.7648962630938618,-0.7648963558875962,-9.279373436310578e-08,-9.279373436310578e-05,1.1325710343984208,1.1325713679446432,-6.312522906952357,-6.312524766012943
Sanyo,Discrete recurrent decoder42,Discrete recurrent decoder,42,144,low-power,diagnostic,338972,0.0027584819230325602,1.4469896585194968e-06,5.114773004471188e-07,True,True,0.2098685125805982,0.20986858945046635,7.686986816524133e-08,7.686986816524133e-05,0.07150221713581058,0.07150222364104021,6.505229632747245e-09,6.505229632747245e-06,0.05181660955125423,0.051816617096275344,7.545021114829797e-09,7.5450211148297974e-06,0.2071100306575656,0.2071101075274338,-75.08116291364979,-75.08119078037878
Sanyo,Discrete recurrent decoder43,Discrete recurrent decoder,43,12,full,diagnostic,79005,0.17521872293338112,2.84371296095874e-06,1.352865700102416e-06,True,True,0.21179585378015797,0.21179585042398352,-3.3561744494647883e-09,-3.3561744494647883e-06,0.12120916964648117,0.12120915852924236,-1.1117238810087748e-08,-1.1117238810087748e-05,0.025195331737319276,0.025195311257384768,-2.0479934508682573e-08,-2.0479934508682573e-05,0.036577130846776856,0.03657712749060241,-0.20875126946726819,-0.2087512503130684
Sanyo,Discrete recurrent decoder43,Discrete recurrent decoder,43,12,power-active,diagnostic,36190,0.2588756697513815,4.100826698025135e-06,2.3907055999117623e-06,True,True,0.3067450637040047,0.30674506186054307,-1.843461605588459e-09,-1.843461605588459e-06,0.21644302875842342,0.21644302065839774,-8.100025677970635e-09,-8.100025677970635e-06,0.04304642932037973,0.04304637306995282,-5.62504269066566e-08,-5.62504269066566e-05,0.047869393952623185,0.04786939210916158,-0.18491268027851326,-0.1849126731574824
Sanyo,Discrete recurrent decoder43,Discrete recurrent decoder,43,12,low-power,diagnostic,42815,0.002410485891560714,8.411181959282034e-07,4.756164656261754e-07,True,True,0.05692840150886788,0.056928386864436846,-1.4644431035881755e-08,-1.4644431035881755e-05,0.04071136837914051,0.040711354711558526,-1.3667581982845789e-08,-1.3667581982845789e-05,0.010106432483997828,0.010106442239591056,9.75559322734243e-09,9.75559322734243e-06,0.05451791561730717,0.054517900972876135,-22.61698183265803,-22.6169757573555
Sanyo,Discrete recurrent decoder43,Discrete recurrent decoder,43,144,full,diagnostic,598317,0.11814159529269164,5.649757415164913e-06,2.0408451099226773e-06,True,True,0.825712808231774,0.8257127602482519,-4.798352204460343e-08,-4.798352204460343e-05,0.40728149330375935,0.4072814368232869,-5.648047246564758e-08,-5.648047246564758e-05,-0.24793982793649283,-0.2479398097132665,1.8223226316838037e-08,1.8223226316838037e-05,0.7075712129390823,0.7075711649555603,-5.98917943494922,-5.98917902879657
Sanyo,Discrete recurrent decoder43,Discrete recurrent decoder,43,144,power-active,diagnostic,259345,0.17941654249698688,8.193930942320456e-06,3.961852007830973e-06,True,True,1.2287861762685466,1.228786072365615,-1.0390293159190378e-07,-0.00010390293159190378,0.8687573877479314,0.8687572497644641,-1.3798346731874744e-07,-0.00013798346731874744,-0.6145806697720186,-0.6145806323433648,3.742865384293026e-08,3.742865384293026e-05,1.0493696337715597,1.049369529868628,-5.848789744620024,-5.8487891655043525
Sanyo,Discrete recurrent decoder43,Discrete recurrent decoder,43,144,low-power,diagnostic,338972,0.0027584819230325602,2.2299380952326027e-06,5.71096771009649e-07,True,True,0.2195855317880054,0.21958565815680153,1.2636879612171192e-07,0.00012636879612171192,0.054209658920318295,0.05420966479719139,5.876873092336421e-09,5.876873092336421e-06,0.03257440074857383,0.03257440427786804,3.5292942110465297e-09,3.5292942110465297e-06,0.21682704986497287,0.21682717623376896,-78.60375957316487,-78.6038053841579
Sanyo,Discrete recurrent decoder44,Discrete recurrent decoder,44,12,full,diagnostic,79005,0.17521872293338112,2.136845121632137e-06,1.0402091785892703e-06,True,True,0.20287666360079532,0.20287665809453298,-5.506262334975531e-09,-5.506262334975531e-06,0.12192432636333124,0.12192433057434889,4.211017645694426e-09,4.211017645694426e-06,-0.019335961372186888,-0.019335964653577436,-3.2813905481710037e-09,-3.2813905481710037e-06,0.0276579406674142,0.027657935161151864,-0.15784808954423135,-0.1578480581191517
Sanyo,Discrete recurrent decoder44,Discrete recurrent decoder,44,12,power-active,diagnostic,36190,0.2588756697513815,3.062694055347041e-06,1.7704120298421525e-06,True,True,0.29113832915202426,0.2911383189078494,-1.024417484174478e-08,-1.024417484174478e-05,0.20250905990240745,0.20250906345010428,3.5476968307524004e-09,3.5476968307524004e-06,-0.06442293794134889,-0.06442293879374311,-8.523942246485561e-10,-8.523942246485561e-07,0.03226265940064277,0.032262649156467926,-0.124626077961004,-0.12462603838920927
