block,count,Original A_SSE,Original B_SSE,Expanded A_SSE,Expanded B_SSE,Inverted42_SSE,Inverted43_SSE,Inverted44_SSE,Daily_SSE,Last-value_SSE,site,period,support,horizon,scope,block_hours
61,20592.0,70738380.0846964,21039744.085613012,70738436.86196856,21039744.085613012,71398471.98384021,70652426.65875454,73513507.39919364,20340255.109820355,143760119.57556564,NIST_GROUND,2017,complete_H144,144,full,24
62,41328.0,62687820.67902789,27809922.927814078,62688219.359785415,27809922.927814078,103591082.52796198,100375741.47012879,109678863.39028272,51717155.91949407,164793783.24137834,NIST_GROUND,2017,complete_H144,144,full,24
63,41472.0,101869335.77229571,49808426.284908965,101869068.52703083,49808426.284908965,92417460.77899955,94154288.70687933,90510282.03434396,52084523.93837515,361771924.90604156,NIST_GROUND,2017,complete_H144,144,full,24
64,33552.0,50719999.17056401,18684209.54020221,50720149.74959922,18684209.54020221,70059734.65607035,67055131.750565425,73444580.7790074,36723547.243662536,168058463.6002471,NIST_GROUND,2017,complete_H144,144,full,24
65,22968.0,44829671.91630771,8443435.502467792,44829440.97613082,8443435.502467792,24155745.583716694,22906428.19864665,26049585.15369605,10600674.581814189,19308100.702179678,NIST_GROUND,2017,complete_H144,144,full,24
66,41256.0,103117245.45191094,48942909.45783449,103117345.08976655,48942909.45783449,77796434.57614376,77633708.7644708,78714784.34862101,56012993.82245228,214868487.7749068,NIST_GROUND,2017,complete_H144,144,full,24
67,41472.0,120489645.65923606,43504627.98916006,120490075.90969118,43504627.98916006,122213941.18449102,123702079.70015901,129314761.86937839,42786939.69579769,322322644.50669265,NIST_GROUND,2017,complete_H144,144,full,24
68,41472.0,61146903.740064815,61093460.842167504,61146827.03154646,61093460.842167504,112523548.74816294,104313890.89541717,119025121.48776256,121552625.11033872,24636017.695775844,NIST_GROUND,2017,complete_H144,144,full,24
69,41472.0,84256019.73752226,26877593.862544753,84255869.97464123,26877593.862544753,78919806.07915835,69431886.42283872,69979957.97842789,15422949.552380607,8154.622898920004,NIST_GROUND,2017,complete_H144,144,full,24
70,24624.0,42814095.41195057,6661809.394954077,42814072.23716517,6661809.394954077,42733937.94133825,36715945.802657224,37835147.284262665,479676.70732312015,520519.80405360035,NIST_GROUND,2017,complete_H144,144,full,24
71,16493.0,50601509.20832484,53755196.925876446,50600035.14430383,53755196.925876446,49098753.91115146,51149676.9155475,55074734.55013847,68251102.28125119,67301975.19442591,NIST_GROUND,2017,complete_H144,144,full,24
72,37701.0,67375781.86429971,65630295.92758675,67376056.55999821,65630295.92758675,49379463.925063595,44872862.68004421,51345732.850707486,120374242.10975039,42102299.748058766,NIST_GROUND,2017,complete_H144,144,full,24
73,24167.0,20557248.056141805,9778465.350320773,20558054.76008526,9778465.350320773,9841127.436701067,9527552.390234856,8973470.605325703,40076841.58084647,219378358.89941347,NIST_GROUND,2017,complete_H144,144,full,24
74,20509.0,48439536.23744963,43087570.487208836,48439181.56732878,43087570.487208836,50939872.75706478,46951223.358655035,50823413.42849546,69436296.85507634,60607401.758577615,NIST_GROUND,2017,complete_H144,144,full,24
75,41328.0,76624874.8368828,64181963.43721493,76625077.46154062,64181963.43721493,128135584.13730183,118880000.2723673,126461109.45636673,122005118.95494017,10207048.08793184,NIST_GROUND,2017,complete_H144,144,full,24
76,41472.0,149873805.82856402,148051376.6506024,149874409.94878876,148051376.6506024,113326213.29028806,113071994.16278726,117064531.52869418,217483267.9731272,351800351.52232313,NIST_GROUND,2017,complete_H144,144,full,24
77,41472.0,66083072.58162963,51988803.8230953,66083532.13056254,51988803.8230953,91568703.21146774,87706349.25471662,97034173.20025711,104891454.03793487,84310890.39183603,NIST_GROUND,2017,complete_H144,144,full,24
78,41472.0,112847115.23790939,70638969.33487785,112847115.63581361,70638969.33487785,81947523.00093983,81268435.34872037,83100555.50032412,79027286.2625771,286640406.0264932,NIST_GROUND,2017,complete_H144,144,full,24
