model,old_RMSE,new_RMSE,old_rank,new_rank,site,horizon,scope,meaning
Joint-patch Transformer,0.3259629044407906,0.32596290012975393,4.0,4.0,Sanyo,12,power-active,"historical-support numerical sensitivity, not accepted new-support ranking"
Depthwise convolutional TCN,0.8165962690494214,0.8165962746524539,3.0,3.0,Sanyo,144,full,"historical-support numerical sensitivity, not accepted new-support ranking"
Discrete recurrent decoder,0.8677273380982119,0.86772737279983,4.0,4.0,Sanyo,144,full,"historical-support numerical sensitivity, not accepted new-support ranking"
Inverted-variate Transformer,0.7753406019545612,0.7753405704695275,1.0,1.0,Sanyo,144,full,"historical-support numerical sensitivity, not accepted new-support ranking"
Joint-patch Transformer,0.7925581219331286,0.7925581273941007,2.0,2.0,Sanyo,144,full,"historical-support numerical sensitivity, not accepted new-support ranking"
Depthwise convolutional TCN,0.42178454078340316,0.42178454880243005,3.0,3.0,Sanyo,144,low-power,"historical-support numerical sensitivity, not accepted new-support ranking"
Discrete recurrent decoder,0.21876365602904535,0.21876372113284592,1.0,1.0,Sanyo,144,low-power,"historical-support numerical sensitivity, not accepted new-support ranking"
Inverted-variate Transformer,0.45327735420193144,0.45327748171390647,4.0,4.0,Sanyo,144,low-power,"historical-support numerical sensitivity, not accepted new-support ranking"
Joint-patch Transformer,0.36364662711838974,0.3636466182918178,2.0,2.0,Sanyo,144,low-power,"historical-support numerical sensitivity, not accepted new-support ranking"
Depthwise convolutional TCN,1.142660880127626,1.1426608858128189,3.0,3.0,Sanyo,144,power-active,"historical-support numerical sensitivity, not accepted new-support ranking"
Discrete recurrent decoder,1.2939893521736028,1.2939893909722409,4.0,4.0,Sanyo,144,power-active,"historical-support numerical sensitivity, not accepted new-support ranking"
Inverted-variate Transformer,1.057244345723211,1.0572442224861096,1.0,1.0,Sanyo,144,power-active,"historical-support numerical sensitivity, not accepted new-support ranking"
Joint-patch Transformer,1.1292507900149598,1.129250802296634,2.0,2.0,Sanyo,144,power-active,"historical-support numerical sensitivity, not accepted new-support ranking"
